method,source,source_label,target,target_label,rank,score
bm25_label,iTE:P0866:n3,Seebeck coefficient of the PANI,iTE:P0345:n3,Seebeck coefficient,4,8.564147647103221
bm25_label,iTE:P0866:n3,Seebeck coefficient of the PANI,iTE:P0352:n3,Seebeck coefficient,5,8.564147647103221
bm25_label,iTE:P0866:n3,Seebeck coefficient of the PANI,iTE:P0379:n3,Seebeck coefficient,6,8.564147647103221
bm25_label,iTE:P0866:n3,Seebeck coefficient of the PANI,iTE:P0385:n3,Seebeck coefficient,7,8.564147647103221
bm25_label,iTE:P0866:n3,Seebeck coefficient of the PANI,iTE:P0406:n3,Seebeck coefficient,8,8.564147647103221
bm25_label,iTE:P0866:n3,Seebeck coefficient of the PANI,iTE:P0414:n3,Seebeck coefficient,9,8.564147647103221
bm25_label,iTE:P0866:n3,Seebeck coefficient of the PANI,iTE:P0446:n2,Seebeck coefficient,10,8.564147647103221
bm25_label,iTE:P0870:n4,semiconducting properties,iTE:P0705:n1,semiconducting nanostructure,1,7.240962071299378
bm25_label,iTE:P0870:n4,semiconducting properties,iTE:P0992:n2,semiconducting chalcogenides,2,7.240962071299378
bm25_label,iTE:P0870:n4,semiconducting properties,iTE:P1883:n2,semiconducting gap,3,7.240962071299378
bm25_label,iTE:P0870:n4,semiconducting properties,iTE:P0896:n4,n-type semiconducting characteristics,4,5.781677378357487
bm25_label,iTE:P0870:n4,semiconducting properties,iTE:P1200:n2,p -type semiconducting nature,5,5.781677378357487
bm25_label,iTE:P0870:n4,semiconducting properties,iTE:P1831:n2,metallic to semiconducting behavior,6,5.781677378357487
bm25_label,iTE:P0870:n4,semiconducting properties,iTE:P0375:n4,iTE properties,7,5.420104808925241
bm25_label,iTE:P0870:n4,semiconducting properties,iTE:P0480:n2,thermoelectric properties,8,5.420104808925241
bm25_label,iTE:P0870:n4,semiconducting properties,iTE:P0486:n3,thermoelectric properties,9,5.420104808925241
bm25_label,iTE:P0870:n4,semiconducting properties,iTE:P0521:n2,thermoelectric properties,10,5.420104808925241
bm25_label,iTE:P0896:n3,p-type,iTE:P0724:n3,p-type,1,10.522074277799103
bm25_label,iTE:P0896:n3,p-type,iTE:P0374:n2,p-type thermopower,2,9.342996718987138
bm25_label,iTE:P0896:n3,p-type,iTE:P0714:n2,p-type conductors,3,9.342996718987138
bm25_label,iTE:P0896:n3,p-type,iTE:P0914:n3,p-type characteristics,4,9.342996718987138
bm25_label,iTE:P0896:n3,p-type,iTE:P1034:n2,p-type semiconductors,5,9.342996718987138
bm25_label,iTE:P0896:n3,p-type,iTE:P1279:n2,p-type conduction,6,9.342996718987138
bm25_label,iTE:P0896:n3,p-type,iTE:P1444:n2,p-type character,7,9.342996718987138
bm25_label,iTE:P0896:n3,p-type,iTE:P1571:n2,remains p-type,8,9.342996718987138
bm25_label,iTE:P0896:n3,p-type,iTE:P1757:n1,p-type semiconductors,9,9.342996718987138
bm25_label,iTE:P0896:n3,p-type,iTE:P1795:n2,p-type conduction,10,9.342996718987138
bm25_label,iTE:P0914:n3,p-type characteristics,iTE:P0512:n3,n-type characteristics,1,11.571033885834876
bm25_label,iTE:P0914:n3,p-type characteristics,iTE:P0724:n3,p-type,2,10.522074277799103
bm25_label,iTE:P0914:n3,p-type characteristics,iTE:P0896:n3,p-type,3,10.522074277799103
bm25_label,iTE:P0914:n3,p-type characteristics,iTE:P0896:n4,n-type semiconducting characteristics,4,10.405067784587176
bm25_label,iTE:P0914:n3,p-type characteristics,iTE:P0374:n2,p-type thermopower,5,9.342996718987138
bm25_label,iTE:P0914:n3,p-type characteristics,iTE:P0714:n2,p-type conductors,6,9.342996718987138
bm25_label,iTE:P0914:n3,p-type characteristics,iTE:P1034:n2,p-type semiconductors,7,9.342996718987138
bm25_label,iTE:P0914:n3,p-type characteristics,iTE:P1279:n2,p-type conduction,8,9.342996718987138
bm25_label,iTE:P0914:n3,p-type characteristics,iTE:P1444:n2,p-type character,9,9.342996718987138
bm25_label,iTE:P0914:n3,p-type characteristics,iTE:P1571:n2,remains p-type,10,9.342996718987138
bm25_label,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P0940:n2,conductivity of PEDOT:PSS,1,11.808026630546227
bm25_label,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P1900:n1,PEDOT:PSS/DES,2,10.171902606594173
bm25_label,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P0916:n1,electrical conductivity of PEDOT:PSS/SWCNT,3,9.827476769980404
bm25_label,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P0932:n1,PSS separation from PEDOT,4,9.146921283274317
bm25_label,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P0858:n2,phase separation of PEDOT:PSS,5,8.309596940187642
bm25_label,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P1272:n2,structure reorganization of PEDOT:PSS,6,8.309596940187642
bm25_label,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P0400:n2,polyanions in the PEDOT:PSS electrodes,7,7.612716268413381
bm25_label,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P0688:n3,TE performance of PEDOT:PSS films,8,7.612716268413381
bm25_label,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P1292:n2,nanophase segregation between PEDOT and PSS,9,7.612716268413381
bm25_label,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P1449:n1,ion exchange capability with PEDOT:PSS,10,7.612716268413381
bm25_label,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0932:n3,PEDOT:PSS conductivity,1,13.13120482206564
bm25_label,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0916:n1,electrical conductivity of PEDOT:PSS/SWCNT,2,11.224910935790778
bm25_label,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P1900:n1,PEDOT:PSS/DES,3,10.171902606594173
bm25_label,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0858:n2,phase separation of PEDOT:PSS,4,9.834954546974128
bm25_label,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P1272:n2,structure reorganization of PEDOT:PSS,5,9.834954546974128
bm25_label,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0932:n1,PSS separation from PEDOT,6,9.146921283274317
bm25_label,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0688:n3,TE performance of PEDOT:PSS films,7,9.010150434223757
bm25_label,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P1877:n2,phase separation of PEDOT and PSS,8,9.010150434223757
bm25_label,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0546:n2,continuous fabrication of the PEDOT: PSS fiber,9,8.312985576005534
bm25_label,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P1342:n2,supramolecular assembly and gelification of PEDOT:PSS,10,8.312985576005534
bm25_label,iTE:P0955:n2,charge carrier concentration,iTE:P1492:n2,charge carrier concentration,1,13.478455486093438
bm25_label,iTE:P0955:n2,charge carrier concentration,iTE:P1940:n2,charge carrier concentration,2,13.478455486093438
bm25_label,iTE:P0955:n2,charge carrier concentration,iTE:P0426:n2,carrier concentration,3,10.15865597533319
bm25_label,iTE:P0955:n2,charge carrier concentration,iTE:P0582:n2,carrier concentration,4,10.15865597533319
bm25_label,iTE:P0955:n2,charge carrier concentration,iTE:P0742:n2,carrier concentration,5,10.15865597533319
bm25_label,iTE:P0955:n2,charge carrier concentration,iTE:P0832:n2,carrier concentration,6,10.15865597533319
bm25_label,iTE:P0955:n2,charge carrier concentration,iTE:P1039:n2,carrier concentration,7,10.15865597533319
bm25_label,iTE:P0955:n2,charge carrier concentration,iTE:P1049:n2,carrier concentration,8,10.15865597533319
bm25_label,iTE:P0955:n2,charge carrier concentration,iTE:P1157:n2,carrier concentration,9,10.15865597533319
bm25_label,iTE:P0955:n2,charge carrier concentration,iTE:P1171:n2,carrier concentration,10,10.15865597533319
bm25_label,iTE:P0983:n2,half-metallicity character,iTE:P1006:n2,half-metallic character,1,12.98481630065988
bm25_label,iTE:P0983:n2,half-metallicity character,iTE:P1018:n2,half-metallic character,2,12.98481630065988
bm25_label,iTE:P0983:n2,half-metallicity character,iTE:P1093:n2,half-metal,3,8.174151864000875
bm25_label,iTE:P0983:n2,half-metallicity character,iTE:P1509:n2,half-metallic gap,4,7.2581766702598545
bm25_label,iTE:P0983:n2,half-metallicity character,iTE:P0920:n1,fluidic character,5,6.449336263899424
bm25_label,iTE:P0983:n2,half-metallicity character,iTE:P1032:n2,covalent character,6,6.449336263899424
bm25_label,iTE:P0983:n2,half-metallicity character,iTE:P1699:n2,ionic character,7,6.449336263899424
bm25_label,iTE:P0983:n2,half-metallicity character,iTE:P1837:n2,covalent character,8,6.449336263899424
bm25_label,iTE:P0983:n2,half-metallicity character,iTE:P1444:n2,p-type character,9,5.726639630400026
bm25_label,iTE:P0983:n2,half-metallicity character,iTE:P1882:n2,decreasing ionic character,10,5.726639630400026
bm25_label,iTE:P1004:n1,Cr doping,iTE:P1132:n1,Cr doping,1,13.747875575243128
bm25_label,iTE:P1004:n1,Cr doping,iTE:P1319:n1,more covalent Cr & horbar;Se bonds,2,5.600781211548062
bm25_label,iTE:P1004:n1,Cr doping,iTE:P0486:n2,Sm-doping,3,5.319840694674011
bm25_label,iTE:P1004:n1,Cr doping,iTE:P0614:n1,chemical doping,4,5.319840694674011
bm25_label,iTE:P1004:n1,Cr doping,iTE:P0623:n1,Se doping,5,5.319840694674011
bm25_label,iTE:P1004:n1,Cr doping,iTE:P0661:n1,fluorine doping,6,5.319840694674011
bm25_label,iTE:P1004:n1,Cr doping,iTE:P0807:n2,p-doping,7,5.319840694674011
bm25_label,iTE:P1004:n1,Cr doping,iTE:P0807:n4,n-doping,8,5.319840694674011
bm25_label,iTE:P1004:n1,Cr doping,iTE:P0873:n2,doping level,9,5.319840694674011
bm25_label,iTE:P1004:n1,Cr doping,iTE:P0898:n1,Trivalent doping,10,5.319840694674011
bm25_label,iTE:P1006:n2,half-metallic character,iTE:P1018:n2,half-metallic character,1,19.153968115230526
bm25_label,iTE:P1006:n2,half-metallic character,iTE:P1509:n2,half-metallic gap,2,13.4273284848305
bm25_label,iTE:P1006:n2,half-metallic character,iTE:P0983:n2,half-metallicity character,3,12.98481630065988
bm25_label,iTE:P1006:n2,half-metallic character,iTE:P1093:n2,half-metal,4,8.174151864000875
bm25_label,iTE:P1006:n2,half-metallic character,iTE:P0860:n1,metallic state,5,6.947693077106048
bm25_label,iTE:P1006:n2,half-metallic character,iTE:P1536:n1,metallic nature,6,6.947693077106048
bm25_label,iTE:P1006:n2,half-metallic character,iTE:P1220:n1,Pt/NbO2 interfacial bonds of metallic and partly covalent character,7,6.666539901937361
bm25_label,iTE:P1006:n2,half-metallic character,iTE:P0920:n1,fluidic character,8,6.449336263899424
bm25_label,iTE:P1006:n2,half-metallic character,iTE:P1032:n2,covalent character,9,6.449336263899424
bm25_label,iTE:P1006:n2,half-metallic character,iTE:P1699:n2,ionic character,10,6.449336263899424
bm25_label,iTE:P1025:n2,optical conductivity,iTE:P1012:n1,optical modes,1,6.863316993703283
bm25_label,iTE:P1025:n2,optical conductivity,iTE:P1682:n3,optical properties,2,6.863316993703283
bm25_label,iTE:P1025:n2,optical conductivity,iTE:P1326:n2,acoustic-optical phonons,3,6.094230705901385
bm25_label,iTE:P1025:n2,optical conductivity,iTE:P1587:n3,enhanced optical absorption,4,6.094230705901385
bm25_label,iTE:P1025:n2,optical conductivity,iTE:P1740:n2,optical band gap,5,6.094230705901385
bm25_label,iTE:P1025:n2,optical conductivity,iTE:P1266:n1,acoustic-optical phonon coupling,6,5.4801398228937295
bm25_label,iTE:P1025:n2,optical conductivity,iTE:P1870:n2,low-energy optical modes,7,5.4801398228937295
bm25_label,iTE:P1025:n2,optical conductivity,iTE:P0877:n1,electron-polar optical phonon interactions,8,4.978478735504878
bm25_label,iTE:P1025:n2,optical conductivity,iTE:P0937:n2,low-lying optical phonon bands,9,4.978478735504878
bm25_label,iTE:P1025:n2,optical conductivity,iTE:P1596:n1,optical absorption and thermoelectric effect,10,4.978478735504878
bm25_label,iTE:P1093:n2,half-metal,iTE:P0983:n2,half-metallicity character,1,7.2581766702598545
bm25_label,iTE:P1093:n2,half-metal,iTE:P1006:n2,half-metallic character,2,7.2581766702598545
bm25_label,iTE:P1093:n2,half-metal,iTE:P1018:n2,half-metallic character,3,7.2581766702598545
bm25_label,iTE:P1093:n2,half-metal,iTE:P1509:n2,half-metallic gap,4,7.2581766702598545
bm25_label,iTE:P1093:n2,half-metal,iTE:P1041:n1,alkali-metal vacancies,5,5.534958877089641
bm25_label,iTE:P1093:n2,half-metal,iTE:P1326:n1,Alkali metal atoms,6,5.534958877089641
bm25_label,iTE:P1093:n2,half-metal,iTE:P1330:n2,semiconductor-metal transition,7,5.534958877089641
bm25_label,iTE:P1093:n2,half-metal,iTE:P1470:n3,metal-semiconductor transition,8,5.534958877089641
bm25_label,iTE:P1093:n2,half-metal,iTE:P1635:n1,metal-like behavior,9,5.534958877089641
bm25_label,iTE:P1093:n2,half-metal,iTE:P0893:n1,embedded heavy metal atoms,10,4.977223545384586
bm25_label,iTE:P1132:n1,Cr doping,iTE:P1004:n1,Cr doping,1,13.747875575243128
bm25_label,iTE:P1132:n1,Cr doping,iTE:P1319:n1,more covalent Cr & horbar;Se bonds,2,5.600781211548062
bm25_label,iTE:P1132:n1,Cr doping,iTE:P0486:n2,Sm-doping,3,5.319840694674011
bm25_label,iTE:P1132:n1,Cr doping,iTE:P0614:n1,chemical doping,4,5.319840694674011
bm25_label,iTE:P1132:n1,Cr doping,iTE:P0623:n1,Se doping,5,5.319840694674011
bm25_label,iTE:P1132:n1,Cr doping,iTE:P0661:n1,fluorine doping,6,5.319840694674011
bm25_label,iTE:P1132:n1,Cr doping,iTE:P0807:n2,p-doping,7,5.319840694674011
bm25_label,iTE:P1132:n1,Cr doping,iTE:P0807:n4,n-doping,8,5.319840694674011
bm25_label,iTE:P1132:n1,Cr doping,iTE:P0873:n2,doping level,9,5.319840694674011
bm25_label,iTE:P1132:n1,Cr doping,iTE:P0898:n1,Trivalent doping,10,5.319840694674011
bm25_label,iTE:P1161:n2,concentration of electron holes,iTE:P1388:n2,concentration of holes,1,12.383666789824654
bm25_label,iTE:P1161:n2,concentration of electron holes,iTE:P1657:n2,density of holes,2,7.891208510212756
bm25_label,iTE:P1161:n2,concentration of electron holes,iTE:P0997:n2,small concentration of graphitic pi-electron carriers,3,7.764058804129274
bm25_label,iTE:P1161:n2,concentration of electron holes,iTE:P1555:n2,decrease of electron concentration in the lattice,4,7.764058804129274
bm25_label,iTE:P1161:n2,concentration of electron holes,iTE:P1187:n2,holes,5,7.7640315829922555
bm25_label,iTE:P1161:n2,concentration of electron holes,iTE:P0969:n2,formation of free holes,6,7.096043470375735
bm25_label,iTE:P1161:n2,concentration of electron holes,iTE:P1869:n2,formation of electronic holes,7,7.096043470375735
bm25_label,iTE:P1161:n2,concentration of electron holes,iTE:P1416:n2,two holes,8,6.7842179663600595
bm25_label,iTE:P1161:n2,concentration of electron holes,iTE:P1572:n2,large holes,9,6.7842179663600595
bm25_label,iTE:P1161:n2,concentration of electron holes,iTE:P1511:n3,electron-electron interaction,10,6.466773567438167
bm25_label,iTE:P1388:n2,concentration of holes,iTE:P1161:n2,concentration of electron holes,1,11.135814970484773
bm25_label,iTE:P1388:n2,concentration of holes,iTE:P1657:n2,density of holes,2,7.891208510212756
bm25_label,iTE:P1388:n2,concentration of holes,iTE:P1187:n2,holes,3,7.7640315829922555
bm25_label,iTE:P1388:n2,concentration of holes,iTE:P0969:n2,formation of free holes,4,7.096043470375735
bm25_label,iTE:P1388:n2,concentration of holes,iTE:P1869:n2,formation of electronic holes,5,7.096043470375735
bm25_label,iTE:P1388:n2,concentration of holes,iTE:P1416:n2,two holes,6,6.7842179663600595
bm25_label,iTE:P1388:n2,concentration of holes,iTE:P1572:n2,large holes,7,6.7842179663600595
bm25_label,iTE:P1388:n2,concentration of holes,iTE:P1835:n2,concentration of electrons,8,6.359671470352929
bm25_label,iTE:P1388:n2,concentration of holes,iTE:P1172:n1,doping with holes,9,6.023995319471725
bm25_label,iTE:P1388:n2,concentration of holes,iTE:P0721:n1,concentration,10,5.790108743185509
bm25_label,iTE:P1509:n2,half-metallic gap,iTE:P1006:n2,half-metallic character,1,13.4273284848305
bm25_label,iTE:P1509:n2,half-metallic gap,iTE:P1018:n2,half-metallic character,2,13.4273284848305
bm25_label,iTE:P1509:n2,half-metallic gap,iTE:P1093:n2,half-metal,3,8.174151864000875
bm25_label,iTE:P1509:n2,half-metallic gap,iTE:P0983:n2,half-metallicity character,4,7.2581766702598545
bm25_label,iTE:P1509:n2,half-metallic gap,iTE:P0860:n1,metallic state,5,6.947693077106048
bm25_label,iTE:P1509:n2,half-metallic gap,iTE:P1536:n1,metallic nature,6,6.947693077106048
bm25_label,iTE:P1509:n2,half-metallic gap,iTE:P0649:n2,Band gap,7,6.184799101371771
bm25_label,iTE:P1509:n2,half-metallic gap,iTE:P0908:n2,conductivity gap,8,6.184799101371771
bm25_label,iTE:P1509:n2,half-metallic gap,iTE:P1193:n2,band gap,9,6.184799101371771
bm25_label,iTE:P1509:n2,half-metallic gap,iTE:P1552:n3,gap formation,10,6.184799101371771
bm25_label,iTE:P1535:n2,increase of the carrier concentration,iTE:P1885:n1,increase in the concentration of titanium vacancies,1,10.268141325982969
bm25_label,iTE:P1535:n2,increase of the carrier concentration,iTE:P0426:n2,carrier concentration,2,10.15865597533319
bm25_label,iTE:P1535:n2,increase of the carrier concentration,iTE:P0582:n2,carrier concentration,3,10.15865597533319
bm25_label,iTE:P1535:n2,increase of the carrier concentration,iTE:P0742:n2,carrier concentration,4,10.15865597533319
bm25_label,iTE:P1535:n2,increase of the carrier concentration,iTE:P0832:n2,carrier concentration,5,10.15865597533319
bm25_label,iTE:P1535:n2,increase of the carrier concentration,iTE:P1039:n2,carrier concentration,6,10.15865597533319
bm25_label,iTE:P1535:n2,increase of the carrier concentration,iTE:P1049:n2,carrier concentration,7,10.15865597533319
bm25_label,iTE:P1535:n2,increase of the carrier concentration,iTE:P1157:n2,carrier concentration,8,10.15865597533319
bm25_label,iTE:P1535:n2,increase of the carrier concentration,iTE:P1171:n2,carrier concentration,9,10.15865597533319
bm25_label,iTE:P1535:n2,increase of the carrier concentration,iTE:P1487:n1,carrier concentration,10,10.15865597533319
bm25_label,iTE:P1646:n2,ionic bonding,iTE:P1808:n2,ionic bonding,1,8.337100043020271
bm25_label,iTE:P1646:n2,ionic bonding,iTE:P1898:n1,ionic bonding,2,8.337100043020271
bm25_label,iTE:P1646:n2,ionic bonding,iTE:P1931:n1,ionic bonding,3,8.337100043020271
bm25_label,iTE:P1646:n2,ionic bonding,iTE:P0486:n1,ionic bonding fraction,4,7.402865280295177
bm25_label,iTE:P1646:n2,ionic bonding,iTE:P0516:n1,weak ionic bonding,5,7.402865280295177
bm25_label,iTE:P1646:n2,ionic bonding,iTE:P1465:n1,strong ionic bonding,6,7.402865280295177
bm25_label,iTE:P1646:n2,ionic bonding,iTE:P1778:n1,ionic bonding nature,7,7.402865280295177
bm25_label,iTE:P1646:n2,ionic bonding,iTE:P0835:n2,mixed ionic-covalent bonding,8,6.656908604851137
bm25_label,iTE:P1646:n2,ionic bonding,iTE:P0933:n1,mixed ionic-covalent bonding,9,6.656908604851137
bm25_label,iTE:P1646:n2,ionic bonding,iTE:P1544:n1,Cu-Se ionic bonding,10,6.656908604851137
bm25_label,iTE:P1743:n2,conducting properties,iTE:P0989:n2,silver ion-conducting,1,6.249428834592263
bm25_label,iTE:P1743:n2,conducting properties,iTE:P0634:n2,"positively charged, conducting PEDOT",2,5.6196992663283
bm25_label,iTE:P1743:n2,conducting properties,iTE:P1667:n2,electrically conducting Ag filament,3,5.6196992663283
bm25_label,iTE:P1743:n2,conducting properties,iTE:P1723:n2,highest conducting polymer material,4,5.6196992663283
bm25_label,iTE:P1743:n2,conducting properties,iTE:P1918:n1,content of conducting particles,5,5.6196992663283
bm25_label,iTE:P1743:n2,conducting properties,iTE:P0375:n4,iTE properties,6,5.420104808925241
bm25_label,iTE:P1743:n2,conducting properties,iTE:P0480:n2,thermoelectric properties,7,5.420104808925241
bm25_label,iTE:P1743:n2,conducting properties,iTE:P0486:n3,thermoelectric properties,8,5.420104808925241
bm25_label,iTE:P1743:n2,conducting properties,iTE:P0521:n2,thermoelectric properties,9,5.420104808925241
bm25_label,iTE:P1743:n2,conducting properties,iTE:P0587:n3,thermoelectric properties,10,5.420104808925241
bm25_label,iTE:P1835:n2,concentration of electrons,iTE:P1798:n2,donors of electrons,1,7.402172067830673
bm25_label,iTE:P1835:n2,concentration of electrons,iTE:P1679:n1,electrons,2,7.133736540827176
bm25_label,iTE:P1835:n2,concentration of electrons,iTE:P1411:n2,number of free electrons,3,6.6562852445919365
bm25_label,iTE:P1835:n2,concentration of electrons,iTE:P1691:n1,Anderson localization of electrons,4,6.6562852445919365
bm25_label,iTE:P1835:n2,concentration of electrons,iTE:P1388:n2,concentration of holes,5,6.359671470352929
bm25_label,iTE:P1835:n2,concentration of electrons,iTE:P1159:n2,free electrons,6,6.233465576515194
bm25_label,iTE:P1835:n2,concentration of electrons,iTE:P1291:n2,smaller number of free electrons,7,6.04695785483765
bm25_label,iTE:P1835:n2,concentration of electrons,iTE:P1414:n2,mobility of e(g) electrons,8,6.04695785483765
bm25_label,iTE:P1835:n2,concentration of electrons,iTE:P0721:n1,concentration,9,5.790108743185509
bm25_label,iTE:P1835:n2,concentration of electrons,iTE:P0592:n1,concentration of ionic liquid,10,5.718833199316389
bm25_label,iTE:P1931:n1,ionic bonding,iTE:P1646:n2,ionic bonding,1,8.337100043020271
bm25_label,iTE:P1931:n1,ionic bonding,iTE:P1808:n2,ionic bonding,2,8.337100043020271
bm25_label,iTE:P1931:n1,ionic bonding,iTE:P1898:n1,ionic bonding,3,8.337100043020271
bm25_label,iTE:P1931:n1,ionic bonding,iTE:P0486:n1,ionic bonding fraction,4,7.402865280295177
bm25_label,iTE:P1931:n1,ionic bonding,iTE:P0516:n1,weak ionic bonding,5,7.402865280295177
bm25_label,iTE:P1931:n1,ionic bonding,iTE:P1465:n1,strong ionic bonding,6,7.402865280295177
bm25_label,iTE:P1931:n1,ionic bonding,iTE:P1778:n1,ionic bonding nature,7,7.402865280295177
bm25_label,iTE:P1931:n1,ionic bonding,iTE:P0835:n2,mixed ionic-covalent bonding,8,6.656908604851137
bm25_label,iTE:P1931:n1,ionic bonding,iTE:P0933:n1,mixed ionic-covalent bonding,9,6.656908604851137
bm25_label,iTE:P1931:n1,ionic bonding,iTE:P1544:n1,Cu-Se ionic bonding,10,6.656908604851137
focused_vector,TG:P0007:n2,sensitivity,TG:P0007:n1,micropatterned and gradient structure strategy,1,0.9681075215339661
focused_vector,TG:P0007:n2,sensitivity,TG:P0241:n2,higher sensitivity,2,0.8503618836402893
focused_vector,TG:P0007:n2,sensitivity,TG:P0110:n2,sensitivity,3,0.845375120639801
focused_vector,TG:P0007:n2,sensitivity,TG:P0110:n1,Peltier coefficient,4,0.8029162883758545
focused_vector,TG:P0007:n2,sensitivity,TG:P0032:n3,sensing performance,5,0.8020534515380859
focused_vector,TG:P0007:n2,sensitivity,TG:P0209:n1,concentration gradients,6,0.799737811088562
focused_vector,TG:P0007:n2,sensitivity,TG:P0158:n2,crosstalk between pixels,7,0.7920079231262207
focused_vector,TG:P0007:n2,sensitivity,TG:P0158:n3,spatial resolution,8,0.7877933979034424
focused_vector,TG:P0007:n2,sensitivity,TG:P0158:n1,reduction in hydrogel thickness,9,0.7818094491958618
focused_vector,TG:P0007:n2,sensitivity,TG:P0110:n4,resolution,10,0.7798057198524475
focused_vector,TG:P0011:n3,current density,TG:P0011:n1,incorporating a cationic pair into a cationic electroactive network (CN),1,0.9701838493347168
focused_vector,TG:P0011:n3,current density,TG:P0043:n4,thermal current,2,0.9072859883308411
focused_vector,TG:P0011:n3,current density,TG:P0146:n3,exchange current density,3,0.9027358889579773
focused_vector,TG:P0011:n3,current density,TG:P0045:n3,ion concentration,4,0.9022418260574341
focused_vector,TG:P0011:n3,current density,TG:P0045:n4,thermoelectric performance,5,0.8944615721702576
focused_vector,TG:P0011:n3,current density,TG:P0043:n1,KCl,6,0.8906338214874268
focused_vector,TG:P0011:n3,current density,TG:P0095:n3,ohmic resistance,7,0.8905391693115234
focused_vector,TG:P0011:n3,current density,TG:P0043:n2,thermodiffusion,8,0.8899626135826111
focused_vector,TG:P0011:n3,current density,TG:P0161:n3,ion transport and concentration equilibrium,9,0.8883970975875854
focused_vector,TG:P0011:n3,current density,TG:P0219:n4,thermocapacitance,10,0.886654794216156
focused_vector,TG:P0013:n2,electrical performance,TG:P0013:n3,environmental stability,1,0.9760310649871826
focused_vector,TG:P0013:n2,electrical performance,TG:P0013:n1,"hydrogen bonds among phytic acid, glycerol, and water",2,0.965203046798706
focused_vector,TG:P0013:n2,electrical performance,TG:P0208:n2,power output,3,0.892116904258728
focused_vector,TG:P0013:n2,electrical performance,TG:P0045:n4,thermoelectric performance,4,0.8904306888580322
focused_vector,TG:P0013:n2,electrical performance,TG:P0055:n3,power output,5,0.8879465460777283
focused_vector,TG:P0013:n2,electrical performance,TG:P0095:n3,ohmic resistance,6,0.8862205743789673
focused_vector,TG:P0013:n2,electrical performance,TG:P0047:n6,energy dissipation,7,0.881626546382904
focused_vector,TG:P0013:n2,electrical performance,TG:P0045:n3,ion concentration,8,0.8805974125862122
focused_vector,TG:P0013:n2,electrical performance,TG:P0139:n7,hydrogen bonding with hydrogel surfaces,9,0.8778325319290161
focused_vector,TG:P0013:n2,electrical performance,TG:P0095:n2,electrocatalysis,10,0.8760167360305786
focused_vector,TG:P0015:n1,stretching-induced crystallization,TG:P0015:n2,thermoelectric effect,1,0.9758163690567017
focused_vector,TG:P0015:n1,stretching-induced crystallization,TG:P0015:n4,thermopower,2,0.96876060962677
focused_vector,TG:P0015:n1,stretching-induced crystallization,TG:P0015:n3,tensile strength,3,0.9684693813323975
focused_vector,TG:P0015:n1,stretching-induced crystallization,TG:P0190:n2,ultra-stretchability,4,0.8783890604972839
focused_vector,TG:P0015:n1,stretching-induced crystallization,TG:P0068:n3,flexible stretchable properties,5,0.8554754257202148
focused_vector,TG:P0015:n1,stretching-induced crystallization,TG:P0052:n2,flexibility at -80 degrees C,6,0.8526403307914734
focused_vector,TG:P0015:n1,stretching-induced crystallization,TG:P0053:n6,thermoelectric properties,7,0.8496876955032349
focused_vector,TG:P0015:n1,stretching-induced crystallization,TG:P0255:n1,thermosensitive crystallization process,8,0.8491102457046509
focused_vector,TG:P0015:n1,stretching-induced crystallization,TG:P0053:n4,growth and precipitation of the produced thermosensitive crystals,9,0.8488373756408691
focused_vector,TG:P0015:n1,stretching-induced crystallization,TG:P0145:n1,thermodiffusion,10,0.8466982245445251
focused_vector,TG:P0021:n3,ion concentration gradients,TG:P0021:n1,double-layer thermogalvanic cell (DTGC) architecture,1,0.9709463119506836
focused_vector,TG:P0021:n3,ion concentration gradients,TG:P0021:n2,spatially segregates redox pairs into two distinct gel layers,2,0.9662917256355286
focused_vector,TG:P0021:n3,ion concentration gradients,TG:P0172:n4,concentration gradient,3,0.9289646744728088
focused_vector,TG:P0021:n3,ion concentration gradients,TG:P0283:n2,concentration gradient of redox ion pairs,4,0.909511923789978
focused_vector,TG:P0021:n3,ion concentration gradients,TG:P0172:n5,redox ion transport,5,0.9024127125740051
focused_vector,TG:P0021:n3,ion concentration gradients,TG:P0009:n2,continuous concentration gradient of redox ions,6,0.8905822038650513
focused_vector,TG:P0021:n3,ion concentration gradients,TG:P0081:n1,temperature gradient,7,0.8902724981307983
