mention_id,key,paper_id,domain,raw_label,raw_role,concept_id,canonical_label,normalization_status,decision_group
iTE:P0604:n6,m07619,P0604,iTE,Seebeck effect of the Bi0.4Sb1.6Te3 layer,mechanism_process,iTE:Cf1f5aa49c771bf,Seebeck effect of the Bi0.4Sb1.6Te3 layer,singleton_not_semantically_reviewed,
iTE:P0604:n7,m07620,P0604,iTE,Power generation from temperature fluctuation,performance_function,iTE:Ca90c5611b79186,Power generation from temperature fluctuation,singleton_not_semantically_reviewed,
iTE:P0604:n8,m07621,P0604,iTE,Overall hybrid-device performance,performance_function,iTE:C5291ef1f76732b,Overall hybrid-device performance,singleton_not_semantically_reviewed,
iTE:P0604:n9,m07622,P0604,iTE,Properties of the Bi0.4Sb1.6Te3 and ionogel layers,descriptor,iTE:Ce67eeaf57c5454,Properties of the Bi0.4Sb1.6Te3 and ionogel layers,singleton_not_semantically_reviewed,
iTE:P0605:n1,m07623,P0605,iTE,Engineering PVA hydrogel solid networks with ionic liquids,design_strategy,iTE:C215e6f2c94e3e0,Engineering PVA hydrogel solid networks with ionic liquids,singleton_not_semantically_reviewed,
iTE:P0605:n10,m07624,P0605,iTE,PVA/IL ionogels,material_entity,iTE:Ce4910502862e39,PVA/IL ionogels,singleton_not_semantically_reviewed,
iTE:P0605:n11,m07625,P0605,iTE,Ionic conductivity increase from 0.77 to 2.78 S m−1,quantity,iTE:C836df8c18ca5a5,Ionic conductivity increase from 0.77 to 2.78 S m−1,singleton_not_semantically_reviewed,
iTE:P0605:n12,m07626,P0605,iTE,Power factor 70 times that of PVA hydrogel,quantity,iTE:Ccb983073816a89,Power factor 70 times that of PVA hydrogel,singleton_not_semantically_reviewed,
iTE:P0605:n13,m07627,P0605,iTE,Abundant microcrystalline regions in a nanoscale network,state_structure,iTE:Cb21389f66d983d,Abundant microcrystalline regions in a nanoscale network,singleton_not_semantically_reviewed,
iTE:P0605:n14,m07628,P0605,iTE,Dissipation of a large amount of energy,mechanism_process,iTE:Cbc09346c54bde7,Dissipation of a large amount of energy,singleton_not_semantically_reviewed,
iTE:P0605:n2,m07629,P0605,iTE,Ionic conductivity,quantity,iTE:C45cb08b2627bd3,Ionic conductivity,model_merged,g0104
iTE:P0605:n3,m07630,P0605,iTE,Overall thermoelectric properties,performance_function,iTE:C1e74702d053ed2,Overall thermoelectric properties,singleton_not_semantically_reviewed,
iTE:P0605:n4,m07631,P0605,iTE,Mechanical properties,performance_function,iTE:C89c41587deb138,Mechanical properties,model_merged,g0155
iTE:P0605:n5,m07632,P0605,iTE,Introducing EMIM:DCA into PVA solution before ionogel formation,design_strategy,iTE:C37329ead27b0f2,Introducing EMIM:DCA into PVA solution before ionogel formation,singleton_not_semantically_reviewed,
iTE:P0605:n6,m07633,P0605,iTE,Polymer-chain mobility,mechanism_process,iTE:Cc6e38eed25fdae,Polymer-chain mobility,singleton_not_semantically_reviewed,
iTE:P0605:n7,m07634,P0605,iTE,Crystal size,quantity,iTE:Cba4fb5ee308986,Crystal size,singleton_not_semantically_reviewed,
iTE:P0605:n8,m07635,P0605,iTE,PVA/IL ionogel microstructure,state_structure,iTE:Cfbf65b678a95e7,PVA/IL ionogel microstructure,singleton_not_semantically_reviewed,
iTE:P0605:n9,m07636,P0605,iTE,Ion transport ability,performance_function,iTE:Cf94b47cc89c64f,Ion transport ability,singleton_not_semantically_reviewed,
iTE:P0606:n1,m07637,P0606,iTE,Heavier constituent elements,descriptor,iTE:C2b7b0f03260b04,Heavier constituent elements,singleton_not_semantically_reviewed,
iTE:P0606:n2,m07638,P0606,iTE,Reduced thermal conductivity,quantity,iTE:Ced2ed1537e3c36,Reduced thermal conductivity,model_merged,g0351
iTE:P0606:n3,m07639,P0606,iTE,Tellurides,material_entity,iTE:Cb6131e4cbb1eda,Tellurides,model_merged,g0352
iTE:P0606:n4,m07640,P0606,iTE,Lower ionicity than sulfides or selenides,descriptor,iTE:C337ea68330f9f1,Lower ionicity than sulfides or selenides,singleton_not_semantically_reviewed,
iTE:P0606:n5,m07641,P0606,iTE,Enhanced carrier mobility,quantity,iTE:C6ad70ddc25aa59,Enhanced carrier mobility,model_merged,g0353
iTE:P0606:n6,m07642,P0606,iTE,High electrical conductivity,quantity,iTE:C3fb7e18a35b675,High electrical conductivity (electronic),model_merged,g0166
iTE:P0606:n7,m07643,P0606,iTE,Thermoelectric energy conversion,application,iTE:C77f4df0183e50b,Thermoelectric energy conversion,model_merged,g0243
iTE:P0606:n8,m07644,P0606,iTE,Bi2Te3 and PbTe,material_entity,iTE:C4f4e9e9a53e419,Bi2Te3 and PbTe,singleton_not_semantically_reviewed,
iTE:P0606:n9,m07645,P0606,iTE,Traditional thermoelectric materials,application,iTE:C5f3e3af46042fe,Traditional thermoelectric materials,singleton_not_semantically_reviewed,
iTE:P0607:n1,m07646,P0607,iTE,Size-selective ionic crosslinking,design_strategy,iTE:C1b24740ace97dc,Size-selective ionic crosslinking,singleton_not_semantically_reviewed,
iTE:P0607:n10,m07647,P0607,iTE,Stretchable thermoelectric generators with enhanced humidity stability,application,iTE:Cbed89be60f2903,Stretchable thermoelectric generators with enhanced humidity stability,singleton_not_semantically_reviewed,
iTE:P0607:n2,m07648,P0607,iTE,Length-regulated oligo(ethylene glycol) pendant groups,material_entity,iTE:C0d9829ea66c18b,Length-regulated oligo(ethylene glycol) pendant groups,singleton_not_semantically_reviewed,
iTE:P0607:n4,m07649,P0607,iTE,PEDOT:PSS composite materials,material_entity,iTE:C5c3bfda586933e,PEDOT:PSS composite materials,singleton_not_semantically_reviewed,
iTE:P0607:n5,m07650,P0607,iTE,Improved softness,performance_function,iTE:C3a829592da9e6d,Improved softness,singleton_not_semantically_reviewed,
iTE:P0607:n6,m07651,P0607,iTE,Improved toughness,performance_function,iTE:Ce9e06685289188,Improved toughness,singleton_not_semantically_reviewed,
iTE:P0607:n7,m07652,P0607,iTE,Excellent mixed ionic-electronic conductivity,performance_function,iTE:Ce565e48d182039,Excellent mixed ionic-electronic conductivity,singleton_not_semantically_reviewed,
iTE:P0607:n8,m07653,P0607,iTE,Added ions,material_entity,iTE:Ce090954bffbab0,Added ions,singleton_not_semantically_reviewed,
iTE:P0607:n9,m07654,P0607,iTE,Charge-carrier accumulation,mechanism_process,iTE:C57d526eedbaafb,Charge-carrier accumulation,singleton_not_semantically_reviewed,
iTE:P0608:n1,m07655,P0608,iTE,Freestanding nanocellulose/conductive-MOF hybrid film,material_entity,iTE:C343363ce6df93e,Freestanding nanocellulose/conductive-MOF hybrid film,singleton_not_semantically_reviewed,
iTE:P0608:n10,m07656,P0608,iTE,Fast water evaporation,mechanism_process,iTE:Cbe5422fa7376bf,Fast water evaporation,model_merged,g0354
iTE:P0608:n11,m07657,P0608,iTE,Thermal-gradient-driven selective ion transport through charged nanochannels,mechanism_process,iTE:Cbb1425423e86be,Thermal-gradient-driven selective ion transport through charged nanochannels,singleton_not_semantically_reviewed,
iTE:P0608:n12,m07658,P0608,iTE,Evaporation-driven selective ion transport through charged nanochannels,mechanism_process,iTE:C97ad3aa35791e3,Evaporation-driven selective ion transport through charged nanochannels,singleton_not_semantically_reviewed,
iTE:P0608:n13,m07659,P0608,iTE,Ionic thermoelectric potential,quantity,iTE:C9b4f4a86250c5b,Ionic thermoelectric potential,model_merged,g0355
iTE:P0608:n14,m07660,P0608,iTE,Streaming potential,quantity,iTE:C8586e7ab5c3afe,Streaming potential,model_merged,g0356
iTE:P0608:n15,m07661,P0608,iTE,Assembled solar ionic power-generation device,material_entity,iTE:Cd56a4a638e6779,Assembled solar ionic power-generation device,singleton_not_semantically_reviewed,
iTE:P0608:n16,m07662,P0608,iTE,Sustained voltage output approximately 1.1 V,quantity,iTE:Cd819860d2643bd,Sustained voltage output approximately 1.1 V,singleton_not_semantically_reviewed,
iTE:P0608:n17,m07663,P0608,iTE,Power density up to 15 W m−2,quantity,iTE:C5254f4759a0c56,Power density up to 15 W m−2,singleton_not_semantically_reviewed,
iTE:P0608:n2,m07664,P0608,iTE,Conductive metal-organic framework,material_entity,iTE:C975c8b561adc20,Conductive metal-organic framework,singleton_not_semantically_reviewed,
iTE:P0608:n3,m07665,P0608,iTE,Cellulose nanofibres,material_entity,iTE:C3ba378e2c9c5dd,Cellulose nanofibres,singleton_not_semantically_reviewed,
iTE:P0608:n4,m07666,P0608,iTE,Efficient solar power generation,performance_function,iTE:C0a1c8e551d2a2c,Efficient solar power generation,singleton_not_semantically_reviewed,
iTE:P0608:n5,m07667,P0608,iTE,Ionic thermophoresis,mechanism_process,iTE:C576ec7d97238d5,Ionic thermophoresis,singleton_not_semantically_reviewed,
iTE:P0608:n6,m07668,P0608,iTE,Electrokinetic effects,mechanism_process,iTE:C17728ece02ad70,Electrokinetic effects,singleton_not_semantically_reviewed,
iTE:P0608:n7,m07669,P0608,iTE,Strong light absorption of the film,descriptor,iTE:Cf5f6bcc0269721,Strong light absorption of the film,singleton_not_semantically_reviewed,
iTE:P0608:n8,m07670,P0608,iTE,Low thermal conductivity of the film,quantity,iTE:Cef8d4652cfac70,Low thermal conductivity of the film,singleton_not_semantically_reviewed,
iTE:P0608:n9,m07671,P0608,iTE,Large surface thermal gradient,condition,iTE:Cf4d30a1b1be2de,Large surface thermal gradient,singleton_not_semantically_reviewed,
iTE:P0609:n1,m07672,P0609,iTE,NaCl-containing flexible composite hydrogel,material_entity,iTE:Cda4298a0c27b67,NaCl-containing flexible composite hydrogel,singleton_not_semantically_reviewed,
iTE:P0609:n10,m07673,P0609,iTE,Excellent sensor reversibility,performance_function,iTE:Cc9957dc0e51d4e,Excellent sensor reversibility,singleton_not_semantically_reviewed,
iTE:P0609:n11,m07674,P0609,iTE,Response time 12.8 ms,quantity,iTE:Ca436199386d363,Response time 12.8 ms,singleton_not_semantically_reviewed,
iTE:P0609:n12,m07675,P0609,iTE,Ionic thermovoltage 34.27 mV K−1,quantity,iTE:Cb5205101518305,Ionic thermovoltage 34.27 mV K−1,singleton_not_semantically_reviewed,
iTE:P0609:n13,m07676,P0609,iTE,Power density 730 mW m−2,quantity,iTE:Cb30bb5ad8f8402,Power density 730 mW m−2,singleton_not_semantically_reviewed,
iTE:P0609:n14,m07677,P0609,iTE,Self-powered wearable hydrogel sensor,application,iTE:Cfa1a565ba5ce1d,Self-powered wearable hydrogel sensor,singleton_not_semantically_reviewed,
iTE:P0609:n2,m07678,P0609,iTE,Radical polymerization and metal-ion complexation,mechanism_process,iTE:C1af885cee759d6,Radical polymerization and metal-ion complexation,singleton_not_semantically_reviewed,
iTE:P0609:n3,m07679,P0609,iTE,CaCl2,material_entity,iTE:Cf37d464d2e4e46,CaCl2,singleton_not_semantically_reviewed,
iTE:P0609:n4,m07680,P0609,iTE,Second crosslinking network,state_structure,iTE:Cf2fe4ba725f0d4,Second crosslinking network,singleton_not_semantically_reviewed,
iTE:P0609:n5,m07681,P0609,iTE,Optimized composite hydrogel,material_entity,iTE:Cd246a12627226d,Optimized composite hydrogel,singleton_not_semantically_reviewed,
iTE:P0609:n6,m07682,P0609,iTE,Stretchability up to 1500% tension,performance_function,iTE:Cffa98d983b0974,Stretchability up to 1500% tension,singleton_not_semantically_reviewed,
iTE:P0609:n7,m07683,P0609,iTE,Composite hydrogel sensor,material_entity,iTE:Cdde9ecd8014978,Composite hydrogel sensor,singleton_not_semantically_reviewed,
iTE:P0609:n8,m07684,P0609,iTE,Sensitivity up to 7.01,performance_function,iTE:C8f21c4a2d3e8c7,Sensitivity up to 7.01,singleton_not_semantically_reviewed,
iTE:P0609:n9,m07685,P0609,iTE,Excellent sensor stability,performance_function,iTE:C9a5eaa8338b377,Excellent sensor stability,singleton_not_semantically_reviewed,
iTE:P0610:i1,m07686,P0610,iTE,Uniform ionic bonding coupling all Te atoms in CdTe,interaction,iTE:Cb0fd54f00de577,Uniform ionic bonding coupling all Te atoms in CdTe,singleton_not_semantically_reviewed,
iTE:P0610:i2,m07687,P0610,iTE,Weak Cd–Te ionic bonding,interaction,iTE:C2f8ed19fd1b6a1,Weak Cd–Te ionic bonding,singleton_not_semantically_reviewed,
iTE:P0610:i4,m07688,P0610,iTE,Weaker acoustic–optical phonon coupling,interaction,iTE:Cf5a54b59b7d593,Weaker acoustic–optical phonon coupling,singleton_not_semantically_reviewed,
iTE:P0610:i5,m07689,P0610,iTE,"Occupied π*(5p), π(5p), and σ(5p) bondings in Te–Te pairs",interaction,iTE:C1fc396fccc2839,"Occupied π*(5p), π(5p), and σ(5p) bondings in Te–Te pairs",singleton_not_semantically_reviewed,
iTE:P0610:m1,m07690,P0610,iTE,2D CdTe,material_entity,iTE:Cbcc00930b079fa,2D CdTe,singleton_not_semantically_reviewed,
iTE:P0610:m2,m07691,P0610,iTE,2D CdTe2,material_entity,iTE:Cd01d6bf61e9364,2D CdTe2,singleton_not_semantically_reviewed,
iTE:P0610:m3,m07692,P0610,iTE,p-type CdTe2,material_entity,iTE:C244efe29a88941,p-type CdTe2,singleton_not_semantically_reviewed,
iTE:P0610:p1,m07693,P0610,iTE,High thermoelectric performance,performance_function,iTE:C46e7d4a16ba4ce,High thermoelectric performance,model_merged,g0120
iTE:P0610:q1,m07694,P0610,iTE,Direct band gap of 1.82 eV,quantity,iTE:C0d68d01f71bd08,Direct band gap of 1.82 eV,singleton_not_semantically_reviewed,
iTE:P0610:q2,m07695,P0610,iTE,Indirect band gap of 1.96 eV,quantity,iTE:Ceeead0c00c0cdc,Indirect band gap of 1.96 eV,singleton_not_semantically_reviewed,
iTE:P0610:q3,m07696,P0610,iTE,Low lattice thermal conductivity,quantity,iTE:C20d63a5bf2b71f,Predicted low lattice thermal conductivity,model_merged,g0357
iTE:P0610:q4,m07697,P0610,iTE,Lattice thermal conductivity of 0.33 W m−1 K−1,quantity,iTE:Cb51c8d8751bda6,Lattice thermal conductivity of 0.33 W m−1 K−1,singleton_not_semantically_reviewed,
iTE:P0610:q6,m07698,P0610,iTE,Electrical conductivity of p-type CdTe2,quantity,iTE:Cbfd3307cb168ea,Electrical conductivity of p-type CdTe2,singleton_not_semantically_reviewed,
iTE:P0610:q7,m07699,P0610,iTE,Seebeck coefficient of p-type CdTe2,quantity,iTE:C6024d90cd02e93,Seebeck coefficient of p-type CdTe2,singleton_not_semantically_reviewed,
iTE:P0610:q8,m07700,P0610,iTE,Low thermal conductivity of CdTe2,quantity,iTE:C86de195e1caed4,Low thermal conductivity of CdTe2,singleton_not_semantically_reviewed,
iTE:P0610:s1,m07701,P0610,iTE,Bonding heterogeneity in CdTe2,state_structure,iTE:C6efb906a1c3d42,Bonding heterogeneity in CdTe2,singleton_not_semantically_reviewed,
iTE:P0611:a1,m07702,P0611,iTE,Ionic thermoelectric capacitor converting solar thermal energy into electricity,application,iTE:Cfca2ef20a46a1e,Ionic thermoelectric capacitor converting solar thermal energy into electricity,singleton_not_semantically_reviewed,
iTE:P0611:d1,m07703,P0611,iTE,Hybridizing ionic liquid and Laponite nanosheets into WPU,design_strategy,iTE:Ce2c2be0bf0e4e8,Hybridizing ionic liquid and Laponite nanosheets into WPU,singleton_not_semantically_reviewed,
iTE:P0611:d2,m07704,P0611,iTE,Laponite incorporation,design_strategy,iTE:Cb7d6e3741c8dbd,Laponite incorporation,singleton_not_semantically_reviewed,
iTE:P0611:i1,m07705,P0611,iTE,Multiple hydrogen bonds,interaction,iTE:C3a5035fb7679ee,Multiple hydrogen bonds,singleton_not_semantically_reviewed,
iTE:P0611:m1,m07706,P0611,iTE,WPU–IL–Laponite nanocomposite ionogel,material_entity,iTE:Ce080cfd526e0b7,WPU–IL–Laponite nanocomposite ionogel,singleton_not_semantically_reviewed,
iTE:P0611:m2,m07707,P0611,iTE,Negatively charged Laponite sheets,material_entity,iTE:Ce5629668ec68d0,Negatively charged Laponite sheets,singleton_not_semantically_reviewed,
iTE:P0611:m3,m07708,P0611,iTE,Released Na+,material_entity,iTE:C270603fde6c29e,Released Na+,singleton_not_semantically_reviewed,
iTE:P0611:p1,m07709,P0611,iTE,Skin-like stretchability,performance_function,iTE:Cec8337e0566b50,Skin-like stretchability,model_merged,g0162
iTE:P0611:p2,m07710,P0611,iTE,High ionic thermoelectric performance,performance_function,iTE:C70527e080cfc0f,High ionic thermoelectric performance,singleton_not_semantically_reviewed,
iTE:P0611:p3,m07711,P0611,iTE,Thermostability,performance_function,iTE:Cbe9ff440988904,Thermostability,singleton_not_semantically_reviewed,
iTE:P0611:p4,m07712,P0611,iTE,Durability,performance_function,iTE:C973ec4df573862,Durability during repeated stretching,model_merged,g0277
iTE:P0611:q1,m07713,P0611,iTE,Ionic conductivity,quantity,iTE:C45cb08b2627bd3,Ionic conductivity,model_merged,g0104
iTE:P0611:q2,m07714,P0611,iTE,Cation–anion thermophoretic mobility difference,quantity,iTE:C8692cac2f97d54,Cation–anion thermophoretic mobility difference,singleton_not_semantically_reviewed,
iTE:P0611:q3,m07715,P0611,iTE,Ionic Seebeck coefficient,quantity,iTE:Cd015c78d1c524a,Ionic Seebeck coefficient,model_merged,g0172
iTE:P0611:q4,m07716,P0611,iTE,Thermal conductivity,quantity,iTE:C5babf48f449b49,Thermal conductivity,model_merged,g0233
iTE:P0611:q5,m07717,P0611,iTE,Ionic thermopower of 44.1 mV K−1,quantity,iTE:Cf7d4fc3e5072f1,Ionic thermopower of 44.1 mV K−1,singleton_not_semantically_reviewed,
iTE:P0611:q6,m07718,P0611,iTE,Ionic conductivity of 14.1 mS cm−1,quantity,iTE:Cea9c988901fb28,Ionic conductivity of 14.1 mS cm−1,singleton_not_semantically_reviewed,
iTE:P0611:q7,m07719,P0611,iTE,Thermal conductivity of 0.43 W m−1 K−1,quantity,iTE:C5992505d917405,Thermal conductivity of 0.43 W m−1 K−1,singleton_not_semantically_reviewed,
iTE:P0611:q8,m07720,P0611,iTE,Ionic figure of merit of 1.90 ± 0.27,quantity,iTE:Cff47f0f7c74b9a,Ionic figure of merit of 1.90 ± 0.27,singleton_not_semantically_reviewed,
iTE:P0611:r1,m07721,P0611,iTE,Cation exchange between ionic liquid and Laponite,mechanism_process,iTE:C2cec8e7975e1df,Cation exchange between ionic liquid and Laponite,singleton_not_semantically_reviewed,
iTE:P0611:s1,m07722,P0611,iTE,Higher ionic liquid content accommodated by WPU,state_structure,iTE:Cca7eca2c1232af,Higher ionic liquid content accommodated by WPU,singleton_not_semantically_reviewed,
iTE:P0612:a1,m07723,P0612,iTE,Transmittance-tunable energy harvester and thermal sensor for low-grade heat,application,iTE:Cb59b2c6e28ab85,Transmittance-tunable energy harvester and thermal sensor for low-grade heat,singleton_not_semantically_reviewed,
iTE:P0612:a2,m07724,P0612,iTE,Self-detectable wireless fire alarm,application,iTE:C472ec892be72d2,Self-detectable wireless fire alarm,singleton_not_semantically_reviewed,
iTE:P0612:a3,m07725,P0612,iTE,"Thermal switch for electrochromic window, liquid crystal display, or LED",application,iTE:C7e1ad0e3e05bc1,"Thermal switch for electrochromic window, liquid crystal display, or LED",singleton_not_semantically_reviewed,
iTE:P0612:a4,m07726,P0612,iTE,Autonomous self-powered detection and viewing of environmental temperature changes,application,iTE:C18434449667a9c,Autonomous self-powered detection and viewing of environmental temperature changes,singleton_not_semantically_reviewed,
iTE:P0612:d1,m07727,P0612,iTE,Photopolymerization of ionic and hydrophobic nematic monomers in ionic liquid,design_strategy,iTE:Caa6059d61c69a1,Photopolymerization of ionic and hydrophobic nematic monomers in ionic liquid,singleton_not_semantically_reviewed,
iTE:P0612:m1,m07728,P0612,iTE,Liquid crystalline ionogel film,material_entity,iTE:C78ce438fd00752,Liquid crystalline ionogel film,singleton_not_semantically_reviewed,
iTE:P0612:p1,m07729,P0612,iTE,Reversible temperature programmability,performance_function,iTE:Ce7959ed81c65ff,Reversible temperature programmability,singleton_not_semantically_reviewed,
iTE:P0612:p2,m07730,P0612,iTE,Fast transmittance switching,performance_function,iTE:C78006e6d61ab7b,Fast transmittance switching,singleton_not_semantically_reviewed,
iTE:P0612:p3,m07731,P0612,iTE,Naked-eye detection of elevated temperatures,performance_function,iTE:Cf4b0a2b7ee6372,Naked-eye detection of elevated temperatures,singleton_not_semantically_reviewed,
iTE:P0612:q1,m07732,P0612,iTE,Phase-controlled ionic Seebeck coefficient of −5.9 mV K−1,quantity,iTE:C10d713192cb512,Phase-controlled ionic Seebeck coefficient of −5.9 mV K−1,singleton_not_semantically_reviewed,
iTE:P0612:q2,m07733,P0612,iTE,Maximum thermoelectric power factor of 2.4 nW m−1 K−2,quantity,iTE:Cb4680cd2e1a499,Maximum thermoelectric power factor of 2.4 nW m−1 K−2,singleton_not_semantically_reviewed,
iTE:P0612:r1,m07734,P0612,iTE,Nematic–isotropic phase transition,mechanism_process,iTE:C5749af924fd883,Nematic–isotropic phase transition,singleton_not_semantically_reviewed,
iTE:P0613:a1,m07735,P0613,iTE,LED lighting,application,iTE:Cbe56730107230b,LED lighting,singleton_not_semantically_reviewed,
iTE:P0613:a2,m07736,P0613,iTE,Capacitor charging,application,iTE:Cbf965ee2de313f,Capacitor charging,singleton_not_semantically_reviewed,
iTE:P0613:a3,m07737,P0613,iTE,Continuous energy supply for flexible electronics,application,iTE:C5271032b3ac64b,Continuous energy supply for flexible electronics,singleton_not_semantically_reviewed,
iTE:P0613:m1,m07738,P0613,iTE,Ionic hydrogel thermoelectric generator (ITEG),material_entity,iTE:C658a6c3b311df8,Ionic hydrogel thermoelectric generator (ITEG),singleton_not_semantically_reviewed,
iTE:P0613:m2,m07739,P0613,iTE,Dried and regenerated ITEG-re,material_entity,iTE:C8e4cc6c2b5860a,Dried and regenerated ITEG-re,singleton_not_semantically_reviewed,
iTE:P0613:p1,m07740,P0613,iTE,High thermoelectric properties,performance_function,iTE:Cccbaa00c75b5b7,High thermoelectric properties,model_uncertain_retained,g0333
iTE:P0613:p2,m07741,P0613,iTE,Retention of original water content,performance_function,iTE:Cf22e073ccda240,Retention of original water content,singleton_not_semantically_reviewed,
iTE:P0613:p3,m07742,P0613,iTE,Unfrozen state,state_structure,iTE:Cfe21065a0470ff,Unfrozen state,singleton_not_semantically_reviewed,
iTE:P0613:p4,m07743,P0613,iTE,Self-regeneration and recovery to original state,performance_function,iTE:C24bab952527e9d,Self-regeneration and recovery to original state,singleton_not_semantically_reviewed,
iTE:P0613:q1,m07744,P0613,iTE,Ionic Seebeck coefficient of 11.3 mV K−1,quantity,iTE:Caffddb5d749dad,Ionic Seebeck coefficient of 11.3 mV K−1,singleton_not_semantically_reviewed,
iTE:P0613:q2,m07745,P0613,iTE,Power density of 167.90 mW m−2,quantity,iTE:Cde44750b057cd2,Power density of 167.90 mW m−2,singleton_not_semantically_reviewed,
iTE:P0613:q3,m07746,P0613,iTE,Power density of 60.00 mW m−2,quantity,iTE:C8d3c86409af503,Power density of 60.00 mW m−2,singleton_not_semantically_reviewed,
iTE:P0613:q4,m07747,P0613,iTE,Higher ionic Seebeck coefficient of 11.8 mV K−1,quantity,iTE:C5795966d55030e,Higher ionic Seebeck coefficient of 11.8 mV K−1,singleton_not_semantically_reviewed,
iTE:P0614:a1,m07748,P0614,iTE,Skin-adaptable permanent power source for e-skin,application,iTE:Cd28b4b9ae791a2,Skin-adaptable permanent power source for e-skin,singleton_not_semantically_reviewed,
iTE:P0614:d1,m07749,P0614,iTE,CNT-to-viscous-additive kneading ratio of 1:5,design_strategy,iTE:C44fc73fe671dfb,CNT-to-viscous-additive kneading ratio of 1:5,singleton_not_semantically_reviewed,
iTE:P0614:d2,m07750,P0614,iTE,Chemical doping,design_strategy,iTE:C875c5f75ce85c9,Chemical doping,singleton_not_semantically_reviewed,
iTE:P0614:m1,m07751,P0614,iTE,CNT–non-ionic-surfactant thermoelectric clay,material_entity,iTE:C424bbb273ec005,CNT–non-ionic-surfactant thermoelectric clay,singleton_not_semantically_reviewed,
iTE:P0614:m2,m07752,P0614,iTE,n-type and p-type thermoelectric clays,material_entity,iTE:Ca7f83fe7886613,n-type and p-type thermoelectric clays,singleton_not_semantically_reviewed,
iTE:P0614:m3,m07753,P0614,iTE,Skin-adaptable thermoelectric power patch,material_entity,iTE:C2a8fd71c98d528,Skin-adaptable thermoelectric power patch,singleton_not_semantically_reviewed,
iTE:P0614:p1,m07754,P0614,iTE,Reconfigurability,performance_function,iTE:C7eb23f60e3476c,Reconfigurability,singleton_not_semantically_reviewed,
iTE:P0614:p2,m07755,P0614,iTE,Skin adaptability,performance_function,iTE:C514ac7f08d069e,Skin adaptability,singleton_not_semantically_reviewed,
iTE:P0614:p3,m07756,P0614,iTE,Remendability after chapping,performance_function,iTE:Cf74dc8eb57fa16,Remendability after chapping,singleton_not_semantically_reviewed,
iTE:P0614:p4,m07757,P0614,iTE,Retention of over 80% of initial thermoelectric output power,performance_function,iTE:C4b380d203cd98d,Retention of over 80% of initial thermoelectric output power,singleton_not_semantically_reviewed,
iTE:P0614:p5,m07758,P0614,iTE,Successful operation under deformation and puncture,performance_function,iTE:C81d3049aeb9860,Successful operation under deformation and puncture,singleton_not_semantically_reviewed,
iTE:P0614:q1,m07759,P0614,iTE,Elastic modulus lower than human skin,quantity,iTE:Ce008d70a2e0846,Elastic modulus lower than human skin,singleton_not_semantically_reviewed,
iTE:P0614:q2,m07760,P0614,iTE,Elongation up to 100%,quantity,iTE:C795da73b5c2ce8,Elongation up to 100%,singleton_not_semantically_reviewed,
iTE:P0614:q3,m07761,P0614,iTE,Optimized electrical conductivities,quantity,iTE:Cb32361cd432597,Optimized electrical conductivities,singleton_not_semantically_reviewed,
iTE:P0614:q4,m07762,P0614,iTE,Optimized Seebeck coefficients,quantity,iTE:Caa779c7d6325bb,Optimized Seebeck coefficients,singleton_not_semantically_reviewed,
iTE:P0614:q5,m07763,P0614,iTE,Enhanced ZT values,quantity,iTE:Cb41d4f1355e3ae,Enhanced ZT values,singleton_not_semantically_reviewed,
iTE:P0614:s1,m07764,P0614,iTE,Five pairs of n-type and p-type thermoelectric clays,state_structure,iTE:C8db903afb5be27,Five pairs of n-type and p-type thermoelectric clays,singleton_not_semantically_reviewed,
iTE:P0615:m1,m07765,P0615,iTE,Organic mixed ion–electron n-type conductor based on perylene bisimide,material_entity,iTE:C3a70b55be6126f,Organic mixed ion–electron n-type conductor based on perylene bisimide,singleton_not_semantically_reviewed,
iTE:P0615:m2,m07766,P0615,iTE,Quasi-frozen ionic carriers,material_entity,iTE:Cc08c412788e533,Quasi-frozen ionic carriers,singleton_not_semantically_reviewed,
iTE:P0615:m3,m07767,P0615,iTE,Electronic carriers,material_entity,iTE:C98ec7de79966ea,Electronic carriers,singleton_not_semantically_reviewed,
iTE:P0615:m4,m07768,P0615,iTE,Resulting single-leg thermoelectric generators,material_entity,iTE:Cc7e75b07eada20,Resulting single-leg thermoelectric generators,singleton_not_semantically_reviewed,
iTE:P0615:p1,m07769,P0615,iTE,High quasi-constant power output,performance_function,iTE:C2cdb91f2af6105,High quasi-constant power output,singleton_not_semantically_reviewed,
iTE:P0615:q1,m07770,P0615,iTE,Ionic Seebeck coefficient of −3021 μV K−1,quantity,iTE:Cb175b981d0e726,Ionic Seebeck coefficient of −3021 μV K−1,singleton_not_semantically_reviewed,
iTE:P0615:q2,m07771,P0615,iTE,Electrical conductivity of 0.18 S cm−1,quantity,iTE:Cd12cf58e5cd80f,Electrical conductivity of 0.18 S cm−1,singleton_not_semantically_reviewed,
iTE:P0615:q3,m07772,P0615,iTE,Power factor of 165 μW m−1 K−2,quantity,iTE:C435d419b365f1c,Overall power factor of 165 μW m−1 K−2,model_kept_separate,g0358
iTE:P0615:q4,m07773,P0615,iTE,ZT of 0.23,quantity,iTE:C12c7655e43fcfe,ZT of 0.23,singleton_not_semantically_reviewed,
