alias,concept_id,canonical_concept,alias_source
electrochemical seebeck,C38BF83E8E5,electrochemical seebeck,canonical
Raman spectroscopy,C38C7E198D9,Raman spectroscopy,canonical
ethylene glycol,C38C7EC2077,ethylene glycol,canonical
EG,C38C7EC2077,ethylene glycol,controlled_rule
metal-oxide nanostructured electrode,C39430F06B7,metal-oxide nanostructured electrode,canonical
gelatin,C3970EB273E,gelatin,canonical
PFG3,C398B5D18EB,PFG3,canonical
NbO2,C399CA6EBBF,NbO2,canonical
Hf2SeN2,C39E9205A09,Hf2SeN2,canonical
first-principles calculation,C3A573478D9,first-principles calculation,canonical
conductivity kappa,C3A60BDDFA4,conductivity kappa,canonical
Cu2O,C3A804F9865,Cu2O,canonical
Rb3FO,C3A8DADAF1C,Rb3FO,canonical
electron diffraction,C3A9D13C19F,electron diffraction,canonical
Cu2Te,C3AE4236F1E,Cu2Te,canonical
electrochemical seebeck coefficient alpha,C3AE7D0CEF0,electrochemical seebeck coefficient alpha,canonical
uv-vis spectroscopy,C3AE973973B,uv-vis spectroscopy,canonical
Cu3Sn1,C3AF914E33F,Cu3Sn1,canonical
dmso/water thermogalvanic organohydrogel electrolyte,C3B2D003565,dmso/water thermogalvanic organohydrogel electrolyte,canonical
kcl supports thermodiffusion for self-powered morse-code information conversion,C3B643005B4,kcl supports thermodiffusion for self-powered morse-code information conversion,canonical
soret effect reversibly switches seebeck polarity,C3B86EA62B7,soret effect reversibly switches seebeck polarity,canonical
CH3SO3K,C3B8FC3E27C,CH3SO3K,canonical
C4C1Im,C3B8FDE5821,C4C1Im,canonical
Na2TlSbBr6,C3B9BEAAD3A,Na2TlSbBr6,canonical
4-/3-. li2so4 thermodiffusion,C3BBEDCDF0B,4-/3-. li2so4 thermodiffusion,canonical
Gutmann-donor ionic-cluster thermodiffusion,C3C17DDE1C9,Gutmann-donor ionic-cluster thermodiffusion,canonical
BaCo0,C3C2A9E9041,BaCo0,canonical
Dy2CoMnO6,C3C3408EDD5,Dy2CoMnO6,canonical
Cs2KTlI6,C3C3A98CCAB,Cs2KTlI6,canonical
CoFe2O4,C3C3C32680A,CoFe2O4,canonical
AgCd2InSe4,C3C589056D0,AgCd2InSe4,canonical
K2CdPb,C3C79EE0B8C,K2CdPb,canonical
BaCl2,C3C838BFC85,BaCl2,canonical
LiCoO2,C3C9A44365B,LiCoO2,canonical
normalized power density,C3CB102B9BB,normalized power density,canonical
RE0,C3CFB355062,RE0,canonical
CuGaTe2,C3D32309DB9,CuGaTe2,canonical
Bi2Te3,C3D74C503D4,Bi2Te3,canonical
aqueous electrolyte,C3DA2C4151E,aqueous electrolyte,canonical
rattling-mode phonon suppression,C3DB4F04D16,rattling-mode phonon suppression,canonical
Rattling,C3DB4F04D16,rattling-mode phonon suppression,controlled_rule
rattler,C3DB4F04D16,rattling-mode phonon suppression,controlled_rule
PbBiO3,C3DF37184FD,PbBiO3,canonical
CF3SO3H,C3E050EAD67,CF3SO3H,canonical
Cu-based n/p redox thermocell,C3E342044B1,Cu-based n/p redox thermocell,canonical
soret coefficients of hcl in aqueous 2-propanol,C3E576D11E3,soret coefficients of hcl in aqueous 2-propanol,canonical
MgPTe3,C3E66889435,MgPTe3,canonical
LiCa2Ta3H10,C3EB5BDC356,LiCa2Ta3H10,canonical
cu electrodes. mxene tunes cu2+/cl- thermodiffusion,C3EBA3608DF,cu electrodes. mxene tunes cu2+/cl- thermodiffusion,canonical
Cs3Bi2Cl9,C3EC1BD58F6,Cs3Bi2Cl9,canonical
edge salt crystallization,C3EEECF29DE,edge salt crystallization,canonical
H2O,C3F66DD37CA,H2O,canonical
ZIF-8,C3F7B021686,ZIF-8,canonical
Cu5Sn2S7,C3FA13A9EBD,Cu5Sn2S7,canonical
fe(cn)6 3-/4-. guanidinium-induced ferricyanide/ferrocyanide crystallization,C4006435DB5,fe(cn)6 3-/4-. guanidinium-induced ferricyanide/ferrocyanide crystallization,canonical
cellulose nanofiber (CNF),C401BCEDB44,cellulose nanofiber (CNF),canonical
CNF,C401BCEDB44,cellulose nanofiber (CNF),controlled_rule
cellulose nanofiber,C401BCEDB44,cellulose nanofiber (CNF),controlled_rule
cellulose nanofibres,C401BCEDB44,cellulose nanofiber (CNF),controlled_rule
Ba2XReO6,C4023B6EBBA,Ba2XReO6,canonical
MgO(001),C404A58BE4E,MgO(001),canonical
low lattice thermal conductivity,C4052F644EA,low lattice thermal conductivity,canonical
ion accumulation variation/soret effect,C4099257C68,ion accumulation variation/soret effect,canonical
electrolyte-filled nanochannels,C40B27BE0AA,electrolyte-filled nanochannels,canonical
positive seebeck,C413AEDFAA1,positive seebeck,canonical
improving li+ thermodiffusion,C4188381A79,improving li+ thermodiffusion,canonical
SxSe1,C418A512ADD,SxSe1,canonical
solar-thermal liquid thermogalvanic generator,C41ADB600CD,solar-thermal liquid thermogalvanic generator,canonical
solvation-shell remodeling,C41BE9B5F0E,solvation-shell remodeling,canonical
solvation shell,C41BE9B5F0E,solvation-shell remodeling,cleaned_open_concept
"change in the variance of solvent dipole orientation between Fe3+ and Fe2+, which can serve as a microscopic indicator for large a. In mixed acetone-water solvent, a of Fe3+/Fe2+ showed a rapid increase at high acetone fractions, due to the intercalation of acetone molecules into the first solvation shell of the Fe2+ at high acetone fractions. Our discovery provides insights into how solvation shell",C41BE9B5F0E,solvation-shell remodeling,controlled_rule
precipitation-driven species redistribution,C41C933C156,precipitation-driven species redistribution,canonical
convection-resolved resistance decomposition,C41DA9D5B12,convection-resolved resistance decomposition,canonical
CoO4,C41DC57E9C0,CoO4,canonical
p-type seebeck coefficient,C420252DDB4,p-type seebeck coefficient,canonical
Ba4Si3P8,C421EBF7DF9,Ba4Si3P8,canonical
liquid-metal electrodes. salt-modified solvation,C4234E0413B,liquid-metal electrodes. salt-modified solvation,canonical
RbSrCl3,C4255217278,RbSrCl3,canonical
CuTlTe2,C425FD2CEED,CuTlTe2,canonical
Cu8GeSe4Te2,C4279124E03,Cu8GeSe4Te2,canonical
ion-transport highway. thermosensitive crystallization,C42AAF5C9EE,ion-transport highway. thermosensitive crystallization,canonical
Cu2SiSe3,C42C56A9EAE,Cu2SiSe3,canonical
Ag8GeSe5,C42CA0DACDB,Ag8GeSe5,canonical
BF4-,C42CB50C15C,BF4-,canonical
conductivity materials,C42DC706A27,conductivity materials,canonical
high ionic seebeck coefficient,C436B8B58E6,high ionic seebeck coefficient,canonical
BaCu2Te2,C43832E94EF,BaCu2Te2,canonical
lithium chloride (LiCl),C438FE53FF1,lithium chloride (LiCl),canonical
LiCl,C438FE53FF1,lithium chloride (LiCl),controlled_rule
InO1,C439B1DEFF6,InO1,canonical
Cu4N,C43B3557F27,Cu4N,canonical
Mg3Sb2,C43C91C4A3E,Mg3Sb2,canonical
Gd2O3,C43CD3005D9,Gd2O3,canonical
SmCl3,C43DB074A48,SmCl3,canonical
Cr2O3,C43E62F3295,Cr2O3,canonical
LiFe5Sb11,C44004C5567,LiFe5Sb11,canonical
Cs3FO,C441190E458,Cs3FO,canonical
Sr3Ti2O7,C4414387A0D,Sr3Ti2O7,canonical
Pb10O(OH)6(CO3)6,C444F2BE4E5,Pb10O(OH)6(CO3)6,canonical
boost thermal charging,C4453B9F58B,boost thermal charging,canonical
defect engineering,C44799FE290,defect engineering,canonical
"vacancies and effectively improves the carrier mobility of PbSe to 1300 cm2 V-1 s-1. Furthermore, a trace amount of Cu is introduced into the Sn-filled PbSe to optimize the carrier concentration. The extra Cu is situated in the interstitial sides of the lattice, which undergoes a dissolution-precipitation process with temperature, leading to a strongly temperature-dependent carrier density in the material. This dynamic doping effectively improves the electrical transport properties and is also valid to suppress the lattice thermal conductivity. Ultimately, the resulting PbSn0.004Se+3 parts per thousand Cu obtains a maximum ZT of approximate to 1.7 at 800 K and an average ZT of approximate to 1.0, with a 7.7% power generation efficiency in a single-arm device, showing significant potential for commercial application. This article shows that Sn can effectively fill intrinsic Pb vacancies in PbSe, significantly enhancing the mobility of the material. The dynamic doping of Cu effectively improves the electrical transport",C44799FE290,defect engineering,controlled_rule
"vacancies and interstitials. Ionic charge neutrality preserved in Mg3Sb2 is responsible for exotic n-type dopability, which is unachievable for other Zintl phase materials. The thermal conductivity of Mg3Sb2 exhibits deviation from the standard T-1 temperature dependency with strongly limited phonon transport",C44799FE290,defect engineering,controlled_rule
"vacancies and localized holes. Holes, whether localized or not, are acceptable as majority electronic carriers on the basis of the as-measured total conductivity, which is essentially electronic, and electronic thermopower. On the other hand, the proposal of oxygen vacancies as majority ionic carriers lacks solid evidence. In this work, we document all the isothermal transport properties of Ba(Co0.70Fe0.22Nb0.08)O3-delta in terms of a 2 x 2 Onsager transport",C44799FE290,defect engineering,controlled_rule
vacancies and ordered Ag nanotwins improve electrical transport,C44799FE290,defect engineering,controlled_rule
"vacancies and their mobility, in addition to the heat of transport",C44799FE290,defect engineering,controlled_rule
vacancies for ion transport,C44799FE290,defect engineering,controlled_rule
"vacancies leads to a significant increase in electrical conductivity. Although the absolute value of the Seebeck coefficient decreases, the power factor improves due to the dominant increase in electrical conductivity, and the enhanced density of states near the Fermi level partially mitigates the decrease in the Seebeck coefficient. Regarding thermal transport properties, lattice distortion strengthens phonon scattering, significantly reducing lattice thermal conductivity; the decrease in carrier mobility inhibits the growth of electronic thermal conductivity, resulting in an effective reduction in total thermal conductivity. In addition, Zr doping improves the Vickers hardness of the material through lattice distortion and solid solution strengthening, enhancing structural stability. This study confirms that Zr doping achieves a significant improvement in the ZT value of In2O3-based thermoelectric materials by synergistically optimizing electrical, thermal transport",C44799FE290,defect engineering,controlled_rule
vacancies produce mixed ionic-electronic transport,C44799FE290,defect engineering,controlled_rule
vacancies redistribution to be responsible for the analog character of the switching at the prevalence of the electron hopping transport,C44799FE290,defect engineering,controlled_rule
"vacancies render the pristine material an n-type degenerate semiconductor, Sb doping and Se-excess allow precise tuning of carrier concentration over a wide range (2.39 & times; 1019-4.81 & times; 1020 cm-3), enabling further optimization of electrical transport. At an optimal carrier concentration of 2.52 & times; 1020 cm-3, Ag0.5CdBi4.5Se8 achieves a peak thermoelectric ZT of 0.96 at 823 K, outperforming most previously reported pavonite derivatives. This work validates the utilization of the compound's intriguing multipolyhedral integration as a robust strategy to decouple electron-phonon transport",C44799FE290,defect engineering,controlled_rule
"vacancies results in high hole carrier concentration (similar to 10(21) cm(-3) ) leading to poor Seebeck coefficient and degrades its overall thermoelectric efficiency. In this work, we aim at improving the thermoelectric transport",C44799FE290,defect engineering,controlled_rule
vacancies that promote ionic transport,C44799FE290,defect engineering,controlled_rule
vacancies with different masses/ionic radii scatter broad phonon spectra while preserving electrical transport,C44799FE290,defect engineering,controlled_rule
"vacancy and dynamic precipitation behavior. In this work, Te has been partially substituted by Cl in BaCu2Te2 to suppress the overhigh hole concentration. Due to the high electronegativity of Cl, strong Cl-Cu bonds can significantly inhibit the Cu migration and the consequent dynamic precipitation. Meanwhile, nanoprecipitate BaCl2 distributes in the grain boundary, acting as ionic blocking layers. Therefore, the thermal stability of the samples can be essentially improved via chemical bonding strengthening and grain boundary engineering. In terms of thermal transport",C44799FE290,defect engineering,controlled_rule
"vacancy cluster formation. Mechanisms of electronic defect formation, critical to the overall transport",C44799FE290,defect engineering,controlled_rule
"vacancy defects, shifting Fermi level and transport",C44799FE290,defect engineering,controlled_rule
vacancy impurity band influences low-temperature transport,C44799FE290,defect engineering,controlled_rule
vacancy in the extra cage framework of positive ionic transport,C44799FE290,defect engineering,controlled_rule
vacancy mechanism. These predict a positive sign of the heat of transport,C44799FE290,defect engineering,controlled_rule
"vacancy ordered double perovskites are emerging compounds for optoelectronics, and transport properties. In this article, optical, thermoelectric, mechanical, and thermodynamic properties of Rb2GeCl6 and Rb2GeBr6 are investigated comprehensively. The phonon band structures, and tolerance factor confirm their thermodynamic, and structural stabilities. The direct band gaps 2.60 eV and 1.78 eV are reported at Gamma-symmetry point which ensure the absorption of light from visible to UV regions. The less dispersion of light, and refractive index range 1.5-2 along with broad absorption band in visible to UV regions make them outstanding materials for optoelectronics, Moreover, the transport",C44799FE290,defect engineering,controlled_rule
vacancy surfaces provide local electric fields and ion-selective anchoring; nanofibers form transport,C44799FE290,defect engineering,controlled_rule
solvent-shell water/DES regulation,C447C013663,solvent-shell water/DES regulation,canonical
K3PO4,C449B132A94,K3PO4,canonical
Mg2SiO4,C44B8007358,Mg2SiO4,canonical
Ca5Ga2Sb6,C44C9D81072,Ca5Ga2Sb6,canonical
[Cu2Te2]2-,C44F938BF93,[Cu2Te2]2-,canonical
cement-based ionic material,C4569C77DFF,cement-based ionic material,canonical
Cement-based,C4569C77DFF,cement-based ionic material,controlled_rule
Portland cement,C4569C77DFF,cement-based ionic material,controlled_rule
charge-transfer resistance engineering,C45C8AAD12E,charge-transfer resistance engineering,canonical
lattice thermal conductivity,C45EE16DE6E,lattice thermal conductivity,canonical
[Co(SARH2)]4+/5+,C4617DC8F89,[Co(SARH2)]4+/5+,canonical
Ba2GaCo8O14,C461C71477B,Ba2GaCo8O14,canonical
force microscopy,C465708253F,force microscopy,canonical
ion-pairing and complexation,C46747A02A1,ion-pairing and complexation,canonical
complexation,C46747A02A1,ion-pairing and complexation,controlled_rule
coordination between,C46747A02A1,ion-pairing and complexation,controlled_rule
coordination with,C46747A02A1,ion-pairing and complexation,controlled_rule
ion pair,C46747A02A1,ion-pairing and complexation,controlled_rule
ion pairing,C46747A02A1,ion-pairing and complexation,controlled_rule
anion transport,C46A965349B,anion transport,canonical
Bu4NBF4,C46E2490705,Bu4NBF4,canonical
La2Ni1,C47139864C2,La2Ni1,canonical
REMnO3,C47718C751A,REMnO3,canonical
PO4,C479597D0C8,PO4,canonical
ferrocene/ferrocenium,C47D7BADBF6,ferrocene/ferrocenium,canonical
ferrocene,C47D7BADBF6,ferrocene/ferrocenium,controlled_rule
ferrocenium,C47D7BADBF6,ferrocene/ferrocenium,controlled_rule
metal hydride,C4803525379,metal hydride,canonical
metal hydrides,C4803525379,metal hydride,controlled_rule
absorption spectroscopy,C482A6E4588,absorption spectroscopy,canonical
Ba2PrIrO6,C4898B530E8,Ba2PrIrO6,canonical
conversion efficiency,C4937AFB10B,conversion efficiency,canonical
CrTi2Se6,C495AAC2FBB,CrTi2Se6,canonical
emim+-i3- interactions increase entropy/potential differences,C49BBD7C4FA,emim+-i3- interactions increase entropy/potential differences,canonical
GDC10,C49C8D1B7D1,GDC10,canonical
speed li+ conduction for thermal charging,C49DE7E8566,speed li+ conduction for thermal charging,canonical
ABO3,C49EE4A272A,ABO3,canonical
hydrogel,C4A92E5F4FE,hydrogel,canonical
hydrogels,C4A92E5F4FE,hydrogel,controlled_rule
AgSbTe2,C4A964C2ABB,AgSbTe2,canonical
Cs2AgCrCl6,C4A9EEE4B35,Cs2AgCrCl6,canonical
BaSnO3,C4ABD151C5F,BaSnO3,canonical
BMIBF4,C4ACFA61AC8,BMIBF4,canonical
SrF2,C4AD7D6495D,SrF2,canonical
ion-induced crystallization,C4AF8816DD4,ion-induced crystallization,canonical
guanidinium-induced ferricyanide/ferrocyanide crystallization,C4AF8816DD4,ion-induced crystallization,controlled_rule
nucleates ferrocyanide crystallization,C4AF8816DD4,ion-induced crystallization,controlled_rule
Li4P2S6,C4B06EEC925,Li4P2S6,canonical
Cu8GeSe6,C4B0D26A198,Cu8GeSe6,canonical
biphase-solvation liquid thermocell,C4B11A8C895,biphase-solvation liquid thermocell,canonical
KNO3,C4B2BA55977,KNO3,canonical
Cu3N,C4B40EDA399,Cu3N,canonical
FePd2Se2,C4BEE17FDF3,FePd2Se2,canonical
double-network hydrogel,C4C0E1A5F69,double-network hydrogel,canonical
onion-epidermal-cell-like structure. soret effect synergizes,C4C1B88D4E6,onion-epidermal-cell-like structure. soret effect synergizes,canonical
LaAlO3,C4C8E5A763E,LaAlO3,canonical
As2Te3,C4C9A1FEBD0,As2Te3,canonical
Nd4Ga2Se7O2,C4CB189EFDD,Nd4Ga2Se7O2,canonical
platinum electrode,C4CEC954E12,platinum electrode,canonical
Pt electrode,C4CEC954E12,platinum electrode,controlled_rule
Pt electrodes,C4CEC954E12,platinum electrode,controlled_rule
platinum electrodes,C4CEC954E12,platinum electrode,controlled_rule
Bi2Se0,C4D2C6BC959,Bi2Se0,canonical
Ca5Al2Sb6,C4D41ABB84D,Ca5Al2Sb6,canonical
X8Zn4Ge42,C4DBCE67C38,X8Zn4Ge42,canonical
Cu3SbS4,C4DFD6DD080,Cu3SbS4,canonical
Ag8SiTe6,C4E4011CAFB,Ag8SiTe6,canonical
AlMgCl3,C4E47014FFF,AlMgCl3,canonical
mxene adds emi shielding,C4E618BD85E,mxene adds emi shielding,canonical
CoO3,C4E69B706AD,CoO3,canonical
interfacial thermal resistance,C4E9C7AECDB,interfacial thermal resistance,canonical
Kapitza resistance,C4E9C7AECDB,interfacial thermal resistance,controlled_rule
ionic thermodiffusion/soret effect. humidity-dependent ion conductivity,C4EA5076C8F,ionic thermodiffusion/soret effect. humidity-dependent ion conductivity,canonical
K3FO,C4EDE20E66E,K3FO,canonical
NiV14,C4F1E27549C,NiV14,canonical
Ba2ZrS4,C4F45F64900,Ba2ZrS4,canonical
TlHgF3,C4FF01D61CB,TlHgF3,canonical
gdm+-ferrocyanide crystallization improve n/p thermogalvanic performance,C4FFE3E1F32,gdm+-ferrocyanide crystallization improve n/p thermogalvanic performance,canonical
entropy carried,C5001FB5D82,entropy carried,canonical
Mn2CoSb,C5003863D0C,Mn2CoSb,canonical
AgGaGe3Se8,C50445506DD,AgGaGe3Se8,canonical
P2O5,C50BCAA1E15,P2O5,canonical
grain-boundary scattering,C520B85DE7A,grain-boundary scattering,canonical
redox kinetics for combined thermodiffusion/thermogalvanic thermal charging,C520F35AA3B,redox kinetics for combined thermodiffusion/thermogalvanic thermal charging,canonical
Zintl phase,C5219F02F17,Zintl phase,canonical
Zintl,C5219F02F17,Zintl phase,controlled_rule
Eu2CuSe3,C52255D8114,Eu2CuSe3,canonical
CaPd3Ti4O12,C527F5CBB4C,CaPd3Ti4O12,canonical
silicon nanochannels,C52A4FEEB9D,silicon nanochannels,canonical
large seebeck coefficient,C52ADDD84A2,large seebeck coefficient,canonical
chitosan complexation,C530A079047,chitosan complexation,canonical
molecular dynamics,C5324084A22,molecular dynamics,canonical
cotton-carbon photothermal fabric hanging evaporator,C533FCFD0F1,cotton-carbon photothermal fabric hanging evaporator,canonical
SrTi11O20,C5388E56187,SrTi11O20,canonical
nanochannel-confined ion transport,C539540C36B,nanochannel-confined ion transport,canonical
"Ionic thermoelectric (i-TE) systems convert low-grade heat into electricity based on ion migration driven by the Soret effect under a temperature gradient. Current research conducts tentative experiments for superior i-TE materials and performance, whereas universal physical quantities reflecting the unified essence are still needed to guide experiments. In this study, the unified mechanism of i-TE energy conversion is analyzed using similarity principle by establishing nanochannel",C539540C36B,nanochannel-confined ion transport,controlled_rule
"ion channels that convert external temperature changes to electric signals via preferential diffusion of cations under a thermal gradient. In particular, coupled with a photothermal conversion feature of MXenes, an array of the nanoconfined Ti3C2TX ion channels can capture trans-nanochannel",C539540C36B,nanochannel-confined ion transport,controlled_rule
ion steric effect coupled with ion thermodiffusion in electric double layers enhances nanochannel,C539540C36B,nanochannel-confined ion transport,controlled_rule
"ionic Seebeck coefficient compared with bulk systems. However, experimental understanding of the underlying mechanisms remains limited, particularly for electrolytes confined within sub-nanometer nanochannels reconstructed from twodimensional (2D) layered materials. In this study, we experimentally and numerically investigate the thermoelectric response of both monovalent and multivalent liquid electrolytes in graphene oxide (GO) nanochannel",C539540C36B,nanochannel-confined ion transport,controlled_rule
"ionic nanofluidic transport in nano channels inducted by a temperature gradient. Two types of highly periodic and high aspect ratio nanochannels have been fabricated in a silicon (Si) substrate and in an aluminium oxide (Al2O3) membrane. Silicon nano channels with diameter of 100 nm and height of 300 mu m have been produced by metal-assisted chemical etching process (MACE), while nanochannels with the dimensions of the 10 nm and 3 mu m respectively, were fabricated in a Al2O3 membrane by the anodic aluminum oxidation (AAO) process. Moreover, a novel approach of thermally nanofluidic energy harvesting was proposed and conducted. The performance of the thermally ionic nanofluidic energy harvesting system in cases with and without nanochannels has been evaluated and compared. The advantage of the presence nanochannels on energy conversion has been confirmed. The electrolyte concentration dependence on the output power has been determined. Also, the effect of nanochannel",C539540C36B,nanochannel-confined ion transport,controlled_rule
"ionic thermoelectric materials (i-TEs) show advantages, including high Seebeck coefficients, flexibility, and biocompatibility. However, conventional ionogels typically possess disordered polymer networks, which lead to low ionic conductivity and limited Seebeck coefficient enhancement. To address this challenge, we use cellulose nanofibrils (CNFs) to construct a well-aligned micro-nanochannel",C539540C36B,nanochannel-confined ion transport,controlled_rule
"ioninduced crystallization in the p-type FeCN 6 3 - /FeCN 6 4 - redox system. Small angle X-ray scattering reveals controlled GelMA hydrogel mesh size adjusting the amount of GdmCl, leading to improved intermolecular interactions between the guanidium cations and GelMA polymer. The optimized p-type Seebeck coefficient reaches an unprecedented 21.6 mV K - 1 , which is the highest thus far reported in the context of the TGC system. Furthermore, a prototype wearable thermoelectric generator (TEG) with an output voltage of 1.6 V under a temperature difference ( D T ) of 9 degrees C is able to power an LED directly without requiring an additional voltage booster. In brief, the dual effect of ion-induced crystallization and nanochannel",C539540C36B,nanochannel-confined ion transport,controlled_rule
nanochannel with slippage at the channel walls. The simulations considered three thermal-driven ion transport,C539540C36B,nanochannel-confined ion transport,controlled_rule
"nanochannels. The equivalent Seebeck coefficient can be significantly boosted and reaches 1 order of magnitude higher than the current state of the art, even beyond thermoTRP ion channels. The improvement is attributed to substantial slippage on the highly charged graphene surface, leading to enhanced electrokinetic ion transport",C539540C36B,nanochannel-confined ion transport,controlled_rule
p-type seebeck,C5398232435,p-type seebeck,canonical
4-/3-. guanidine-induced ferrocyanide crystallization raises thermopower,C539A5327E9,4-/3-. guanidine-induced ferrocyanide crystallization raises thermopower,canonical
AgTlTe2,C53B561B95C,AgTlTe2,canonical
ZrS2,C53D2C5DAAD,ZrS2,canonical
high specific output power density,C53EB040220,high specific output power density,canonical
Ag8SiS6,C540E3B6FF2,Ag8SiS6,canonical
mxene. des/cnf ionic gel provides high thermopower,C542163E681,mxene. des/cnf ionic gel provides high thermopower,canonical
Cu6Se2Te2,C549A0BA69C,Cu6Se2Te2,canonical
Eu5Al4Sb6,C54A93F4C2A,Eu5Al4Sb6,canonical
increasing redox entropy,C54B2A83D48,increasing redox entropy,canonical
increases fe(cn)6 redox entropy difference,C54ED315F61,increases fe(cn)6 redox entropy difference,canonical
CuBiI4,C551565D499,CuBiI4,canonical
configurational-entropy modulation,C555F4672C1,configurational-entropy modulation,canonical
configurational entropy,C555F4672C1,configurational-entropy modulation,cleaned_open_concept
[Fe(CN)6]3-,C557E1688DC,[Fe(CN)6]3-,canonical
TlSrI3,C55A2DD17DB,TlSrI3,canonical
Li3RhH9,C563FF883ED,Li3RhH9,canonical
ZnCr2,C5687B7EA63,ZnCr2,canonical
Sr8Ga16Ge30,C56C2053791,Sr8Ga16Ge30,canonical
ZnCrS2,C56E490AC9C,ZnCrS2,canonical
quasi-solid granular electrolyte matrix,C571D324260,quasi-solid granular electrolyte matrix,canonical
thermal management thermogalvanic gel,C57323793BF,thermal management thermogalvanic gel,canonical
P2S5,C573ED3C812,P2S5,canonical
Al2Sb6,C5761024AED,Al2Sb6,canonical
MOF-801,C5783CA5281,MOF-801,canonical
Ti3C2Tx,C583FD7C565,Ti3C2Tx,canonical
organohydrogel thermocell,C586108CCDE,organohydrogel thermocell,canonical
Sr2MoRuO6,C58B9D87DE6,Sr2MoRuO6,canonical
Ba6Yb2Au6Ge40,C58CF28D820,Ba6Yb2Au6Ge40,canonical
thermoresponsive micellization p/n conversion,C58F3B85353,thermoresponsive micellization p/n conversion,canonical
organohydrogel,C590DF9EFD4,organohydrogel,canonical
organohydrogels,C590DF9EFD4,organohydrogel,controlled_rule
conductivity decreased,C597180D08F,conductivity decreased,canonical
CePt4Ge12,C59AA31CB6D,CePt4Ge12,canonical
SnHfO3,C5A5563C90C,SnHfO3,canonical
exhibits high seebeck coefficient,C5A5B93C751,exhibits high seebeck coefficient,canonical
Ag2O,C5A69E4FCAA,Ag2O,canonical
SrZn2Si2,C5A6EE45B62,SrZn2Si2,canonical
CrO3,C5A8DA1C047,CrO3,canonical
CsBaVS4,C5ACF4BDFAB,CsBaVS4,canonical
Na2PdCl6,C5ADADB185D,Na2PdCl6,canonical
[Fe2(CH3COO)4(L2)],C5B06E30772,[Fe2(CH3COO)4(L2)],canonical
BiCu1,C5B368D4F00,BiCu1,canonical
metal oxide,C5B8C057FAD,metal oxide,canonical
oxide semiconductor,C5B8C057FAD,metal oxide,controlled_rule
oxide thermoelectric,C5B8C057FAD,metal oxide,controlled_rule
Ca3Co4,C5BB38E55EA,Ca3Co4,canonical
evaporation-assisted concentration gradient,C5BFFEEB7C0,evaporation-assisted concentration gradient,canonical
[CuCl4]2-,C5C526BBE37,[CuCl4]2-,canonical
LaGaO3,C5C674EFB8C,LaGaO3,canonical
high electrical conductivity,C5C8C31EAB3,high electrical conductivity,canonical
redox-solvation hybrid entropy,C5CA44ABCFC,redox-solvation hybrid entropy,canonical
thermal migration,C5CE88E5AD7,thermal migration,canonical
SrZrO3,C5D02114493,SrZrO3,canonical
K2AgSbI6,C5D5DF98B68,K2AgSbI6,canonical
CH3COO,C5D64380DA9,CH3COO,canonical
Zn4Sb3,C5DEA4DF37C,Zn4Sb3,canonical
CsBaPS4,C5DEFAD072B,CsBaPS4,canonical
CoSb3,C5E1580F832,CoSb3,canonical
Hofmeister/chaotropic effect,C5E47CC0A62,Hofmeister/chaotropic effect,canonical
chaotropic ions,C5E47CC0A62,Hofmeister/chaotropic effect,cleaned_open_concept
chaotropic salts,C5E47CC0A62,Hofmeister/chaotropic effect,cleaned_open_concept
Hofmeister,C5E47CC0A62,Hofmeister/chaotropic effect,controlled_rule
chaotropic,C5E47CC0A62,Hofmeister/chaotropic effect,controlled_rule
chaotropic cation,C5E47CC0A62,Hofmeister/chaotropic effect,controlled_rule
chaotropic ion,C5E47CC0A62,Hofmeister/chaotropic effect,controlled_rule
chaotropic salt,C5E47CC0A62,Hofmeister/chaotropic effect,controlled_rule
chaotropicity,C5E47CC0A62,Hofmeister/chaotropic effect,controlled_rule
hierarchical porous electrode interface,C5E63317596,hierarchical porous electrode interface,canonical
power factor,C5EFC27B241,power factor,canonical
AMn6Bi5,C5F069FC110,AMn6Bi5,canonical
ions provide soret effect,C5F0FDB282F,ions provide soret effect,canonical
Cu6Sn5,C5F26BF779D,Cu6Sn5,canonical
polyelectrolytes in nanochannels. overlapping electric double layers,C5F43A7B09C,polyelectrolytes in nanochannels. overlapping electric double layers,canonical
localized photothermal layer,C5F643D6ABD,localized photothermal layer,canonical
F4TCNQ,C5FB209FC2D,F4TCNQ,canonical
polyvinylidene fluoride (PVDF),C5FBBE86551,polyvinylidene fluoride (PVDF),canonical
PVDF,C5FBBE86551,polyvinylidene fluoride (PVDF),controlled_rule
BiI3,C5FD03F4FC1,BiI3,canonical
Al2Fe3Si3,C5FE5DA755E,Al2Fe3Si3,canonical
mechanical property,C5FECB4C8CC,mechanical property,canonical
Li6PS5Cl,C5FF9F9185C,Li6PS5Cl,canonical
reversible cu2se/cu2-xse/cuse/cuse2 phase transitions accelerate cu2+ storage,C60A97C7DB2,reversible cu2se/cu2-xse/cuse/cuse2 phase transitions accelerate cu2+ storage,canonical
MXene,C60E04C9E41,MXene,canonical
Ti3C2Tx,C60E04C9E41,MXene,controlled_rule
thermoelectric fields determine thermophoresis/soret behavior,C60F2316A15,thermoelectric fields determine thermophoresis/soret behavior,canonical
[Fe(L1)3],C611B895FF8,[Fe(L1)3],canonical
A3OX,C612E4CF7F2,A3OX,canonical
