variant,source,source_label,target,target_label,rank,cosine,same_paper
baseline_80,iTE:P0896:n3,p-type,iTE:P0896:n2,annealed SrTiO3 nanoparticles,3,0.9681217670440674,True
baseline_80,iTE:P0896:n3,p-type,iTE:P0460:n2,mixed ionic-electronic thermoelectric cement-based composite,4,0.8741825819015503,False
baseline_80,iTE:P0896:n3,p-type,iTE:P0343:n3,n-type thermoelectric behavior,5,0.8709009885787964,False
baseline_80,iTE:P0896:n3,p-type,iTE:P0460:n1,cooperative work between the metal cations and the holes carriers,6,0.8576073050498962,False
baseline_80,iTE:P0896:n3,p-type,iTE:P0480:n2,thermoelectric properties,7,0.8572713732719421,False
baseline_80,iTE:P0896:n3,p-type,iTE:P0724:n3,p-type,8,0.8434572219848633,False
baseline_80,iTE:P0896:n3,p-type,iTE:P0583:n3,N-type thermoelectric mechanism,9,0.8426608443260193,False
baseline_80,iTE:P0896:n3,p-type,iTE:P0369:n5,thermoelectric voltage,10,0.842625617980957,False
baseline_80,iTE:P0914:n3,p-type characteristics,iTE:P0914:n1,Sn,1,0.9786214232444763,True
baseline_80,iTE:P0914:n3,p-type characteristics,iTE:P0914:n2,substitute Sb,2,0.9589452147483826,True
baseline_80,iTE:P0914:n3,p-type characteristics,iTE:P1444:n2,p-type character,3,0.8431015014648438,False
baseline_80,iTE:P0914:n3,p-type characteristics,iTE:P1941:n1,Sn doping,4,0.8355153203010559,False
baseline_80,iTE:P0914:n3,p-type characteristics,iTE:P1490:n2,p-type nature of Cs2CdZnCl6,5,0.8274738192558289,False
baseline_80,iTE:P0914:n3,p-type characteristics,iTE:P1757:n1,p-type semiconductors,6,0.8228089809417725,False
baseline_80,iTE:P0914:n3,p-type characteristics,iTE:P1941:n2,partial covalent character,7,0.8199982643127441,False
baseline_80,iTE:P0914:n3,p-type characteristics,iTE:P1622:n2,shift toward p-type properties,8,0.8199512362480164,False
baseline_80,iTE:P0914:n3,p-type characteristics,iTE:P1571:n2,remains p-type,9,0.8164018988609314,False
baseline_80,iTE:P0914:n3,p-type characteristics,iTE:P1444:n1,Seebeck coefficients,10,0.816389262676239,False
baseline_80,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P0932:n1,PSS separation from PEDOT,1,0.9867812395095825,True
baseline_80,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P0932:n5,Seebeck coefficient,2,0.9783598780632019,True
baseline_80,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P0932:n2,conformational change of the PEDOT chains,3,0.9767303466796875,True
baseline_80,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P0932:n4,reduction of charge carriers,4,0.9738368988037109,True
baseline_80,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P1613:n3,electrical conductivity,5,0.8981109857559204,False
baseline_80,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P1613:n2,removing the insulating PSS,6,0.892012894153595,False
baseline_80,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P1528:n1,interconnected and large PEDOT- and PSS-rich domains,7,0.8908664584159851,False
baseline_80,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P1528:n2,charge mobility,8,0.8897225856781006,False
baseline_80,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P1528:n3,transconductance,9,0.8865807056427002,False
baseline_80,iTE:P0932:n3,PEDOT:PSS conductivity,iTE:P1257:n2,enhanced electrical conductivity,10,0.8850179314613342,False
baseline_80,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0940:n1,ion exchange,1,0.9566048383712769,True
baseline_80,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0462:n4,conductivity,2,0.9261861443519592,False
baseline_80,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0478:n1,ionic liquid,3,0.9199070334434509,False
baseline_80,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0409:n4,electrical conductivity,4,0.9145296812057495,False
baseline_80,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0478:n2,rearrangement of the molecular chain of PEDOT,5,0.9141549468040466,False
baseline_80,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0409:n2,ILs,6,0.9127252697944641,False
baseline_80,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0764:n3,ionic conductivity,7,0.9045999646186829,False
baseline_80,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0478:n3,maximum power factor,8,0.9035762548446655,False
baseline_80,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0462:n1,small-(MMIM BF4),9,0.9035554528236389,False
baseline_80,iTE:P0940:n2,conductivity of PEDOT:PSS,iTE:P0409:n3,charge carrier mobility,10,0.9019468426704407,False
baseline_80,iTE:P0955:n2,charge carrier concentration,iTE:P0955:n1,bromine as a dopant,1,0.9787853360176086,True
baseline_80,iTE:P0955:n2,charge carrier concentration,iTE:P1680:n2,n-type carrier density,2,0.8864936232566833,False
baseline_80,iTE:P0955:n2,charge carrier concentration,iTE:P1138:n2,reduced carrier concentrations,3,0.8626053929328918,False
baseline_80,iTE:P0955:n2,charge carrier concentration,iTE:P1680:n1,Cu ion conduction in addition to Ag ion conduction,4,0.8625094890594482,False
baseline_80,iTE:P0955:n2,charge carrier concentration,iTE:P1492:n2,charge carrier concentration,5,0.858578085899353,False
baseline_80,iTE:P0955:n2,charge carrier concentration,iTE:P1835:n2,concentration of electrons,6,0.850601851940155,False
baseline_80,iTE:P0955:n2,charge carrier concentration,iTE:P1544:n1,Cu-Se ionic bonding,7,0.8456952571868896,False
baseline_80,iTE:P0955:n2,charge carrier concentration,iTE:P0968:n1,lattice contraction,8,0.8452951908111572,False
baseline_80,iTE:P0955:n2,charge carrier concentration,iTE:P1835:n1,dope M2+,9,0.844637930393219,False
baseline_80,iTE:P0955:n2,charge carrier concentration,iTE:P1465:n1,strong ionic bonding,10,0.8437978625297546,False
baseline_80,iTE:P0983:n2,half-metallicity character,iTE:P1093:n2,half-metal,1,0.862060010433197,False
baseline_80,iTE:P0983:n2,half-metallicity character,iTE:P1450:n2,electrical and thermal conductivities,2,0.8615996837615967,False
baseline_80,iTE:P0983:n2,half-metallicity character,iTE:P0983:n1,CoNbMnSi,3,0.8608891367912292,True
baseline_80,iTE:P0983:n2,half-metallicity character,iTE:P1088:n2,wide bandgap,4,0.8586536645889282,False
baseline_80,iTE:P0983:n2,half-metallicity character,iTE:P1450:n3,thermoelectric performance,5,0.8567817807197571,False
baseline_80,iTE:P0983:n2,half-metallicity character,iTE:P1030:n2,semiconducting nature with an indirect energy band gap,6,0.8558815717697144,False
baseline_80,iTE:P0983:n2,half-metallicity character,iTE:P0486:n3,thermoelectric properties,7,0.852372407913208,False
baseline_80,iTE:P0983:n2,half-metallicity character,iTE:P0933:n3,thermoelectric performance,8,0.8449001312255859,False
baseline_80,iTE:P0983:n2,half-metallicity character,iTE:P0486:n1,ionic bonding fraction,9,0.8444302082061768,False
baseline_80,iTE:P0983:n2,half-metallicity character,iTE:P1172:n2,thermoelectric efficiency,10,0.8435605764389038,False
baseline_80,iTE:P1004:n1,Cr doping,iTE:P1004:n2,Seebeck coefficient,1,0.9488285779953003,True
baseline_80,iTE:P1004:n1,Cr doping,iTE:P1132:n1,Cr doping,2,0.9051364064216614,False
baseline_80,iTE:P1004:n1,Cr doping,iTE:P1072:n2,Seebeck coefficient,3,0.871489942073822,False
baseline_80,iTE:P1004:n1,Cr doping,iTE:P1008:n1,reduction in the electronic part of the thermal conductivity,4,0.8658534288406372,False
baseline_80,iTE:P1004:n1,Cr doping,iTE:P1132:n2,grain growth,5,0.8608123064041138,False
baseline_80,iTE:P1004:n1,Cr doping,iTE:P1037:n1,dual doping of Na and W,6,0.8586528301239014,False
baseline_80,iTE:P1004:n1,Cr doping,iTE:P1072:n1,thermal excitations of extrinsic carriers,7,0.8574375510215759,False
baseline_80,iTE:P1004:n1,Cr doping,iTE:P0814:n2,thermal conductivities,8,0.8557146787643433,False
baseline_80,iTE:P1004:n1,Cr doping,iTE:P1182:n1,Mg is simultaneously substituted for Co,9,0.8525153994560242,False
baseline_80,iTE:P1004:n1,Cr doping,iTE:P0674:n4,thermal conductivities,10,0.8524091243743896,False
baseline_80,iTE:P1006:n2,half-metallic character,iTE:P1006:n1,MgEu2X4 (X = S and Se),1,0.9229277968406677,True
baseline_80,iTE:P1006:n2,half-metallic character,iTE:P1092:n1,MgSc2Te4 and MgY2Te4,2,0.8498888611793518,False
baseline_80,iTE:P1006:n2,half-metallic character,iTE:P1463:n1,strong coupling between Se-p-Lu-p sites for MgLu2Se4 and Se-p-Y-p states in MgY2Se4,3,0.8471806645393372,False
baseline_80,iTE:P1006:n2,half-metallic character,iTE:P1463:n2,hybridization,4,0.8343501091003418,False
baseline_80,iTE:P1006:n2,half-metallic character,iTE:P1536:n1,metallic nature,5,0.8299693465232849,False
baseline_80,iTE:P1006:n2,half-metallic character,iTE:P1206:n1,temperature,6,0.8266348838806152,False
baseline_80,iTE:P1006:n2,half-metallic character,iTE:P1092:n2,semiconducting natures with a direct band gap,7,0.8194655776023865,False
baseline_80,iTE:P1006:n2,half-metallic character,iTE:P1536:n3,MgCu3GaSe4,8,0.8193996548652649,False
baseline_80,iTE:P1006:n2,half-metallic character,iTE:P1206:n2,thermoelectric figure of merit,9,0.8160061836242676,False
baseline_80,iTE:P1006:n2,half-metallic character,iTE:P1875:n1,increasing sulfur composition at any fixed magnesium composition,10,0.8121821284294128,False
baseline_80,iTE:P1025:n2,optical conductivity,iTE:P1025:n1,interband transitions,1,0.964042603969574,True
baseline_80,iTE:P1025:n2,optical conductivity,iTE:P0897:n2,figure of merit close to unity,2,0.9046449065208435,False
baseline_80,iTE:P1025:n2,optical conductivity,iTE:P1117:n2,thermoelectric efficiency,3,0.8917717337608337,False
baseline_80,iTE:P1025:n2,optical conductivity,iTE:P0994:n2,electrical conductivity,4,0.8820467591285706,False
baseline_80,iTE:P1025:n2,optical conductivity,iTE:P1117:n1,increasing Cl content,5,0.882037878036499,False
baseline_80,iTE:P1025:n2,optical conductivity,iTE:P1009:n2,figure of merit,6,0.8819816708564758,False
baseline_80,iTE:P1025:n2,optical conductivity,iTE:P1135:n1,ultralow lattice thermal conductivity,7,0.8723199367523193,False
baseline_80,iTE:P1025:n2,optical conductivity,iTE:P1135:n2,high figure of merit,8,0.8636237382888794,False
baseline_80,iTE:P1025:n2,optical conductivity,iTE:P0933:n3,thermoelectric performance,9,0.8621567487716675,False
baseline_80,iTE:P1025:n2,optical conductivity,iTE:P0994:n3,high figure of merit,10,0.8620712161064148,False
baseline_80,iTE:P1093:n2,half-metal,iTE:P1093:n1,adding a F atom,1,0.9463592767715454,True
baseline_80,iTE:P1093:n2,half-metal,iTE:P0983:n2,half-metallicity character,2,0.862060010433197,False
baseline_80,iTE:P1093:n2,half-metal,iTE:P1072:n2,Seebeck coefficient,3,0.8614597320556641,False
baseline_80,iTE:P1093:n2,half-metal,iTE:P1420:n2,compensated Seebeck coefficient,4,0.859256386756897,False
baseline_80,iTE:P1093:n2,half-metal,iTE:P1362:n2,Seebeck coefficient,5,0.8587613105773926,False
baseline_80,iTE:P1093:n2,half-metal,iTE:P1479:n1,Seebeck coefficients,6,0.8586251139640808,False
baseline_80,iTE:P1093:n2,half-metal,iTE:P1004:n2,Seebeck coefficient,7,0.8563421964645386,False
baseline_80,iTE:P1093:n2,half-metal,iTE:P0964:n2,Seebeck coefficient,8,0.8511813282966614,False
baseline_80,iTE:P1093:n2,half-metal,iTE:P0993:n2,Seebeck coefficients,9,0.8500772714614868,False
baseline_80,iTE:P1093:n2,half-metal,iTE:P0813:n2,thermoelectric power,10,0.8483096957206726,False
baseline_80,iTE:P1132:n1,Cr doping,iTE:P1132:n2,grain growth,1,0.9762440919876099,True
baseline_80,iTE:P1132:n1,Cr doping,iTE:P1004:n1,Cr doping,2,0.9051364064216614,False
baseline_80,iTE:P1132:n1,Cr doping,iTE:P1004:n2,Seebeck coefficient,3,0.8773880004882812,False
baseline_80,iTE:P1132:n1,Cr doping,iTE:P1940:n2,charge carrier concentration,4,0.8530113101005554,False
baseline_80,iTE:P1132:n1,Cr doping,iTE:P1105:n1,increasing x,5,0.8507765531539917,False
baseline_80,iTE:P1132:n1,Cr doping,iTE:P1072:n2,Seebeck coefficient,6,0.8442076444625854,False
baseline_80,iTE:P1132:n1,Cr doping,iTE:P1500:n4,electrical conductivity,7,0.8432380557060242,False
baseline_80,iTE:P1132:n1,Cr doping,iTE:P0486:n2,Sm-doping,8,0.8414788246154785,False
baseline_80,iTE:P1132:n1,Cr doping,iTE:P1164:n2,electrical resistivity,9,0.8409634232521057,False
baseline_80,iTE:P1132:n1,Cr doping,iTE:P1164:n3,Seebeck coefficient,10,0.8400382995605469,False
baseline_80,iTE:P1161:n2,concentration of electron holes,iTE:P1161:n1,thermal reduction,1,0.9775602221488953,True
baseline_80,iTE:P1161:n2,concentration of electron holes,iTE:P1679:n1,electrons,2,0.8962886929512024,False
baseline_80,iTE:P1161:n2,concentration of electron holes,iTE:P1435:n1,growing amount of oxygen vacancies,3,0.882707417011261,False
baseline_80,iTE:P1161:n2,concentration of electron holes,iTE:P1362:n2,Seebeck coefficient,4,0.8712025284767151,False
baseline_80,iTE:P1161:n2,concentration of electron holes,iTE:P1435:n2,electrical conductivity,5,0.8631813526153564,False
baseline_80,iTE:P1161:n2,concentration of electron holes,iTE:P1000:n1,Changes in the carrier concentration,6,0.8619801998138428,False
baseline_80,iTE:P1161:n2,concentration of electron holes,iTE:P1059:n2,hole-mobility values,7,0.8615921139717102,False
baseline_80,iTE:P1161:n2,concentration of electron holes,iTE:P1313:n1,hole concentration,8,0.8609681725502014,False
baseline_80,iTE:P1161:n2,concentration of electron holes,iTE:P1517:n3,electrical and thermal conductivities,9,0.8606429100036621,False
baseline_80,iTE:P1161:n2,concentration of electron holes,iTE:P1835:n2,concentration of electrons,10,0.8602197170257568,False
baseline_80,iTE:P1388:n2,concentration of holes,iTE:P1388:n1,dissolution of protons,1,0.9733175039291382,True
baseline_80,iTE:P1388:n2,concentration of holes,iTE:P1755:n2,hole concentration,2,0.849998950958252,False
baseline_80,iTE:P1388:n2,concentration of holes,iTE:P1483:n2,"holes, one free and the other trapped",3,0.8468125462532043,False
baseline_80,iTE:P1388:n2,concentration of holes,iTE:P1554:n1,hole localization at defects,4,0.8377749919891357,False
baseline_80,iTE:P1388:n2,concentration of holes,iTE:P1869:n2,formation of electronic holes,5,0.8329752087593079,False
baseline_80,iTE:P1388:n2,concentration of holes,iTE:P1483:n1,oxygen interstitials,6,0.8257089853286743,False
baseline_80,iTE:P1388:n2,concentration of holes,iTE:P0969:n2,formation of free holes,7,0.8231877684593201,False
baseline_80,iTE:P1388:n2,concentration of holes,iTE:P1172:n1,doping with holes,8,0.8113482594490051,False
baseline_80,iTE:P1388:n2,concentration of holes,iTE:P1139:n1,increased hole distribution on the plane oxygen sites relative to the plane Cu sites,9,0.8106828331947327,False
baseline_80,iTE:P1388:n2,concentration of holes,iTE:P1832:n1,point-defect interactions,10,0.8092593550682068,False
baseline_80,iTE:P1509:n2,half-metallic gap,iTE:P1509:n1,d-d hybridization,1,0.954602062702179,True
baseline_80,iTE:P1509:n2,half-metallic gap,iTE:P0649:n2,Band gap,2,0.8628362417221069,False
baseline_80,iTE:P1509:n2,half-metallic gap,iTE:P0983:n2,half-metallicity character,3,0.8423545956611633,False
baseline_80,iTE:P1509:n2,half-metallic gap,iTE:P1651:n2,gap formation,4,0.8388890027999878,False
baseline_80,iTE:P1509:n2,half-metallic gap,iTE:P0649:n1,Sn-concentration,5,0.8386034369468689,False
baseline_80,iTE:P1509:n2,half-metallic gap,iTE:P1757:n2,bandgaps,6,0.837125837802887,False
baseline_80,iTE:P1509:n2,half-metallic gap,iTE:P1450:n1,zero band gap,7,0.835563063621521,False
baseline_80,iTE:P1509:n2,half-metallic gap,iTE:P1504:n1,cross-gap hybridization,8,0.8332647681236267,False
baseline_80,iTE:P1509:n2,half-metallic gap,iTE:P1735:n2,high index and wide gap,9,0.830082893371582,False
baseline_80,iTE:P1509:n2,half-metallic gap,iTE:P1740:n2,optical band gap,10,0.8271734118461609,False
baseline_80,iTE:P1535:n2,increase of the carrier concentration,iTE:P1535:n1,increased doping content,1,0.9815723299980164,True
baseline_80,iTE:P1535:n2,increase of the carrier concentration,iTE:P1716:n1,doping level,2,0.875444769859314,False
baseline_80,iTE:P1535:n2,increase of the carrier concentration,iTE:P1539:n2,decrement in the carrier concentration,3,0.8692266941070557,False
baseline_80,iTE:P1535:n2,increase of the carrier concentration,iTE:P1492:n2,charge carrier concentration,4,0.8642792105674744,False
baseline_80,iTE:P1535:n2,increase of the carrier concentration,iTE:P0426:n2,carrier concentration,5,0.8624104857444763,False
baseline_80,iTE:P1535:n2,increase of the carrier concentration,iTE:P0582:n2,carrier concentration,6,0.8493916392326355,False
baseline_80,iTE:P1535:n2,increase of the carrier concentration,iTE:P0832:n2,carrier concentration,7,0.8491964936256409,False
baseline_80,iTE:P1535:n2,increase of the carrier concentration,iTE:P0665:n2,excess number of carriers,8,0.8490773439407349,False
baseline_80,iTE:P1535:n2,increase of the carrier concentration,iTE:P1124:n1,higher carrier concentration,9,0.8473871350288391,False
baseline_80,iTE:P1535:n2,increase of the carrier concentration,iTE:P1539:n1,doping the Zn atom,10,0.8459218144416809,False
baseline_80,iTE:P1646:n2,ionic bonding,iTE:P1646:n1,positive values of Cauchy pressure,1,0.9719496965408325,True
baseline_80,iTE:P1646:n2,ionic bonding,iTE:P1720:n2,ionic nature,2,0.8843336701393127,False
baseline_80,iTE:P1646:n2,ionic bonding,iTE:P1699:n2,ionic character,3,0.87226402759552,False
baseline_80,iTE:P1646:n2,ionic bonding,iTE:P1684:n2,covalent bonding,4,0.864646315574646,False
baseline_80,iTE:P1646:n2,ionic bonding,iTE:P1713:n1,ionic as well as covalent nature of bonding,5,0.8614971041679382,False
baseline_80,iTE:P1646:n2,ionic bonding,iTE:P1662:n1,strong ionic bond in Cs-O,6,0.8604852557182312,False
baseline_80,iTE:P1646:n2,ionic bonding,iTE:P1720:n1,electron density and Poisson's ratio,7,0.8603980541229248,False
baseline_80,iTE:P1646:n2,ionic bonding,iTE:P1597:n2,structural stability,8,0.8569649457931519,False
baseline_80,iTE:P1646:n2,ionic bonding,iTE:P1662:n2,covalent bond between X and O,9,0.8562158346176147,False
baseline_80,iTE:P1646:n2,ionic bonding,iTE:P0960:n1,covalent bonding,10,0.8554382920265198,False
baseline_80,iTE:P1743:n2,conducting properties,iTE:P1743:n1,Eu3+ insertion,1,0.9797462821006775,True
baseline_80,iTE:P1743:n2,conducting properties,iTE:P0636:n2,Electrical conductivity,2,0.8846653699874878,False
baseline_80,iTE:P1743:n2,conducting properties,iTE:P0718:n2,Electrical conductivity,3,0.8846653699874878,False
baseline_80,iTE:P1743:n2,conducting properties,iTE:P0636:n3,Seebeck coefficient,4,0.869249165058136,False
baseline_80,iTE:P1743:n2,conducting properties,iTE:P0718:n3,Seebeck coefficient,5,0.869249165058136,False
baseline_80,iTE:P1743:n2,conducting properties,iTE:P1625:n1,electronic and ionic conductivity,6,0.8645579218864441,False
baseline_80,iTE:P1743:n2,conducting properties,iTE:P1670:n2,electrical conductivity,7,0.8636630773544312,False
baseline_80,iTE:P1743:n2,conducting properties,iTE:P0651:n2,electrical conductivity,8,0.8629176020622253,False
baseline_80,iTE:P1743:n2,conducting properties,iTE:P0823:n2,electrical conductivities,9,0.8591583371162415,False
baseline_80,iTE:P1743:n2,conducting properties,iTE:P1500:n4,electrical conductivity,10,0.8590765595436096,False
baseline_80,iTE:P1835:n2,concentration of electrons,iTE:P1835:n1,dope M2+,1,0.9755119681358337,True
baseline_80,iTE:P1835:n2,concentration of electrons,iTE:P1826:n1,low and high oxygen activities,2,0.9057503938674927,False
baseline_80,iTE:P1835:n2,concentration of electrons,iTE:P1832:n2,partial ionic and hole conductivities,3,0.8959759473800659,False
baseline_80,iTE:P1835:n2,concentration of electrons,iTE:P1679:n1,electrons,4,0.8929785490036011,False
baseline_80,iTE:P1835:n2,concentration of electrons,iTE:P1435:n1,growing amount of oxygen vacancies,5,0.8907096982002258,False
baseline_80,iTE:P1835:n2,concentration of electrons,iTE:P1826:n2,electronic and ionic lattice charge compensations,6,0.8900877833366394,False
baseline_80,iTE:P1835:n2,concentration of electrons,iTE:P1486:n1,defect structure,7,0.8810655474662781,False
baseline_80,iTE:P1835:n2,concentration of electrons,iTE:P1361:n2,ionic conductivity,8,0.8753861784934998,False
baseline_80,iTE:P1835:n2,concentration of electrons,iTE:P1139:n1,increased hole distribution on the plane oxygen sites relative to the plane Cu sites,9,0.8735604882240295,False
baseline_80,iTE:P1835:n2,concentration of electrons,iTE:P1832:n1,point-defect interactions,10,0.87088543176651,False
baseline_80,iTE:P1931:n1,ionic bonding,iTE:P1931:n2,ductility,1,0.9396775364875793,True
baseline_80,iTE:P1931:n1,ionic bonding,iTE:P0933:n1,mixed ionic-covalent bonding,2,0.8698445558547974,False
baseline_80,iTE:P1931:n1,ionic bonding,iTE:P1808:n2,ionic bonding,3,0.8584359884262085,False
baseline_80,iTE:P1931:n1,ionic bonding,iTE:P1848:n2,Band gap tuning,4,0.8519802689552307,False
baseline_80,iTE:P1931:n1,ionic bonding,iTE:P0670:n2,hydrogen-bonding networks,5,0.8470119833946228,False
baseline_80,iTE:P1931:n1,ionic bonding,iTE:P0960:n1,covalent bonding,6,0.8452637791633606,False
baseline_80,iTE:P1931:n1,ionic bonding,iTE:P1848:n1,halogen ionic radius variation,7,0.8448094725608826,False
baseline_80,iTE:P1931:n1,ionic bonding,iTE:P0933:n3,thermoelectric performance,8,0.84464430809021,False
baseline_80,iTE:P1931:n1,ionic bonding,iTE:P1905:n2,decreasing bandgaps (1.1 eV to 0.7 eV to 0.65 eV),9,0.8432424068450928,False
baseline_80,iTE:P1931:n1,ionic bonding,iTE:P0513:n2,mixed ionic-covalent bonding in Ge-O linkages,10,0.8428990244865417,False
focused_clause,TG:P0007:n2,sensitivity,TG:P0007:n1,micropatterned and gradient structure strategy,1,0.9681075215339661,True
focused_clause,TG:P0007:n2,sensitivity,TG:P0241:n2,higher sensitivity,2,0.8503618836402893,False
focused_clause,TG:P0007:n2,sensitivity,TG:P0110:n2,sensitivity,3,0.845375120639801,False
focused_clause,TG:P0007:n2,sensitivity,TG:P0110:n1,Peltier coefficient,4,0.8029162883758545,False
focused_clause,TG:P0007:n2,sensitivity,TG:P0032:n3,sensing performance,5,0.8020534515380859,False
focused_clause,TG:P0007:n2,sensitivity,TG:P0209:n1,concentration gradients,6,0.799737811088562,False
focused_clause,TG:P0007:n2,sensitivity,TG:P0158:n2,crosstalk between pixels,7,0.7920079231262207,False
focused_clause,TG:P0007:n2,sensitivity,TG:P0158:n3,spatial resolution,8,0.7877933979034424,False
focused_clause,TG:P0007:n2,sensitivity,TG:P0158:n1,reduction in hydrogel thickness,9,0.7818094491958618,False
focused_clause,TG:P0007:n2,sensitivity,TG:P0110:n4,resolution,10,0.7798057198524475,False
focused_clause,TG:P0011:n3,current density,TG:P0011:n1,incorporating a cationic pair into a cationic electroactive network (CN),1,0.9701838493347168,True
focused_clause,TG:P0011:n3,current density,TG:P0043:n4,thermal current,2,0.9072859883308411,False
focused_clause,TG:P0011:n3,current density,TG:P0146:n3,exchange current density,3,0.9027358889579773,False
focused_clause,TG:P0011:n3,current density,TG:P0045:n3,ion concentration,4,0.9022418260574341,False
focused_clause,TG:P0011:n3,current density,TG:P0045:n4,thermoelectric performance,5,0.8944615721702576,False
focused_clause,TG:P0011:n3,current density,TG:P0043:n1,KCl,6,0.8906338214874268,False
focused_clause,TG:P0011:n3,current density,TG:P0095:n3,ohmic resistance,7,0.8905391693115234,False
focused_clause,TG:P0011:n3,current density,TG:P0043:n2,thermodiffusion,8,0.8899626135826111,False
focused_clause,TG:P0011:n3,current density,TG:P0161:n3,ion transport and concentration equilibrium,9,0.8883970975875854,False
focused_clause,TG:P0011:n3,current density,TG:P0219:n4,thermocapacitance,10,0.886654794216156,False
focused_clause,TG:P0013:n2,electrical performance,TG:P0013:n3,environmental stability,1,0.9760310649871826,True
focused_clause,TG:P0013:n2,electrical performance,TG:P0013:n1,"hydrogen bonds among phytic acid, glycerol, and water",2,0.965203046798706,True
focused_clause,TG:P0013:n2,electrical performance,TG:P0208:n2,power output,3,0.892116904258728,False
focused_clause,TG:P0013:n2,electrical performance,TG:P0045:n4,thermoelectric performance,4,0.8904306888580322,False
focused_clause,TG:P0013:n2,electrical performance,TG:P0055:n3,power output,5,0.8879465460777283,False
focused_clause,TG:P0013:n2,electrical performance,TG:P0095:n3,ohmic resistance,6,0.8862205743789673,False
focused_clause,TG:P0013:n2,electrical performance,TG:P0047:n6,energy dissipation,7,0.881626546382904,False
focused_clause,TG:P0013:n2,electrical performance,TG:P0045:n3,ion concentration,8,0.8805974125862122,False
focused_clause,TG:P0013:n2,electrical performance,TG:P0139:n7,hydrogen bonding with hydrogel surfaces,9,0.8778325319290161,False
focused_clause,TG:P0013:n2,electrical performance,TG:P0095:n2,electrocatalysis,10,0.8760167360305786,False
focused_clause,TG:P0015:n1,stretching-induced crystallization,TG:P0015:n2,thermoelectric effect,1,0.9758163690567017,True
focused_clause,TG:P0015:n1,stretching-induced crystallization,TG:P0015:n4,thermopower,2,0.96876060962677,True
focused_clause,TG:P0015:n1,stretching-induced crystallization,TG:P0015:n3,tensile strength,3,0.9684693813323975,True
focused_clause,TG:P0015:n1,stretching-induced crystallization,TG:P0190:n2,ultra-stretchability,4,0.8783890604972839,False
focused_clause,TG:P0015:n1,stretching-induced crystallization,TG:P0068:n3,flexible stretchable properties,5,0.8554754257202148,False
focused_clause,TG:P0015:n1,stretching-induced crystallization,TG:P0052:n2,flexibility at -80 degrees C,6,0.8526403307914734,False
focused_clause,TG:P0015:n1,stretching-induced crystallization,TG:P0053:n6,thermoelectric properties,7,0.8496876955032349,False
focused_clause,TG:P0015:n1,stretching-induced crystallization,TG:P0255:n1,thermosensitive crystallization process,8,0.8491102457046509,False
focused_clause,TG:P0015:n1,stretching-induced crystallization,TG:P0053:n4,growth and precipitation of the produced thermosensitive crystals,9,0.8488373756408691,False
focused_clause,TG:P0015:n1,stretching-induced crystallization,TG:P0145:n1,thermodiffusion,10,0.8466982245445251,False
focused_clause,TG:P0021:n3,ion concentration gradients,TG:P0021:n1,double-layer thermogalvanic cell (DTGC) architecture,1,0.9709463119506836,True
focused_clause,TG:P0021:n3,ion concentration gradients,TG:P0021:n2,spatially segregates redox pairs into two distinct gel layers,2,0.9662917256355286,True
focused_clause,TG:P0021:n3,ion concentration gradients,TG:P0172:n4,concentration gradient,3,0.9289646744728088,False
focused_clause,TG:P0021:n3,ion concentration gradients,TG:P0283:n2,concentration gradient of redox ion pairs,4,0.909511923789978,False
focused_clause,TG:P0021:n3,ion concentration gradients,TG:P0172:n5,redox ion transport,5,0.9024127125740051,False
focused_clause,TG:P0021:n3,ion concentration gradients,TG:P0009:n2,continuous concentration gradient of redox ions,6,0.8905822038650513,False
focused_clause,TG:P0021:n3,ion concentration gradients,TG:P0081:n1,temperature gradient,7,0.8902724981307983,False
focused_clause,TG:P0021:n3,ion concentration gradients,TG:P0172:n3,solvation entropy differences of redox ions,8,0.8885324597358704,False
focused_clause,TG:P0021:n3,ion concentration gradients,TG:P0209:n1,concentration gradients,9,0.872318685054779,False
focused_clause,TG:P0021:n3,ion concentration gradients,TG:P0081:n3,chemical heterogeneity,10,0.8716332316398621,False
focused_clause,TG:P0025:n4,short-circuit current density,TG:P0025:n1,low FA concentrations,1,0.9780345559120178,True
focused_clause,TG:P0025:n4,short-circuit current density,TG:P0025:n3,reaction kinetics,2,0.971349835395813,True
