layer_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,pair_layer,pair_layer_name
13,C872881EC3C,C9B6878E079,gel-confined redox transport,photothermal-thermoelectric coupling,gel_microstructure,device_mechanism,0.2351355254650116,22,13,13,22,7,5,5,7,0.7142857142857143,7,3,10,2.3333333333333335,0.3333333333333333,2,4,7,0.25,2.536398393438714,286,2,1,0,0,0,1,2022,2023-2026,1,0.731333840298924,0.0772622525315919,0.5578427336352408,0.8840881020996294,0.6448744339234252,0,823,X-X,mechanism-mechanism
14,C3002C089A5,CC028ABF9C6,ionic thermodiffusion (Soret effect),anti-freezing organohydrogel design,transport_mechanism,gel_microstructure,0.2160523235797882,24,22,22,24,15,6,6,15,0.4,7,3,10,2.0,0.6666666666666666,27,6,8,0.2105263157894736,2.580050931239355,528,2,1,0,0,0,1,2022,2023-2026,1,0.6368393049008265,0.1959049333851895,0.8950185261424455,0.8834582132564841,0.9144503911074516,0,88,X-X,mechanism-mechanism
15,C872881EC3C,CF2C5201A37,gel-confined redox transport,porous-electrode area enhancement,gel_microstructure,electrode_interface,0.2159069329500198,22,19,19,22,7,5,5,7,0.7142857142857143,7,2,9,2.3333333333333335,0.3333333333333333,2,24,8,0.2424242424242424,2.4268891692195647,418,2,1,0,0,0,1,2022,2023-2026,1,0.7130940075540775,0.1078243421319075,0.7155207904487444,0.8823013585837791,0.7707698641416221,0,452,X-X,mechanism-mechanism
16,C10D3798CF7,CBA7A0F0CA3,selective solvation,thermogalvanic redox conversion,solvation_entropy,device_mechanism,0.2442711740732193,13,60,13,60,6,41,6,41,0.1463414634146341,2,19,21,0.3333333333333333,2.3333333333333335,22,28,9,0.140625,2.795093480635056,780,2,1,0,0,0,1,2022,2023-2026,1,0.7675166063362119,0.2650055186297961,0.9604775627830384,0.8820049403046522,0.9666529435981884,1,13,X-X,mechanism-mechanism
17,C188B56F6F1,C25D09DDC57,ion-selectivity membrane transport,Fe2+/Fe3+ solvation redox chemistry,transport_mechanism,redox_chemistry,0.2765589952468872,16,28,16,28,9,19,9,19,0.4736842105263157,3,8,11,0.0,0.3333333333333333,28,27,6,0.1578947368421052,1.8992629518590252,448,2,1,0,0,0,1,2022,2023-2026,1,0.5619310999348558,0.2144266033642755,0.9151914368052696,0.880922190201729,0.9302593659942364,1,63,X-X,mechanism-mechanism
18,C45C8AAD12E,CEA29EF1A99,charge-transfer resistance engineering,thermal-gradient heat-transfer control,electrode_interface,device_mechanism,0.2467308044433593,21,16,16,21,8,8,8,8,1.0,1,4,5,-0.6666666666666666,0.6666666666666666,31,12,8,0.2758620689655172,2.3853473984018523,336,2,1,0,0,0,1,2022,2023-2026,0,0.3819183919540505,0.0545927764198296,0.4046932894195142,0.8792260189378344,0.521613832853026,0,1188,X-X,mechanism-mechanism
19,C97F8E13D1A,CEA29EF1A99,thermally regenerative electrochemical cycle,thermal-gradient heat-transfer control,device_mechanism,device_mechanism,0.4644120931625366,13,16,13,16,9,8,8,9,0.8888888888888888,2,4,6,-1.3333333333333333,0.6666666666666666,8,12,5,0.2083333333333333,1.5180748189987463,208,2,1,1,0,0,1,2022,2023-2026,0,0.3788304535311198,0.0615769891499383,0.4590366405928365,0.8776780568135034,0.5650061753808151,0,1055,X-X,mechanism-mechanism
20,C7932B1CE8C,CE6FC512ED2,chaotropic polymer-water disruption,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,0.5335185527801514,18,8,8,18,5,2,2,5,0.4,4,2,6,1.0,0.6666666666666666,4,0,5,0.238095238095238,1.644619389220734,144,2,1,1,0,0,1,2022,2023-2026,0,0.6540871103234512,0.1306847396027355,0.7863318237958007,0.8746397694524495,0.826677645121449,0,297,X-X,mechanism-mechanism
21,C10C4FF4B6C,CB56BB4DDB0,hydrogen bonding,carbon-electrode redox interface,solvation_entropy,electrode_interface,0.258301168680191,18,21,18,21,5,7,5,7,0.7142857142857143,5,2,7,1.6666666666666667,0.0,1,24,6,0.1818181818181818,1.775118288084201,378,2,1,0,0,0,1,2022,2023-2026,0,0.5883863592140333,0.0632585676810152,0.4693289419514203,0.871169205434335,0.5729930012350761,0,1030,X-X,mechanism-mechanism
22,C78D65254F9,CA8C62A4868,phase transition,redox reaction entropy,phase_or_species_transition,solvation_entropy,0.2062896490097046,18,27,18,27,5,11,5,11,0.4545454545454545,3,3,6,0.6666666666666666,-0.3333333333333333,6,22,8,0.2162162162162162,2.7419221000437757,486,2,1,0,0,0,1,2022,2023-2026,1,0.4495012887858986,0.2193100264387777,0.9193083573487032,0.8706628242074926,0.9328941951420338,1,60,X-X,mechanism-mechanism
23,CC028ABF9C6,CE6FC512ED2,anti-freezing organohydrogel design,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,0.5259795188903809,22,8,8,22,6,2,2,6,0.3333333333333333,3,2,5,0.6666666666666666,0.6666666666666666,6,0,5,0.2,1.644619389220734,176,2,1,1,0,0,1,2022,2023-2026,1,0.6018185269958986,0.1871272904043259,0.885137916838205,0.8704816797035818,0.9054755043227666,0,105,X-X,mechanism-mechanism
24,C5E47CC0A62,C872881EC3C,Hofmeister/chaotropic effect,gel-confined redox transport,gel_microstructure,gel_microstructure,0.3380573391914367,10,22,10,22,2,7,2,7,0.2857142857142857,1,7,8,0.0,2.3333333333333335,4,2,5,0.1851851851851851,1.5239646722834774,220,2,1,1,0,0,1,2022,2023-2026,1,0.6975756680127173,0.2192884201863725,0.91889666529436,0.8649114862083163,0.9319061342116096,1,62,X-X,mechanism-mechanism
25,C872881EC3C,CE4B0E242E7,gel-confined redox transport,interfacial charge transfer,gel_microstructure,electrode_interface,0.2256041765213012,22,16,16,22,7,6,6,7,0.8571428571428571,7,1,8,2.3333333333333335,-0.3333333333333333,2,31,6,0.1875,1.7752305074586792,352,2,1,0,0,0,1,2022,2023-2026,1,0.6872763746690388,0.0676003739879133,0.4919720049403046,0.8627995059695347,0.5902017291066282,0,987,X-X,mechanism-mechanism
