sentence_pair_id,paper_id,analysis_layer,source_membership,year,title,doi,sentence_id,evidence_sentence,left_global_concept_id,left_layer_node_id,left_label,left_surface,left_char_start,left_char_end,right_global_concept_id,right_layer_node_id,right_label,right_surface,right_char_start,right_char_end,pair_key,evidence_scope,strict_syntax_relation_supported
SP_fc986a41e4e4,P0192,TG,TG,2017,High thermopower of ferri/ferrocyanide redox couple in organic-water solutions,10.1016/j.nanoen.2016.11.014,7,"The maximum power density obtained, normalized to the square of the inter-electrode temperature difference (similar to 4.1 degrees C), is 0.64 mW m(-2)K(-2), which is approximately 1.8 times higher compared with the thermocell based on pure aqueous electrolyte.",GC_09c84fb5d355,LN_6253a6eed55f,maximum power,maximum power,971,984,GC_8bfb447ec0a7,LN_b0f40db1c6c3,pure aqueous electrolyte,pure aqueous electrolyte,1203,1227,GC_09c84fb5d355::GC_8bfb447ec0a7,same_sentence_cooccurrence_not_causal,False
SP_643c7139563c,P0192,TG,TG,2017,High thermopower of ferri/ferrocyanide redox couple in organic-water solutions,10.1016/j.nanoen.2016.11.014,7,"The maximum power density obtained, normalized to the square of the inter-electrode temperature difference (similar to 4.1 degrees C), is 0.64 mW m(-2)K(-2), which is approximately 1.8 times higher compared with the thermocell based on pure aqueous electrolyte.",GC_6f0f083fb15f,LN_aa1b60c4c7af,maximum power density,maximum power density,971,992,GC_eddf98ee3997,LN_5927bcfba943,inter electrode,inter-electrode,1035,1050,GC_6f0f083fb15f::GC_eddf98ee3997,same_sentence_cooccurrence_not_causal,False
SP_ccc1dc0f8d99,P0192,TG,TG,2017,High thermopower of ferri/ferrocyanide redox couple in organic-water solutions,10.1016/j.nanoen.2016.11.014,7,"The maximum power density obtained, normalized to the square of the inter-electrode temperature difference (similar to 4.1 degrees C), is 0.64 mW m(-2)K(-2), which is approximately 1.8 times higher compared with the thermocell based on pure aqueous electrolyte.",GC_09c84fb5d355,LN_6253a6eed55f,maximum power,maximum power,971,984,GC_eddf98ee3997,LN_5927bcfba943,inter electrode,inter-electrode,1035,1050,GC_09c84fb5d355::GC_eddf98ee3997,same_sentence_cooccurrence_not_causal,False
SP_9f34283abf92,P0192,TG,TG,2017,High thermopower of ferri/ferrocyanide redox couple in organic-water solutions,10.1016/j.nanoen.2016.11.014,7,"The maximum power density obtained, normalized to the square of the inter-electrode temperature difference (similar to 4.1 degrees C), is 0.64 mW m(-2)K(-2), which is approximately 1.8 times higher compared with the thermocell based on pure aqueous electrolyte.",GC_09c84fb5d355,LN_6253a6eed55f,maximum power,maximum power,971,984,GC_6f0f083fb15f,LN_aa1b60c4c7af,maximum power density,maximum power density,971,992,GC_09c84fb5d355::GC_6f0f083fb15f,same_sentence_cooccurrence_not_causal,False
SP_db4d72939245,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,2,"The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness.",GC_4a92e5f4fe38,LN_ce78e7c63303,hydrogel,hydrogel,135,143,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolytes,135,156,GC_4a92e5f4fe38::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
SP_55f0aec58be3,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,2,"The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness.",GC_e3dc7a9d810c,LN_de93b237587f,quasi solid state,quasi-solid-state,203,220,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolytes,135,156,GC_e3dc7a9d810c::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
SP_6e038365c7a8,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,2,"The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness.",GC_c6f96235805f,LN_a5e5c636fd27,tecs,TECs,221,225,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolytes,135,156,GC_c6f96235805f::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
SP_8319b64b5a5b,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,2,"The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness.",GC_02010c234a8a,LN_4f2d3cb7a134,eco friendliness,eco-friendliness,271,287,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolytes,135,156,GC_02010c234a8a::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
SP_3e58432dfac4,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,2,"The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness.",GC_4a92e5f4fe38,LN_ce78e7c63303,hydrogel,hydrogel,135,143,GC_e3dc7a9d810c,LN_de93b237587f,quasi solid state,quasi-solid-state,203,220,GC_4a92e5f4fe38::GC_e3dc7a9d810c,same_sentence_cooccurrence_not_causal,False
SP_518df98d4c91,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,2,"The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness.",GC_4a92e5f4fe38,LN_ce78e7c63303,hydrogel,hydrogel,135,143,GC_c6f96235805f,LN_a5e5c636fd27,tecs,TECs,221,225,GC_4a92e5f4fe38::GC_c6f96235805f,same_sentence_cooccurrence_not_causal,False
SP_f7fd1f55a313,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,2,"The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness.",GC_02010c234a8a,LN_4f2d3cb7a134,eco friendliness,eco-friendliness,271,287,GC_4a92e5f4fe38,LN_ce78e7c63303,hydrogel,hydrogel,135,143,GC_02010c234a8a::GC_4a92e5f4fe38,same_sentence_cooccurrence_not_causal,False
SP_0117a7996237,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,2,"The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness.",GC_c6f96235805f,LN_a5e5c636fd27,tecs,TECs,221,225,GC_e3dc7a9d810c,LN_de93b237587f,quasi solid state,quasi-solid-state,203,220,GC_c6f96235805f::GC_e3dc7a9d810c,same_sentence_cooccurrence_not_causal,False
SP_ab0603849b17,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,2,"The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness.",GC_02010c234a8a,LN_4f2d3cb7a134,eco friendliness,eco-friendliness,271,287,GC_e3dc7a9d810c,LN_de93b237587f,quasi solid state,quasi-solid-state,203,220,GC_02010c234a8a::GC_e3dc7a9d810c,same_sentence_cooccurrence_not_causal,False
SP_94d21b3cf685,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,2,"The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness.",GC_02010c234a8a,LN_4f2d3cb7a134,eco friendliness,eco-friendliness,271,287,GC_c6f96235805f,LN_a5e5c636fd27,tecs,TECs,221,225,GC_02010c234a8a::GC_c6f96235805f,same_sentence_cooccurrence_not_causal,False
SP_1c23d994b19a,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,3,"In contrast, conventional hydrogel electrolytes cannot adapt to a sufficiently wide working temperature range, as they inevitably freeze under sub-zero temperatures and dry out under elevated temperatures, resulting in loss in both mechanical flexibility and ion transport capability.",GC_c2d00d7f1242,LN_e02b203feff5,ion transport,ion transport,548,561,GC_d460b2c5b4b2,LN_7b4330235780,conventional hydrogel electrolyte,conventional hydrogel electrolytes,302,336,GC_c2d00d7f1242::GC_d460b2c5b4b2,same_sentence_cooccurrence_not_causal,False
SP_61e426dce27f,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,3,"In contrast, conventional hydrogel electrolytes cannot adapt to a sufficiently wide working temperature range, as they inevitably freeze under sub-zero temperatures and dry out under elevated temperatures, resulting in loss in both mechanical flexibility and ion transport capability.",GC_c2d00d7f1242,LN_e02b203feff5,ion transport,ion transport,548,561,GC_f0b206279980,LN_942e7166e710,conventional hydrogel,conventional hydrogel,302,323,GC_c2d00d7f1242::GC_f0b206279980,same_sentence_cooccurrence_not_causal,False
SP_d5000501c6ce,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,3,"In contrast, conventional hydrogel electrolytes cannot adapt to a sufficiently wide working temperature range, as they inevitably freeze under sub-zero temperatures and dry out under elevated temperatures, resulting in loss in both mechanical flexibility and ion transport capability.",GC_7cb9124c4f12,LN_2a915d19dbb2,sub zero,sub-zero,432,440,GC_c2d00d7f1242,LN_e02b203feff5,ion transport,ion transport,548,561,GC_7cb9124c4f12::GC_c2d00d7f1242,same_sentence_cooccurrence_not_causal,False
SP_b6953944424a,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,3,"In contrast, conventional hydrogel electrolytes cannot adapt to a sufficiently wide working temperature range, as they inevitably freeze under sub-zero temperatures and dry out under elevated temperatures, resulting in loss in both mechanical flexibility and ion transport capability.",GC_d460b2c5b4b2,LN_7b4330235780,conventional hydrogel electrolyte,conventional hydrogel electrolytes,302,336,GC_f0b206279980,LN_942e7166e710,conventional hydrogel,conventional hydrogel,302,323,GC_d460b2c5b4b2::GC_f0b206279980,same_sentence_cooccurrence_not_causal,False
SP_12b30bc65f8e,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,3,"In contrast, conventional hydrogel electrolytes cannot adapt to a sufficiently wide working temperature range, as they inevitably freeze under sub-zero temperatures and dry out under elevated temperatures, resulting in loss in both mechanical flexibility and ion transport capability.",GC_7cb9124c4f12,LN_2a915d19dbb2,sub zero,sub-zero,432,440,GC_d460b2c5b4b2,LN_7b4330235780,conventional hydrogel electrolyte,conventional hydrogel electrolytes,302,336,GC_7cb9124c4f12::GC_d460b2c5b4b2,same_sentence_cooccurrence_not_causal,False
SP_5aff8203b73d,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,3,"In contrast, conventional hydrogel electrolytes cannot adapt to a sufficiently wide working temperature range, as they inevitably freeze under sub-zero temperatures and dry out under elevated temperatures, resulting in loss in both mechanical flexibility and ion transport capability.",GC_7cb9124c4f12,LN_2a915d19dbb2,sub zero,sub-zero,432,440,GC_f0b206279980,LN_942e7166e710,conventional hydrogel,conventional hydrogel,302,323,GC_7cb9124c4f12::GC_f0b206279980,same_sentence_cooccurrence_not_causal,False
SP_68bdaf047fd3,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_4a92e5f4fe38,LN_ce78e7c63303,hydrogel,hydrogel,584,592,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolyte,584,604,GC_4a92e5f4fe38::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
SP_1fa9bc9bc3ac,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_27998e08b8e3,LN_0d8c4143b2d7,hydration,hydration,747,756,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolyte,584,604,GC_27998e08b8e3::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
SP_9571c2bdc9b9,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_41374fb28f21,LN_235359c120ea,redox ion,redox ions,629,639,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolyte,584,604,GC_41374fb28f21::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
SP_ef97d2e4c4b4,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_e3dc7a9d810c,LN_de93b237587f,quasi solid state,quasi-solid-state,786,803,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolyte,584,604,GC_e3dc7a9d810c::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
SP_e6d023ebd591,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_50c64ed68beb,LN_1100ecb0f2e7,freeze tolerance,freeze-tolerance,655,671,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolyte,584,604,GC_50c64ed68beb::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
SP_f393feb46f1c,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_649527c4ec05,LN_373f7709f3dc,self humidifying,self-humidifying,676,692,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolyte,584,604,GC_649527c4ec05::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
SP_8285261abe2a,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_27998e08b8e3,LN_0d8c4143b2d7,hydration,hydration,747,756,GC_4a92e5f4fe38,LN_ce78e7c63303,hydrogel,hydrogel,584,592,GC_27998e08b8e3::GC_4a92e5f4fe38,same_sentence_cooccurrence_not_causal,False
SP_59f66af7ef3d,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_41374fb28f21,LN_235359c120ea,redox ion,redox ions,629,639,GC_4a92e5f4fe38,LN_ce78e7c63303,hydrogel,hydrogel,584,592,GC_41374fb28f21::GC_4a92e5f4fe38,same_sentence_cooccurrence_not_causal,False
SP_dd0e62c664f8,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_4a92e5f4fe38,LN_ce78e7c63303,hydrogel,hydrogel,584,592,GC_e3dc7a9d810c,LN_de93b237587f,quasi solid state,quasi-solid-state,786,803,GC_4a92e5f4fe38::GC_e3dc7a9d810c,same_sentence_cooccurrence_not_causal,False
SP_3faa21b95214,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_4a92e5f4fe38,LN_ce78e7c63303,hydrogel,hydrogel,584,592,GC_50c64ed68beb,LN_1100ecb0f2e7,freeze tolerance,freeze-tolerance,655,671,GC_4a92e5f4fe38::GC_50c64ed68beb,same_sentence_cooccurrence_not_causal,False
SP_16721f1ea9b5,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_4a92e5f4fe38,LN_ce78e7c63303,hydrogel,hydrogel,584,592,GC_649527c4ec05,LN_373f7709f3dc,self humidifying,self-humidifying,676,692,GC_4a92e5f4fe38::GC_649527c4ec05,same_sentence_cooccurrence_not_causal,False
SP_cc81307ecab3,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_27998e08b8e3,LN_0d8c4143b2d7,hydration,hydration,747,756,GC_41374fb28f21,LN_235359c120ea,redox ion,redox ions,629,639,GC_27998e08b8e3::GC_41374fb28f21,same_sentence_cooccurrence_not_causal,False
SP_95a969d723eb,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_27998e08b8e3,LN_0d8c4143b2d7,hydration,hydration,747,756,GC_e3dc7a9d810c,LN_de93b237587f,quasi solid state,quasi-solid-state,786,803,GC_27998e08b8e3::GC_e3dc7a9d810c,same_sentence_cooccurrence_not_causal,False
SP_511f5c62cade,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_27998e08b8e3,LN_0d8c4143b2d7,hydration,hydration,747,756,GC_50c64ed68beb,LN_1100ecb0f2e7,freeze tolerance,freeze-tolerance,655,671,GC_27998e08b8e3::GC_50c64ed68beb,same_sentence_cooccurrence_not_causal,False
SP_00b24b3f10a9,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_27998e08b8e3,LN_0d8c4143b2d7,hydration,hydration,747,756,GC_649527c4ec05,LN_373f7709f3dc,self humidifying,self-humidifying,676,692,GC_27998e08b8e3::GC_649527c4ec05,same_sentence_cooccurrence_not_causal,False
SP_19ad595f9f10,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_41374fb28f21,LN_235359c120ea,redox ion,redox ions,629,639,GC_e3dc7a9d810c,LN_de93b237587f,quasi solid state,quasi-solid-state,786,803,GC_41374fb28f21::GC_e3dc7a9d810c,same_sentence_cooccurrence_not_causal,False
SP_c0fb4ed4eda8,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_41374fb28f21,LN_235359c120ea,redox ion,redox ions,629,639,GC_50c64ed68beb,LN_1100ecb0f2e7,freeze tolerance,freeze-tolerance,655,671,GC_41374fb28f21::GC_50c64ed68beb,same_sentence_cooccurrence_not_causal,False
SP_138c1b0a0e48,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_41374fb28f21,LN_235359c120ea,redox ion,redox ions,629,639,GC_649527c4ec05,LN_373f7709f3dc,self humidifying,self-humidifying,676,692,GC_41374fb28f21::GC_649527c4ec05,same_sentence_cooccurrence_not_causal,False
SP_e8aa8b662a04,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_50c64ed68beb,LN_1100ecb0f2e7,freeze tolerance,freeze-tolerance,655,671,GC_e3dc7a9d810c,LN_de93b237587f,quasi solid state,quasi-solid-state,786,803,GC_50c64ed68beb::GC_e3dc7a9d810c,same_sentence_cooccurrence_not_causal,False
SP_0e6f10e00147,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_649527c4ec05,LN_373f7709f3dc,self humidifying,self-humidifying,676,692,GC_e3dc7a9d810c,LN_de93b237587f,quasi solid state,quasi-solid-state,786,803,GC_649527c4ec05::GC_e3dc7a9d810c,same_sentence_cooccurrence_not_causal,False
SP_d2e6f3ca6b9c,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_50c64ed68beb,LN_1100ecb0f2e7,freeze tolerance,freeze-tolerance,655,671,GC_649527c4ec05,LN_373f7709f3dc,self humidifying,self-humidifying,676,692,GC_50c64ed68beb::GC_649527c4ec05,same_sentence_cooccurrence_not_causal,False
SP_ac83cf174541,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,5,It also demonstrates long-term environmental stability without the need for encapsulation or packaging.,GC_3286395881b3,LN_31e981ec83b5,long term,long-term,934,943,GC_41784cc12c5f,LN_c7f79a544110,long term environmental stability,long-term environmental stability,934,967,GC_3286395881b3::GC_41784cc12c5f,same_sentence_cooccurrence_not_causal,False
SP_b751c5175ae1,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,6,"The colligative properties of the hydrogel electrolyte can suppress ice crystallization, and in-depth molecular dynamics simulations reveal that a vital underlying mechanism is the strong coordination effect of Li+ ions with water molecules over a wide range of temperatures.",GC_77ebb0d46b50,LN_4cb5d4e2757e,ice crystallization,ice crystallization,1085,1104,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolyte,1051,1071,GC_77ebb0d46b50::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
SP_779c5d64a932,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,6,"The colligative properties of the hydrogel electrolyte can suppress ice crystallization, and in-depth molecular dynamics simulations reveal that a vital underlying mechanism is the strong coordination effect of Li+ ions with water molecules over a wide range of temperatures.",GC_4a92e5f4fe38,LN_ce78e7c63303,hydrogel,hydrogel,1051,1059,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolyte,1051,1071,GC_4a92e5f4fe38::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
SP_da357aaed086,P0193,TG,TG,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,6,"The colligative properties of the hydrogel electrolyte can suppress ice crystallization, and in-depth molecular dynamics simulations reveal that a vital underlying mechanism is the strong coordination effect of Li+ ions with water molecules over a wide range of temperatures.",GC_78497a3caea5,LN_8940e11d0340,li+ ion,Li+ ions,1228,1236,GC_f7553cd07f36,LN_2c5e4280419c,hydrogel electrolyte,hydrogel electrolyte,1051,1071,GC_78497a3caea5::GC_f7553cd07f36,same_sentence_cooccurrence_not_causal,False
