overlap_id,pair_id_ite,analysis_layer_ite,pair_key,left_global_concept_id,left_label,right_global_concept_id,right_label,paper_count_ite,sentence_count_ite,strict_syntax_relation_paper_count_ite,first_year_ite,last_year_ite,supporting_paper_ids_ite,supporting_dois_ite,supporting_titles_ite,example_evidence_sentence_ite,example_left_surface_ite,example_right_surface_ite,pair_id_tg,analysis_layer_tg,paper_count_tg,sentence_count_tg,strict_syntax_relation_paper_count_tg,first_year_tg,last_year_tg,supporting_paper_ids_tg,supporting_dois_tg,supporting_titles_tg,example_evidence_sentence_tg,example_left_surface_tg,example_right_surface_tg,interpretation
XO_144a633f26bd,IP_144a633f26bd,iTE,GC_118af0040619::GC_f8594c410875,GC_118af0040619,thermopower,GC_f8594c410875,power density,1,1,0,2026,2026,P0416,10.1002/smll.202511926,Cation-Doped Ionic Thermoelectric Ionogels With Nonlinear Temperature-Voltage Response Characteristics,"In this study, a PVDF-HFP-based ionogels, achieving a thermopower of 23.7 mV K-1 and a power density of 102.8 mu W m-2 K-2 by manipulating ion-ion interactions is developed.",thermopower,power density,TP_144a633f26bd,TG,1,1,0,2022,2022,P0282,10.1016/j.mtener.2022.101032,"Thermocells-enabled low-grade heat harvesting: challenge, progress, and prospects","Although the state-of-the-art p-type (Fe(CN)(6)(4-/3-)) TECs possess a commercializable cost-performance metric, the performance of n-type TECs, such as thermopower and power density, lags significantly, hindering the potential of integrated p-n TECs in heat recovery.",thermopower,power density,same_normalized_pair_observed_independently_in_both_layers
XO_f92adf64c15d,IP_f92adf64c15d,iTE,GC_16b42e37ba7a::GC_3cd3564912b1,GC_16b42e37ba7a,open circuit,GC_3cd3564912b1,short circuit,1,1,0,2024,2024,P0349,10.1038/s41467-024-45432-7,High-performance cryo-temperature ionic thermoelectric liquid cell developed through a eutectic solvent strategy,"In a prototype 25-cell module, the open-circuit voltage and short-circuit current are 6.9 V and 68 mA, respectively, and the maximum power is 131 mW.",open-circuit,short-circuit,TP_f92adf64c15d,TG,3,3,0,2016,2023,P0057; P0068; P0117,10.1016/j.nanoen.2022.107449; 10.3390/mi14071327; 10.1007/s10854-015-4043-7,"Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy; Self-Powered, Non-Toxic, Recyclable Thermogalvanic Hydrogel Sensor for Temperature Monitoring of Edibles; Flexible organic photo-thermogalvanic cell for low power applications","By implanting a PDMS solar absorber, the assembled solar thermoelectric gel device delivers a maximum temperature difference of about 11.2 K with an open-circuit voltage up to 16.6 mV and short-circuit current of more than 100 mu A, respectively, upon exposure to sunshine over 12 h.",open-circuit,short-circuit,same_normalized_pair_observed_independently_in_both_layers
XO_916a1a58bd34,IP_916a1a58bd34,iTE,GC_16b42e37ba7a::GC_d18c91f9affa,GC_16b42e37ba7a,open circuit,GC_d18c91f9affa,temperature difference,1,1,0,2026,2026,P0591,10.1016/j.cej.2026.176392,Environmentally stable and adhesive hemicellulose eutectogel for n-type ionic thermoelectrics,"The integration of four-eutectogel units in series generates an open-circuit voltage of 141.7 mV under a temperature difference of 4 K, and successfully powers a temperature sensor.",open-circuit,temperature difference,TP_916a1a58bd34,TG,5,5,0,2022,2024,P0045; P0050; P0057; P0068; P0211,10.1016/j.nanoen.2024.110329; 10.1016/j.solener.2024.112939; 10.1016/j.nanoen.2022.107449; 10.3390/mi14071327; 10.1149/1945-7111/acd4ed,"Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor; A novel solar-driven thermogalvanic cell with integrated heat storage capabilities; Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy; Self-Powered, Non-Toxic, Recyclable Thermogalvanic Hydrogel Sensor for Temperature Monitoring of Edibles; Investigation of the Effective Voltage and Performance of Thermocells","An open-circuit voltage of 163 mV, a short-current density of 0.7 mA & sdot;m-2 and a maximum power density of 26.7 mu W & sdot;m-2 are achieved at a temperature difference of 30 K.",open-circuit,temperature difference,same_normalized_pair_observed_independently_in_both_layers
XO_35c9124ac6c4,IP_35c9124ac6c4,iTE,GC_16b42e37ba7a::GC_e49423da4792,GC_16b42e37ba7a,open circuit,GC_e49423da4792,short circuit current,1,1,0,2024,2024,P0349,10.1038/s41467-024-45432-7,High-performance cryo-temperature ionic thermoelectric liquid cell developed through a eutectic solvent strategy,"In a prototype 25-cell module, the open-circuit voltage and short-circuit current are 6.9 V and 68 mA, respectively, and the maximum power is 131 mW.",open-circuit,short-circuit current,TP_35c9124ac6c4,TG,3,3,0,1996,2022,P0057; P0117; P0127,10.1016/j.nanoen.2022.107449; 10.1007/s10854-015-4043-7; 10.1149/1.1837047,"Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy; Flexible organic photo-thermogalvanic cell for low power applications; Power conversion efficiency, electrode separation, and overpotential in the ferricyanide/ferrocyonide thermogalvanic cell","By implanting a PDMS solar absorber, the assembled solar thermoelectric gel device delivers a maximum temperature difference of about 11.2 K with an open-circuit voltage up to 16.6 mV and short-circuit current of more than 100 mu A, respectively, upon exposure to sunshine over 12 h.",open-circuit,short-circuit current,same_normalized_pair_observed_independently_in_both_layers
XO_3de30c8a3b7e,IP_3de30c8a3b7e,iTE,GC_21faa67da1fd::GC_4937afb10b20,GC_21faa67da1fd,conversion,GC_4937afb10b20,conversion efficiency,1,1,0,2026,2026,P0585,10.1016/j.compositesb.2026.113490,Aligned cellulose nanofibril ionogels with continuous micro-nanochannels for ionic thermoelectrics and self-powered sensors,"Although inorganic thermoelectric materials (e.g., Bi2Te3) exhibit high conversion efficiency, their rigidity, high cost, and dependence on scarce or toxic elements hinder their use in flexible applications.",conversion,conversion efficiency,TP_3de30c8a3b7e,TG,6,8,0,2014,2025,P0037; P0050; P0056; P0149; P0303; P1493,10.1016/j.energy.2024.130557; 10.1016/j.solener.2024.112939; 10.1002/aenm.202302011; 10.1016/j.ensm.2024.103902; 10.1007/s10800-013-0638-y; 10.1021/acsami.1c07266,"Modeling, thermodynamic performance analysis, and parameter optimization of a hybrid power generation system coupling thermogalvanic cells with alkaline fuel cells; A novel solar-driven thermogalvanic cell with integrated heat storage capabilities; Self-Assembled Asymmetric Electrodes for High-Efficiency Thermogalvanic Cells; Thermo-electrochemical cells enable efficient and flexible power supplies: From materials to applications; Design and optimization of thermo-electrochemical cells","The calculated results indicate that the hybrid system achieves a considerable increase of 19.72% in maximum power density from 247.07 W m-2 to 295.80 W m-2 and 5.71% in conversion efficiency from 10.16% to 10.74% compared to a single AFC, respectively.",conversion,conversion efficiency,same_normalized_pair_observed_independently_in_both_layers
XO_fddad7aa4159,IP_fddad7aa4159,iTE,GC_21faa67da1fd::GC_4a92e5f4fe38,GC_21faa67da1fd,conversion,GC_4a92e5f4fe38,hydrogel,1,1,0,2024,2024,P0368,10.1016/j.cej.2024.157823,"Conductive ionic thermoelectric hydrogel with negative Seebeck coefficient, self-healing and highly sensitive to temperature for photothermoelectric conversion and non-contact sensing device","This study presents a highly temperature-sensitive i-TE hydrogel with negative Seebeck coefficient, self-healing properties and conductive for photothermoelectric (PTE) conversion and non-contact sensing.",conversion,hydrogel,TP_fddad7aa4159,TG,1,1,0,2026,2026,P0155,10.1093/nsr/nwaf518,3D printable shape-customized hydrogel thermocells,Hydrogel thermocells based on the thermogalvanic effect hold significant promise for energy harvesting and flexible electronics due to their excellent heat-to-electric conversion and stretchability.,conversion,Hydrogel,same_normalized_pair_observed_independently_in_both_layers
XO_9746eb92b501,IP_9746eb92b501,iTE,GC_21faa67da1fd::GC_f8594c410875,GC_21faa67da1fd,conversion,GC_f8594c410875,power density,1,1,0,2023,2023,P0386,10.1016/j.apenergy.2023.120681,Synergy between ionic thermoelectric conversion and nanofluidic reverse electrodialysis for high power density generation,"Results show that the effect of temperature difference is equivalent to overlaying an additional voltage difference, and then the synergy between i-TE conversion and NERD significantly enhances both the power density and efficiency.",conversion,power density,TP_9746eb92b501,TG,1,2,0,2025,2025,P0149,10.1016/j.ensm.2024.103902,Thermo-electrochemical cells enable efficient and flexible power supplies: From materials to applications,"In the past years, a large deal of work has been conducted to improve the power density and conversion efficiency from the aspects of electrode materials, electrolyte materials, etc., and giant advances have been achieved.",conversion,power density,same_normalized_pair_observed_independently_in_both_layers
XO_e716a7ee9b28,IP_e716a7ee9b28,iTE,GC_234b2810632d::GC_3cd3564912b1,GC_234b2810632d,open circuit voltage,GC_3cd3564912b1,short circuit,1,1,0,2024,2024,P0349,10.1038/s41467-024-45432-7,High-performance cryo-temperature ionic thermoelectric liquid cell developed through a eutectic solvent strategy,"In a prototype 25-cell module, the open-circuit voltage and short-circuit current are 6.9 V and 68 mA, respectively, and the maximum power is 131 mW.",open-circuit voltage,short-circuit,TP_e716a7ee9b28,TG,3,3,0,2016,2023,P0057; P0068; P0117,10.1016/j.nanoen.2022.107449; 10.3390/mi14071327; 10.1007/s10854-015-4043-7,"Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy; Self-Powered, Non-Toxic, Recyclable Thermogalvanic Hydrogel Sensor for Temperature Monitoring of Edibles; Flexible organic photo-thermogalvanic cell for low power applications","By implanting a PDMS solar absorber, the assembled solar thermoelectric gel device delivers a maximum temperature difference of about 11.2 K with an open-circuit voltage up to 16.6 mV and short-circuit current of more than 100 mu A, respectively, upon exposure to sunshine over 12 h.",open-circuit voltage,short-circuit,same_normalized_pair_observed_independently_in_both_layers
XO_08da497b3fef,IP_08da497b3fef,iTE,GC_234b2810632d::GC_79c8cd50963f,GC_234b2810632d,open circuit voltage,GC_79c8cd50963f,energy density,1,1,0,2026,2026,P0417,10.1038/s41467-026-71286-2,An ultrathin ionic thermoelectric cell design utilizing near body heat for self-powered wearable electronics,"Our 1-mm-thick device delivers an open-circuit voltage of 0.1 V, a power density of 1.6 W m-2, and an energy density of 1500 J m-2 using near-body heat.",open-circuit voltage,energy density,TP_08da497b3fef,TG,1,1,0,2025,2025,P0164,10.1002/aenm.202502570,Precipitation-Driven Thermoelectric Conversion and Energy Storage Integrated Device,"Furthermore, a large-area prototype module comprising 32 units manifests an open circuit voltage of 1.7 V and exhibits an energy density of 463.9 J m-2.",open circuit voltage,energy density,same_normalized_pair_observed_independently_in_both_layers
XO_4871653ee385,IP_4871653ee385,iTE,GC_234b2810632d::GC_d18c91f9affa,GC_234b2810632d,open circuit voltage,GC_d18c91f9affa,temperature difference,1,1,0,2026,2026,P0591,10.1016/j.cej.2026.176392,Environmentally stable and adhesive hemicellulose eutectogel for n-type ionic thermoelectrics,"The integration of four-eutectogel units in series generates an open-circuit voltage of 141.7 mV under a temperature difference of 4 K, and successfully powers a temperature sensor.",open-circuit voltage,temperature difference,TP_4871653ee385,TG,6,6,0,2022,2024,P0042; P0045; P0050; P0057; P0068; P0211,10.1016/j.cej.2023.145247; 10.1016/j.nanoen.2024.110329; 10.1016/j.solener.2024.112939; 10.1016/j.nanoen.2022.107449; 10.3390/mi14071327; 10.1149/1945-7111/acd4ed,"Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion; Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor; A novel solar-driven thermogalvanic cell with integrated heat storage capabilities; Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy; Self-Powered, Non-Toxic, Recyclable Thermogalvanic Hydrogel Sensor for Temperature Monitoring of Edibles","This enables simultaneous high thermogalvanic and photothermal performance, with an open circuit voltage of up to 12 mV and a short circuit current exceeding 1.25 A m- 2 at a temperature difference of up to 9 degrees C under one sun.",open circuit voltage,temperature difference,same_normalized_pair_observed_independently_in_both_layers
XO_35be8ec42b7f,IP_35be8ec42b7f,iTE,GC_234b2810632d::GC_e49423da4792,GC_234b2810632d,open circuit voltage,GC_e49423da4792,short circuit current,1,1,0,2024,2024,P0349,10.1038/s41467-024-45432-7,High-performance cryo-temperature ionic thermoelectric liquid cell developed through a eutectic solvent strategy,"In a prototype 25-cell module, the open-circuit voltage and short-circuit current are 6.9 V and 68 mA, respectively, and the maximum power is 131 mW.",open-circuit voltage,short-circuit current,TP_35be8ec42b7f,TG,3,3,0,2016,2023,P0042; P0057; P0117,10.1016/j.cej.2023.145247; 10.1016/j.nanoen.2022.107449; 10.1007/s10854-015-4043-7,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion; Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy; Flexible organic photo-thermogalvanic cell for low power applications,"This enables simultaneous high thermogalvanic and photothermal performance, with an open circuit voltage of up to 12 mV and a short circuit current exceeding 1.25 A m- 2 at a temperature difference of up to 9 degrees C under one sun.",open circuit voltage,short circuit current,same_normalized_pair_observed_independently_in_both_layers
XO_bf937270281d,IP_bf937270281d,iTE,GC_37ed05d8d43e::GC_52c27199b958,GC_37ed05d8d43e,cooling,GC_52c27199b958,cooling power,1,1,0,2026,2026,P0419,10.1103/bh7m-fzs8,Ionic Thermoelectric Effect within the Framework of Thermoelectricity,"Here, we systematically formulate the three thermoelectric effects in the i-TE context and provide the experimental observation of an ionic Peltier effect, whose cooling power exceeds that of conventional electrolytes by more than 2 orders of magnitude.",cooling,cooling power,TP_bf937270281d,TG,1,1,0,2025,2025,P0002,10.1016/j.joule.2025.101822,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,"As a result, the optimized electrolyte could potentially reach '70% improvement of cooling power, and a direct cooling of electrolyte '1.42 K was demonstrated with only 0.11 W cm-2 input, showing promise for practical electrochemical refrigeration.",cooling,cooling power,same_normalized_pair_observed_independently_in_both_layers
XO_f938b2c6a1a2,IP_f938b2c6a1a2,iTE,GC_3be2e7216e42::GC_4a92e5f4fe38,GC_3be2e7216e42,self powered,GC_4a92e5f4fe38,hydrogel,1,1,0,2025,2025,P0336,10.1002/adma.202510199,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,"The developed hydrogels are successfully implemented in self-powered temperature sensors and low-grade heat harvesting systems, such as powering a cooling fan by utilizing the waste heat from a working tablet.",self-powered,hydrogels,TP_f938b2c6a1a2,TG,1,1,0,2024,2024,P0004,10.1002/adfm.202314419,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,"Besides, acting as a self-powered e-skin, the hydrogel is combined with deep learning technology for signature recognition and biometric authentication, achieving an accuracy of 92.97%.",self-powered,hydrogel,same_normalized_pair_observed_independently_in_both_layers
XO_a928eafa8963,IP_a928eafa8963,iTE,GC_3be2e7216e42::GC_b74f3b2d2a63,GC_3be2e7216e42,self powered,GC_b74f3b2d2a63,human machine,1,1,0,2026,2026,P1404,10.1016/j.carbon.2026.121756,Architecture-preserving interfacial regulation via sulfonated graphene oxide for high-performance stretchable ionic thermoelectrics,"Stretchable ionic thermoelectric (i-TE) materials capable of simultaneously delivering high thermopower and mechanical compliance are essential for harvesting low-grade heat in deformable, self-powered human-machine interfaces.",self-powered,human-machine,TP_a928eafa8963,TG,2,2,0,2024,2026,P0004; P0084,10.1002/adfm.202314419; 10.1016/j.nanoen.2026.111909,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication; Self-powered thermogalvanic cells based on layered double hydroxides cross-linking hydrogel: Enhanced thermoelectric performance and mechanical stretchability for IoT wearable electronics,"Self-powered electronic skins (e-skins), as on-skin human-machine interfaces, play a significant role in cyber security and personal electronics.",Self-powered,human-machine,same_normalized_pair_observed_independently_in_both_layers
XO_252f27ea4b34,IP_252f27ea4b34,iTE,GC_3cb102b9bb3d::GC_faa270044b11,GC_3cb102b9bb3d,normalized power density,GC_faa270044b11,normalized power,1,1,0,2026,2026,P0363,10.1002/adfm.202514954,Thermodynamic Design Strategy for Ionic Thermoelectric Polymer Complexes with Giant Thermopower and Power Density,A flexible p/n-type ionic TE module delivers a remarkable voltage output of 1.03 VK-1 and a normalized power density of 981 mWm-2K-2.,normalized power density,normalized power,TP_252f27ea4b34,TG,7,7,0,2023,2026,P0022; P0031; P0085; P0135; P0211; P0252; P1614,10.1021/acsami.5c03375; 10.1016/j.colsurfa.2025.137971; 10.1002/adfm.76685; 10.1021/acsnano.4c12294; 10.1149/1945-7111/acd4ed; 10.1021/acsaem.5c00167; 10.1002/smll.73890,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple; Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell; Polymer-Redox Interactions Enhance Ferro/Ferricyanide Thermogalvanic Cells; MXene Hollow Microsphere-Boosted Nanocomposite Electrodes for Thermocells with Enhanced Thermal Energy Harvesting Capability; Investigation of the Effective Voltage and Performance of Thermocells,"Furthermore, by optimizing the concentrations of Cu2+, ethylenediamine, and (NH4)2SO4 in the electrolyte, both alpha and normalized power density can be significantly improved, achieving values of 2.12 mV K-1 and 676 mu W m-2 K-2, respectively.",normalized power density,normalized power,same_normalized_pair_observed_independently_in_both_layers
XO_7c404bb0e04f,IP_7c404bb0e04f,iTE,GC_3cd3564912b1::GC_e49423da4792,GC_3cd3564912b1,short circuit,GC_e49423da4792,short circuit current,1,1,0,2024,2024,P0349,10.1038/s41467-024-45432-7,High-performance cryo-temperature ionic thermoelectric liquid cell developed through a eutectic solvent strategy,"In a prototype 25-cell module, the open-circuit voltage and short-circuit current are 6.9 V and 68 mA, respectively, and the maximum power is 131 mW.",short-circuit,short-circuit current,TP_7c404bb0e04f,TG,4,4,0,1995,2022,P0057; P0117; P0128; P0316,10.1016/j.nanoen.2022.107449; 10.1007/s10854-015-4043-7; 10.1149/1.2048394; 10.1149/2.043205jes,Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy; Flexible organic photo-thermogalvanic cell for low power applications; THE POWER CONVERSION EFFICIENCIES OF A THERMOGALVANIC CELL OPERATED IN 3 DIFFERENT ORIENTATIONS; Nitrogen- and Boron-Doped Carbon Nanotube Electrodes in a Thermo-Electrochemical Cell,"By implanting a PDMS solar absorber, the assembled solar thermoelectric gel device delivers a maximum temperature difference of about 11.2 K with an open-circuit voltage up to 16.6 mV and short-circuit current of more than 100 mu A, respectively, upon exposure to sunshine over 12 h.",short-circuit,short-circuit current,same_normalized_pair_observed_independently_in_both_layers
XO_0d2dffc5451a,IP_0d2dffc5451a,iTE,GC_42929742db13::GC_b922063cd003,GC_42929742db13,anti drying,GC_b922063cd003,anti freezing,1,1,0,2026,2026,P0591,10.1016/j.cej.2026.176392,Environmentally stable and adhesive hemicellulose eutectogel for n-type ionic thermoelectrics,"Besides, the adoption of DES endows the i-TE eutectogel with strong adhesion, excellent anti-freezing, and anti-drying properties.",anti-drying,anti-freezing,TP_0d2dffc5451a,TG,1,1,0,2023,2023,P0048,10.1016/j.cej.2023.141274,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,The introduction of hy-groscopic salts (LiBr) endows the BC-TGC with excellent anti-drying and anti-freezing properties.,anti-drying,anti-freezing,same_normalized_pair_observed_independently_in_both_layers
XO_273bd571bb5c,IP_273bd571bb5c,iTE,GC_45caa0829f4c::GC_c19a90a7850d,GC_45caa0829f4c,alpha cyclodextrin,GC_c19a90a7850d,triiodide ion,1,1,0,2025,2025,P0337,10.1002/aenm.202405502,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,This study introduces a novel design for ionic thermoelectric capacitors (ITECs) by incorporating host-guest complexation between alpha-cyclodextrin (alpha-CD) and triiodide ions (I3-).,alpha-cyclodextrin,triiodide ions,TP_273bd571bb5c,TG,1,1,0,2016,2016,P0283,10.1021/jacs.6b04923,Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,"This is based on the encapsulation of triiodide ions in alpha-cyclodextrin, whose equilibrium is shifted to the complexation at lower temperatures, whereas it is inverted at elevated temperatures.",alpha-cyclodextrin,triiodide ions,same_normalized_pair_observed_independently_in_both_layers
XO_df5184589a7f,IP_df5184589a7f,iTE,GC_49990adc781e::GC_f50bbe3cdc5d,GC_49990adc781e,energy conversion,GC_f50bbe3cdc5d,temperature gradient,1,1,0,2022,2022,P0757,10.1016/j.enconman.2022.115760,Nanoengineered nanochannels for thermally ionic nanofluidic energy harvesting,This work demonstrates thermal-to-electric energy conversion based on ionic nanofluidic transport in nano channels inducted by a temperature gradient.,energy conversion,temperature gradient,TP_df5184589a7f,TG,1,1,0,2019,2019,P0207,10.1039/c9ee01930h,Simultaneous energy harvesting and storage via solar-driven regenerative electrochemical cycles,"A high energy conversion efficiency (1.23%, and 11.9% versus the Carnot efficiency) is achieved under a low temperature gradient of 35 degrees C.",energy conversion,temperature gradient,same_normalized_pair_observed_independently_in_both_layers
XO_b6b8c2102150,IP_b6b8c2102150,iTE,GC_5c9d495e3ca6::GC_d18c91f9affa,GC_5c9d495e3ca6,additional voltage,GC_d18c91f9affa,temperature difference,1,1,0,2023,2023,P0386,10.1016/j.apenergy.2023.120681,Synergy between ionic thermoelectric conversion and nanofluidic reverse electrodialysis for high power density generation,"Results show that the effect of temperature difference is equivalent to overlaying an additional voltage difference, and then the synergy between i-TE conversion and NERD significantly enhances both the power density and efficiency.",additional voltage,temperature difference,TP_b6b8c2102150,TG,1,1,0,2024,2024,P0027,10.1016/j.mtener.2024.101546,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,"Furthermore, a prototype wearable thermoelectric generator (TEG) with an output voltage of 1.6 V under a temperature difference ( D T ) of 9 degrees C is able to power an LED directly without requiring an additional voltage booster.",additional voltage,temperature difference,same_normalized_pair_observed_independently_in_both_layers
XO_d768d544e42c,IP_d768d544e42c,iTE,GC_5f9395c3b80a::GC_f22b98b878db,GC_5f9395c3b80a,entropy,GC_f22b98b878db,entropy difference,1,1,0,2026,2026,P0359,10.1016/j.jobe.2025.114806,Polyvinyl alcohol/sodium alginate double network hydrogels design for high-performance p-type ionic thermoelectric cement-based composites,"The hydroxyl groups within the hydrogels interact with both cations and anions, thereby increasing the entropy difference in thermal migration between them.",entropy,entropy difference,TP_d768d544e42c,TG,4,5,0,2021,2026,P0044; P0084; P0223; P1614,10.1039/d4ee01642d; 10.1016/j.nanoen.2026.111909; 10.1039/d1cp01153g; 10.1002/smll.73890,Boosted thermogalvanic thermopower upon solid-to-liquid phase transition; Self-powered thermogalvanic cells based on layered double hydroxides cross-linking hydrogel: Enhanced thermoelectric performance and mechanical stretchability for IoT wearable electronics; Insight into the effect of the configuration entropy of additives on the Seebeck coefficient; Highly Stable Quasi-Solid Thermocells for Continuous Power Generation Across a Broad Humidity Range,"However, the use of single-phase electrodes thermodynamically curbs the entropy difference, limiting the thermopower enhancement.",entropy,entropy difference,same_normalized_pair_observed_independently_in_both_layers
XO_8fd7a65e0811,IP_8fd7a65e0811,iTE,GC_6cdb23f33c74::GC_fd60a1db5fcf,GC_6cdb23f33c74,seebeck coefficient,GC_fd60a1db5fcf,interaction,1,1,0,2023,2023,P0379,10.1016/j.carbpol.2023.121310,Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors,"The interactions between the ions and the hydrogel matrix promote the selective transport of conducting ionic ions, producing a high Seebeck coefficient of 11.53 mV K-1.",Seebeck coefficient,interactions,TP_8fd7a65e0811,TG,2,2,0,2021,2026,P0085; P0223,10.1002/adfm.76685; 10.1039/d1cp01153g,Polymer-Redox Interactions Enhance Ferro/Ferricyanide Thermogalvanic Cells; Insight into the effect of the configuration entropy of additives on the Seebeck coefficient,"These interactions modify the hydration shell of the redox couple, thereby increasing the redox entropy difference and significantly improving the Seebeck coefficient.",Seebeck coefficient,interactions,same_normalized_pair_observed_independently_in_both_layers
XO_6661beb31004,IP_6661beb31004,iTE,GC_7058edaeedb4::GC_b74f3b2d2a63,GC_7058edaeedb4,human machine interaction,GC_b74f3b2d2a63,human machine,1,1,0,2023,2023,P0374,10.1002/advs.202302685,Ultrasensitive Flexible Thermal Sensor Arrays based on High-Thermopower Ionic Thermoelectric Hydrogel,"A smart glove integrated with multiple thermal sensor arrays is further demonstrated, which endows a prosthetic hand with thermal sensation for human-machine interaction.",human-machine interaction,human-machine,TP_6661beb31004,TG,2,2,0,2024,2025,P0036; P0158,10.1002/smll.202402700; 10.1109/jsen.2025.3578352,Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security; Ultrathin Hydrogel e-Skin With High Resolution for Thermal and Tactile Haptics,"This work provides a promising solution for achieving better identity recognition, which has great advantages in intelligent security and human-machine interaction toward future Internet of everything.",human-machine interaction,human-machine,same_normalized_pair_observed_independently_in_both_layers
XO_65ab4f9003b6,IP_65ab4f9003b6,iTE,GC_82322e409c3c::GC_e64b5adaec75,GC_82322e409c3c,light emitting,GC_e64b5adaec75,directly power,1,1,0,2025,2025,P1408,10.1021/acsapm.5c00097,Freeze-Tolerant and Transparent Eutectogel with High Conductivity and Long-Lasting Usability for Low-Grade Heat Harvesting,The homemade device utilized as-prepared eutectogel shows the potential to directly power some small electronic devices (such as light-emitting diodes and timers) and to recover wasted heat generated by solar panels.,light-emitting,directly power,TP_65ab4f9003b6,TG,1,1,0,2023,2023,P0200,10.1021/acs.nanolett.3c02870,Stretchable and Durable Bacterial Cellulose-Based Thermocell with Improved Thermopower Density for Low-Grade Heat Harvesting,"Further connecting 15 units of BC-GTCs, the output voltage of 3.35 V can be obtained at a temperature gradient of 65 K, which can directly power electronic devices such as electronic calculators, thermohydrometers, fans, and light-emitting diodes (LEDs).",light-emitting,directly power,same_normalized_pair_observed_independently_in_both_layers
XO_d2652dd67bc3,IP_d2652dd67bc3,iTE,GC_82f863b160b5::GC_8ad5b453cc37,GC_82f863b160b5,thermoelectric property,GC_8ad5b453cc37,ion diffusion,1,1,0,2025,2025,P0496,10.1021/acsapm.5c00177,Dual-Cation Doping Thermoelectric PVA Hydrogel for Self-Powered Strain Sensors,"Here, a dual-cation doping strategy is used to regulate ion diffusion rate to improve the thermoelectric properties of ionic hydrogels, and a series of poly(vinyl alcohol) (PVA)-based hydrogels doped by dual cations (i.e., hydrogen ions and alkali metal cations, such as Li+, Na+, and K+) are prepared by a facile cyclic freeze-thaw method.",thermoelectric properties,ion diffusion,TP_d2652dd67bc3,TG,1,1,0,2024,2024,P0053,10.1002/aenm.202303358,Boosting Thermoelectric Performance of Thermogalvanic Hydrogels by Structure Engineering Induced by Liquid Nitrogen Quenching,"Ultrafast cooling can greatly reduce ion diffusion and increase crystallization nucleation rates, inhibit the growth and precipitation of the produced thermosensitive crystals, increase their utilization rates, promote redox reactions, and further improve thermoelectric properties.image",thermoelectric properties,ion diffusion,same_normalized_pair_observed_independently_in_both_layers
