mention_id,domain,paper_id,raw_phrase,status
iTE:P0417:n3,iTE,P0417,ultrathin asymmetric architecture,not_yet_annotated
iTE:P0419:n1,iTE,P0419,ionic Peltier effect,not_yet_annotated
iTE:P0419:n2,iTE,P0419,cooling power,not_yet_annotated
iTE:P0420:n1,iTE,P0420,host-guest complexation of alpha-cyclodextrin (alpha-CD) with I-3(-) ions,not_yet_annotated
iTE:P0420:n2,iTE,P0420,hydrogen bonding between polyvinyl alcohol (PVA) polymer chains and I-3(-),not_yet_annotated
iTE:P0420:n3,iTE,P0420,thermoelectric performance,not_yet_annotated
iTE:P0422:n1,iTE,P0422,"host-guest interaction, hydrogen bonding, and electrostatic interactions",not_yet_annotated
iTE:P0422:n2,iTE,P0422,ionic hydrogel,not_yet_annotated
iTE:P0423:n1,iTE,P0423,CaCl2 and glycerol,not_yet_annotated
iTE:P0423:n2,iTE,P0423,salting-out effect of Na3Cit,not_yet_annotated
iTE:P0425:n1,iTE,P0425,ionic liquid concentration in the gel,not_yet_annotated
iTE:P0425:n2,iTE,P0425,redox state of thermoelectric materials,not_yet_annotated
iTE:P0426:n1,iTE,P0426,ionic gating,not_yet_annotated
iTE:P0426:n2,iTE,P0426,carrier concentration,not_yet_annotated
iTE:P0426:n3,iTE,P0426,carrier transport,not_yet_annotated
iTE:P0427:n1,iTE,P0427,SW,not_yet_annotated
iTE:P0427:n2,iTE,P0427,electrical conductivity of K-E@SW/EDTA-F,not_yet_annotated
iTE:P0428:n1,iTE,P0428,I-,not_yet_annotated
iTE:P0428:n2,iTE,P0428,hydrogen-bonding network,not_yet_annotated
iTE:P0428:n3,iTE,P0428,crystallinity of the PVA matrix,not_yet_annotated
iTE:P0429:n1,iTE,P0429,ions within the geopolymer matrix,not_yet_annotated
iTE:P0429:n2,iTE,P0429,charge transport,not_yet_annotated
iTE:P0430:n1,iTE,P0430,MXene nanosheets,not_yet_annotated
iTE:P0430:n2,iTE,P0430,transformation of bound water to intermediate water,not_yet_annotated
iTE:P0430:n3,iTE,P0430,dissociation of protons from PSSH,not_yet_annotated
iTE:P0431:n1,iTE,P0431,ionic-thermoelectric module with a narrow-bandpass optical filter,not_yet_annotated
iTE:P0431:n2,iTE,P0431,resolve the contributions of individual gas species,not_yet_annotated
iTE:P0432:n1,iTE,P0432,dynamic hydrogen-bond network,not_yet_annotated
iTE:P0432:n2,iTE,P0432,ordered cation migration through carbon channels,not_yet_annotated
iTE:P0432:n3,iTE,P0432,thermoelectric current and power density,not_yet_annotated
iTE:P0432:n4,iTE,P0432,traps water molecules,not_yet_annotated
iTE:P0432:n5,iTE,P0432,environmental stability,not_yet_annotated
iTE:P0433:n1,iTE,P0433,composite phase-change material,not_yet_annotated
iTE:P0433:n2,iTE,P0433,peak-to-peak temperature fluctuation,not_yet_annotated
iTE:P0434:n1,iTE,P0434,p(NIPAAm-co-DMC) contracts,not_yet_annotated
iTE:P0434:n2,iTE,P0434,aggregation of positively charged molecular chains,not_yet_annotated
iTE:P0434:n3,iTE,P0434,diffusion of [Fe(CN)6]3-/4-,not_yet_annotated
iTE:P0435:n1,iTE,P0435,sulfonic acid groups in lignosulfonate,not_yet_annotated
iTE:P0435:n2,iTE,P0435,ionic conductivity,not_yet_annotated
iTE:P0436:n1,iTE,P0436,dynamic supramolecular hydrogen bonding system,not_yet_annotated
iTE:P0436:n2,iTE,P0436,carrier (proton) ionization equilibrium,not_yet_annotated
iTE:P0436:n3,iTE,P0436,large ionic thermopower,not_yet_annotated
iTE:P0437:n1,iTE,P0437,cation-pi interactions,not_yet_annotated
iTE:P0437:n2,iTE,P0437,selectively adsorbed K+ ions,not_yet_annotated
iTE:P0437:n3,iTE,P0437,cation thermodiffusion,not_yet_annotated
iTE:P0437:n4,iTE,P0437,Cl--dominated ion migration,not_yet_annotated
iTE:P0438:n1,iTE,P0438,gradient immobilization strategy,not_yet_annotated
iTE:P0438:n2,iTE,P0438,anion diffusion,not_yet_annotated
iTE:P0438:n3,iTE,P0438,Eastman entropy associated with cation transport,not_yet_annotated
iTE:P0439:n1,iTE,P0439,hemicellulose and lignin domains,not_yet_annotated
iTE:P0439:n2,iTE,P0439,Cu2+ ions are preferentially confined,not_yet_annotated
iTE:P0439:n3,iTE,P0439,aligned amorphous cellulose nanochannels,not_yet_annotated
iTE:P0439:n4,iTE,P0439,Cl- ion thermodiffusion toward the cold side,not_yet_annotated
iTE:P0439:n5,iTE,P0439,n-type thermoelectric response,not_yet_annotated
iTE:P0440:n1,iTE,P0440,interfacial adhesion strategy,not_yet_annotated
iTE:P0440:n2,iTE,P0440,thermoelectric performance,not_yet_annotated
iTE:P0441:n1,iTE,P0441,dual physical-chemical cross-linking network,not_yet_annotated
iTE:P0441:n2,iTE,P0441,anionic phosphate migration,not_yet_annotated
iTE:P0441:n3,iTE,P0441,thermal diffusion entropy difference between charge carriers,not_yet_annotated
iTE:P0442:n1,iTE,P0442,redox ions,not_yet_annotated
iTE:P0442:n2,iTE,P0442,Coulomb interactions between host ions,not_yet_annotated
iTE:P0442:n3,iTE,P0442,diffusion of DCA-,not_yet_annotated
iTE:P0442:n4,iTE,P0442,concentration gradient between cations and anions,not_yet_annotated
iTE:P0442:n5,iTE,P0442,thermopower and output power,not_yet_annotated
iTE:P0443:n1,iTE,P0443,salinity gradient energy,not_yet_annotated
iTE:P0443:n2,iTE,P0443,voltage contribution from the salinity gradient,not_yet_annotated
iTE:P0443:n3,iTE,P0443,overall voltage and energy output,not_yet_annotated
iTE:P0444:n1,iTE,P0444,composite with cellulose,not_yet_annotated
iTE:P0444:n2,iTE,P0444,flexibility and robustness,not_yet_annotated
iTE:P0445:n1,iTE,P0445,phosphorus salt,not_yet_annotated
iTE:P0445:n2,iTE,P0445,flame retardancy,not_yet_annotated
iTE:P0445:n3,iTE,P0445,oxygen index,not_yet_annotated
iTE:P0446:n1,iTE,P0446,thermoteopic phase transition,not_yet_annotated
iTE:P0446:n2,iTE,P0446,Seebeck coefficient,not_yet_annotated
iTE:P0447:n1,iTE,P0447,ionic Soret effect,not_yet_annotated
iTE:P0447:n2,iTE,P0447,conversion of heat into stored charge,not_yet_annotated
iTE:P0448:n1,iTE,P0448,interfacial capacitive effect between ionogel and CPNF,not_yet_annotated
iTE:P0448:n2,iTE,P0448,electrical property of the CPNF,not_yet_annotated
iTE:P0448:n3,iTE,P0448,power output,not_yet_annotated
iTE:P0449:n1,iTE,P0449,doping levels and morphology,not_yet_annotated
iTE:P0449:n2,iTE,P0449,TE performance of PEDOT,not_yet_annotated
iTE:P0450:n1,iTE,P0450,reversible hydrogen bonding interaction,not_yet_annotated
iTE:P0450:n2,iTE,P0450,chain entanglement,not_yet_annotated
iTE:P0450:n3,iTE,P0450,"mechanical resilience, adhesion properties, and self-healing properties",not_yet_annotated
iTE:P0451:n1,iTE,P0451,ionic-electronic interactions between sodium ions and carboxyl groups on CNT-COOH,not_yet_annotated
iTE:P0451:n2,iTE,P0451,ionic conductivity,not_yet_annotated
iTE:P0451:n3,iTE,P0451,ionic Seebeck coefficient,not_yet_annotated
iTE:P0452:n1,iTE,P0452,energetic disorder for PDPP-EDOT,not_yet_annotated
iTE:P0452:n2,iTE,P0452,TE performance,not_yet_annotated
iTE:P0453:n1,iTE,P0453,ILs derived from bicyclic ring superbases and TFSI,not_yet_annotated
iTE:P0453:n2,iTE,P0453,n- and p-type CNTs,not_yet_annotated
iTE:P0454:n1,iTE,P0454,ion exchange,not_yet_annotated
iTE:P0454:n2,iTE,P0454,PEDOT doping level,not_yet_annotated
iTE:P0454:n3,iTE,P0454,Seebeck coefficient,not_yet_annotated
iTE:P0455:n1,iTE,P0455,increased pressure,not_yet_annotated
iTE:P0455:n2,iTE,P0455,ion transfer,not_yet_annotated
iTE:P0455:n3,iTE,P0455,conductivity in beta-Ag2S,not_yet_annotated
iTE:P0456:n1,iTE,P0456,THTDPCl,not_yet_annotated
iTE:P0456:n2,iTE,P0456,p-to n-type switching,not_yet_annotated
iTE:P0457:n1,iTE,P0457,dynamic ion-dipole interactions,not_yet_annotated
iTE:P0457:n2,iTE,P0457,self-healability,not_yet_annotated
iTE:P0458:n1,iTE,P0458,Soret effect,not_yet_annotated
iTE:P0458:n2,iTE,P0458,voltage between the two electrodes,not_yet_annotated
iTE:P0459:n1,iTE,P0459,electrochemical treatment,not_yet_annotated
iTE:P0459:n2,iTE,P0459,doping states of the PTh film,not_yet_annotated
iTE:P0460:n1,iTE,P0460,cooperative work between the metal cations and the holes carriers,not_yet_annotated
iTE:P0460:n2,iTE,P0460,mixed ionic-electronic thermoelectric cement-based composite,not_yet_annotated
iTE:P0461:n1,iTE,P0461,sol-gel transition of poloxamer/LiCl system,not_yet_annotated
iTE:P0461:n2,iTE,P0461,thermopower,not_yet_annotated
iTE:P0462:n1,iTE,P0462,small-(MMIM BF4),not_yet_annotated
iTE:P0462:n2,iTE,P0462,large-sized cations (HMIM BF4),not_yet_annotated
iTE:P0462:n3,iTE,P0462,Seebeck coefficient,not_yet_annotated
iTE:P0462:n4,iTE,P0462,conductivity,not_yet_annotated
iTE:P0463:n1,iTE,P0463,dense crystalline PVA domains,not_yet_annotated
iTE:P0463:n2,iTE,P0463,ionic blocking layers,not_yet_annotated
iTE:P0463:n3,iTE,P0463,short-range thermodiffusion within the confined micro-domains,not_yet_annotated
iTE:P0463:n4,iTE,P0463,local thermovoltage that accumulates in series,not_yet_annotated
iTE:P0464:n1,iTE,P0464,coordination between Zn2+ ions and hydroxyl/sulfonic groups,not_yet_annotated
iTE:P0464:n2,iTE,P0464,formation of anion-rich clusters via preferential ion association,not_yet_annotated
iTE:P0464:n3,iTE,P0464,rapid anion transport,not_yet_annotated
iTE:P0464:n4,iTE,P0464,Eastman entropy change,not_yet_annotated
iTE:P0465:n1,iTE,P0465,"Mg-3(Sb, Bi)(2)-based particles and carbon nanotubes",not_yet_annotated
iTE:P0465:n2,iTE,P0465,percolated ionic-electronic hybrid network,not_yet_annotated
iTE:P0465:n3,iTE,P0465,high thermopower,not_yet_annotated
iTE:P0466:n1,iTE,P0466,hydrophobic anions of nFSI(-),not_yet_annotated
iTE:P0466:n2,iTE,P0466,pi-pi* stacking,not_yet_annotated
iTE:P0466:n3,iTE,P0466,transition from hopping transport to band-like transport,not_yet_annotated
iTE:P0467:n1,iTE,P0467,selective solvation effect,not_yet_annotated
iTE:P0467:n2,iTE,P0467,ion mobility,not_yet_annotated
iTE:P0467:n3,iTE,P0467,mobility difference between cations and anions,not_yet_annotated
iTE:P0468:n1,iTE,P0468,EMImFeCl4,not_yet_annotated
iTE:P0468:n2,iTE,P0468,thermal conductivity,not_yet_annotated
iTE:P0469:n1,iTE,P0469,suitable ionic liquid,not_yet_annotated
iTE:P0469:n2,iTE,P0469,enhanced performances of both materials,not_yet_annotated
iTE:P0470:n1,iTE,P0470,ionic liquid molecular structure,not_yet_annotated
iTE:P0470:n2,iTE,P0470,electric double layer (EDL) strength,not_yet_annotated
iTE:P0470:n3,iTE,P0470,carrier transport characteristics,not_yet_annotated
iTE:P0471:n1,iTE,P0471,PEG-coated [NiO NPs + IL] nanocomposites,not_yet_annotated
iTE:P0471:n2,iTE,P0471,charge-carrier mobility,not_yet_annotated
iTE:P0471:n3,iTE,P0471,electrical conductivity,not_yet_annotated
iTE:P0472:n1,iTE,P0472,amount of IL incorporated,not_yet_annotated
iTE:P0472:n2,iTE,P0472,thermoelectric properties of the IL-doped PEDOT:PSS films,not_yet_annotated
iTE:P0473:n1,iTE,P0473,ionic liquid (IL)-assisted fabrication,not_yet_annotated
iTE:P0473:n2,iTE,P0473,high TE and mechanical performances,not_yet_annotated
iTE:P0474:n1,iTE,P0474,salt concentration,not_yet_annotated
iTE:P0474:n2,iTE,P0474,temperature dependent ionic conductivity,not_yet_annotated
iTE:P0475:n1,iTE,P0475,silica nanoparticles (SiO2 NPs),not_yet_annotated
iTE:P0475:n2,iTE,P0475,gelatin-based iTEG,not_yet_annotated
iTE:P0476:n1,iTE,P0476,unidirectional orientation of ionic conductivity,not_yet_annotated
iTE:P0476:n2,iTE,P0476,power conversion efficiency,not_yet_annotated
iTE:P0477:n1,iTE,P0477,ternary ionic TE hybrid materials,not_yet_annotated
iTE:P0477:n2,iTE,P0477,stretchability,not_yet_annotated
iTE:P0477:n3,iTE,P0477,self-healability,not_yet_annotated
iTE:P0478:n1,iTE,P0478,ionic liquid,not_yet_annotated
iTE:P0478:n2,iTE,P0478,rearrangement of the molecular chain of PEDOT,not_yet_annotated
iTE:P0478:n3,iTE,P0478,maximum power factor,not_yet_annotated
iTE:P0479:n1,iTE,P0479,IL-induced dedoping,not_yet_annotated
iTE:P0479:n2,iTE,P0479,Soret effect,not_yet_annotated
iTE:P0479:n3,iTE,P0479,Seebeck coefficient enhancement,not_yet_annotated
iTE:P0480:n1,iTE,P0480,migration and rearrangement of the anions and cations of [Bmim]Br in composite interfaces,not_yet_annotated
iTE:P0480:n2,iTE,P0480,thermoelectric properties,not_yet_annotated
iTE:P0481:n1,iTE,P0481,ion exchange between PEDOT:PSS and Rmim:Cl,not_yet_annotated
iTE:P0481:n2,iTE,P0481,negative interfacial polarization,not_yet_annotated
iTE:P0481:n3,iTE,P0481,n-type TE response,not_yet_annotated
iTE:P0482:n1,iTE,P0482,morphological rearrangement,not_yet_annotated
iTE:P0482:n2,iTE,P0482,optimized PEDOT domain distribution,not_yet_annotated
iTE:P0482:n3,iTE,P0482,film conductivity,not_yet_annotated
iTE:P0483:n1,iTE,P0483,thermoelectric chips are coupled with ionic wind fans,not_yet_annotated
iTE:P0483:n2,iTE,P0483,operating noise,not_yet_annotated
iTE:P0484:n1,iTE,P0484,enhanced molecular ordering of P3HT,not_yet_annotated
iTE:P0484:n2,iTE,P0484,electronic charge mobility,not_yet_annotated
iTE:P0484:n3,iTE,P0484,PF,not_yet_annotated
iTE:P0485:n1,iTE,P0485,self-assembly and disassembly of ionic liquids on the surface of gold electrodes,not_yet_annotated
iTE:P0485:n2,iTE,P0485,thermoelectric paper chips,not_yet_annotated
iTE:P0486:n1,iTE,P0486,ionic bonding fraction,not_yet_annotated
iTE:P0486:n2,iTE,P0486,Sm-doping,not_yet_annotated
iTE:P0486:n3,iTE,P0486,thermoelectric properties,not_yet_annotated
iTE:P0487:n1,iTE,P0487,alteration of PANI's electronic structure,not_yet_annotated
iTE:P0487:n2,iTE,P0487,switch in polarity of the Seebeck coefficient,not_yet_annotated
iTE:P0488:n1,iTE,P0488,ion-exchange with unconventional anions,not_yet_annotated
iTE:P0488:n2,iTE,P0488,sharp feature of the density of states at the Fermi level,not_yet_annotated
iTE:P0488:n3,iTE,P0488,increase in S,not_yet_annotated
iTE:P0488:n4,iTE,P0488,dedoping of PEDOT chains,not_yet_annotated
iTE:P0489:n1,iTE,P0489,strong ionic interaction between sulfonate anions and bulky imidazolium cations,not_yet_annotated
iTE:P0489:n2,iTE,P0489,penetration of water,not_yet_annotated
iTE:P0489:n3,iTE,P0489,long-term TE stability,not_yet_annotated
iTE:P0490:n1,iTE,P0490,weak chemical bonding effect between PEDOT and the ILs,not_yet_annotated
iTE:P0490:n2,iTE,P0490,increased ordering structure,not_yet_annotated
iTE:P0490:n3,iTE,P0490,thermoelectric and mechanical performances,not_yet_annotated
iTE:P0491:n1,iTE,P0491,O-2(-) ions vacancy,not_yet_annotated
iTE:P0491:n2,iTE,P0491,thermal conductivity,not_yet_annotated
iTE:P0492:n1,iTE,P0492,formation of oxygen defect states,not_yet_annotated
iTE:P0492:n2,iTE,P0492,changes in the electronic structure,not_yet_annotated
iTE:P0493:n1,iTE,P0493,coordination bonds with Ca2+ ions,not_yet_annotated
iTE:P0493:n2,iTE,P0493,selective immobilization,not_yet_annotated
iTE:P0493:n3,iTE,P0493,diffusion rate disparity between Ca2+ and OH-,not_yet_annotated
iTE:P0494:n1,iTE,P0494,Soret effect,not_yet_annotated
iTE:P0494:n2,iTE,P0494,polymer thermal expansion effect,not_yet_annotated
iTE:P0494:n3,iTE,P0494,ZT value,not_yet_annotated
iTE:P0495:n1,iTE,P0495,hole tunneling across the rGO sheets,not_yet_annotated
iTE:P0495:n2,iTE,P0495,Soret effect of the ions,not_yet_annotated
iTE:P0495:n3,iTE,P0495,high thermopower,not_yet_annotated
iTE:P0496:n1,iTE,P0496,H+ and alkali metal cations interact with the hydroxyl on PVA chains,not_yet_annotated
iTE:P0496:n2,iTE,P0496,partial destruction of hydrogen bonding,not_yet_annotated
iTE:P0496:n3,iTE,P0496,ion diffusion rate,not_yet_annotated
iTE:P0497:n1,iTE,P0497,regulation of water content,not_yet_annotated
iTE:P0497:n2,iTE,P0497,hydration of 1-butyl-3-methylimidazolium cation,not_yet_annotated
iTE:P0497:n3,iTE,P0497,swelling of CIG,not_yet_annotated
iTE:P0497:n4,iTE,P0497,ions diffusion,not_yet_annotated
iTE:P0497:n5,iTE,P0497,difference in mobility between anions and cations,not_yet_annotated
iTE:P0498:n1,iTE,P0498,heat expansion,not_yet_annotated
iTE:P0498:n2,iTE,P0498,Seebeck coefficient,not_yet_annotated
iTE:P0499:n1,iTE,P0499,small polaron hopping (SPH) model,not_yet_annotated
iTE:P0499:n2,iTE,P0499,Thermoelectric power of high-temperature region,not_yet_annotated
iTE:P0500:n1,iTE,P0500,redox couple,not_yet_annotated
iTE:P0500:n2,iTE,P0500,carrier exchange in a cyclic process,not_yet_annotated
iTE:P0501:n1,iTE,P0501,Cl- ions,not_yet_annotated
iTE:P0501:n2,iTE,P0501,lithium-ether oxygen coordination,not_yet_annotated
iTE:P0501:n3,iTE,P0501,chain conformation,not_yet_annotated
iTE:P0502:n1,iTE,P0502,uniform dispersion of GO particles,not_yet_annotated
iTE:P0502:n2,iTE,P0502,power factor,not_yet_annotated
iTE:P0503:n1,iTE,P0503,PE-induced internal electric field,not_yet_annotated
iTE:P0503:n2,iTE,P0503,ionic thermopower,not_yet_annotated
iTE:P0503:n3,iTE,P0503,ionic conductivity,not_yet_annotated
iTE:P0504:n1,iTE,P0504,Ba2CePtO6,not_yet_annotated
iTE:P0504:n2,iTE,P0504,direct band gaps,not_yet_annotated
iTE:P0505:n1,iTE,P0505,K-means clustering algorithm,not_yet_annotated
iTE:P0505:n2,iTE,P0505,consistency of signals,not_yet_annotated
iTE:P0506:n1,iTE,P0506,CPG-L2 hydrogel,not_yet_annotated
iTE:P0506:n2,iTE,P0506,Seebeck coefficient,not_yet_annotated
iTE:P0507:n1,iTE,P0507,redox concentration,not_yet_annotated
iTE:P0507:n2,iTE,P0507,power output of the generator,not_yet_annotated
iTE:P0508:n1,iTE,P0508,ionic liquid,not_yet_annotated
iTE:P0508:n2,iTE,P0508,n-type electrical properties,not_yet_annotated
iTE:P0509:n1,iTE,P0509,DES gel,not_yet_annotated
iTE:P0509:n2,iTE,P0509,Seebeck coefficient,not_yet_annotated
iTE:P0509:n3,iTE,P0509,ionic conductivity,not_yet_annotated
iTE:P0510:n1,iTE,P0510,structural design,not_yet_annotated
iTE:P0510:n2,iTE,P0510,thermodiffusion and Seebeck effects,not_yet_annotated
iTE:P0510:n3,iTE,P0510,continuous electricity generation,not_yet_annotated
iTE:P0511:n1,iTE,P0511,additives,not_yet_annotated
iTE:P0511:n2,iTE,P0511,crystallinity,not_yet_annotated
iTE:P0511:n3,iTE,P0511,ionic figure-of-merit,not_yet_annotated
iTE:P0512:n1,iTE,P0512,hydrogen bonds and electrostatic interactions between ions and LCE molecular chains,not_yet_annotated
iTE:P0512:n2,iTE,P0512,phase separation effects,not_yet_annotated
iTE:P0512:n3,iTE,P0512,n-type characteristics,not_yet_annotated
iTE:P0513:n1,iTE,P0513,CaGeO3,not_yet_annotated
iTE:P0513:n2,iTE,P0513,mixed ionic-covalent bonding in Ge-O linkages,not_yet_annotated
iTE:P0514:n1,iTE,P0514,mineral admixtures and fly ash cenospheres,not_yet_annotated
iTE:P0514:n2,iTE,P0514,pozzolanic effect,not_yet_annotated
iTE:P0514:n3,iTE,P0514,content of OH- ions in pore solution,not_yet_annotated
iTE:P0514:n4,iTE,P0514,p-type ionic thermoelectric effect,not_yet_annotated
iTE:P0515:n1,iTE,P0515,electronic and ionic conductivity of the pi-bond,not_yet_annotated
iTE:P0515:n2,iTE,P0515,TE power factors,not_yet_annotated
iTE:P0516:n1,iTE,P0516,weak ionic bonding,not_yet_annotated
iTE:P0516:n2,iTE,P0516,out-of-plane heat transfer,not_yet_annotated
iTE:P0516:n3,iTE,P0516,lattice thermal conductivity in the out-of-plane direction,not_yet_annotated
iTE:P0517:n1,iTE,P0517,keeping the Fermi level at charge neutral point,not_yet_annotated
iTE:P0517:n2,iTE,P0517,charge puddles effect,not_yet_annotated
iTE:P0517:n3,iTE,P0517,transport properties at low T,not_yet_annotated
iTE:P0518:n1,iTE,P0518,abundant ion transport channels,not_yet_annotated
iTE:P0518:n2,iTE,P0518,efficient energy dissipation,not_yet_annotated
iTE:P0518:n3,iTE,P0518,mechanical integrity,not_yet_annotated
iTE:P0518:n4,iTE,P0518,conductivity,not_yet_annotated
iTE:P0519:n1,iTE,P0519,Soret effect of the ions,not_yet_annotated
iTE:P0519:n2,iTE,P0519,hole tunneling through the AC networks,not_yet_annotated
iTE:P0519:n3,iTE,P0519,TE behavior of the MTEGs,not_yet_annotated
iTE:P0520:n1,iTE,P0520,ion transport pathways,not_yet_annotated
iTE:P0520:n2,iTE,P0520,mobility difference between anions and cations,not_yet_annotated
iTE:P0520:n3,iTE,P0520,thermoelectric properties of ionogels,not_yet_annotated
iTE:P0521:n1,iTE,P0521,well-dispersed and almost fully dispersed SWNTs in PILs,not_yet_annotated
iTE:P0521:n2,iTE,P0521,thermoelectric properties,not_yet_annotated
iTE:P0522:n1,iTE,P0522,interaction between the SWCNTs and IL,not_yet_annotated
iTE:P0522:n2,iTE,P0522,thermoelectric power of the SWCNTs,not_yet_annotated
iTE:P0523:n1,iTE,P0523,SA-Ca2+ crosslinking,not_yet_annotated
iTE:P0523:n2,iTE,P0523,flame retardancy and mechanical strength,not_yet_annotated
iTE:P0524:n1,iTE,P0524,Asymmetric ion rearrangement,not_yet_annotated
iTE:P0524:n2,iTE,P0524,thermoelectric voltage,not_yet_annotated
iTE:P0525:n1,iTE,P0525,coordination interactions,not_yet_annotated
iTE:P0525:n2,iTE,P0525,thermal migration of Li+,not_yet_annotated
iTE:P0525:n3,iTE,P0525,strong anion adsorption on conductive carbon paper electrodes,not_yet_annotated
iTE:P0525:n4,iTE,P0525,concentration difference between anions and cations,not_yet_annotated
iTE:P0526:n1,iTE,P0526,radiative cooling,not_yet_annotated
iTE:P0526:n2,iTE,P0526,temperature gradient of 9.9 K,not_yet_annotated
iTE:P0526:n3,iTE,P0526,thermoelectric performance,not_yet_annotated
iTE:P0527:n1,iTE,P0527,anion thermodiffusion through the apoplast,not_yet_annotated
iTE:P0527:n2,iTE,P0527,thermoelectric response,not_yet_annotated
iTE:P0527:n3,iTE,P0527,leaf desiccation and electrode selection,not_yet_annotated
iTE:P0528:n1,iTE,P0528,fixed surface charge density,not_yet_annotated
iTE:P0528:n2,iTE,P0528,ion selectivity,not_yet_annotated
iTE:P0528:n3,iTE,P0528,ion transport under a thermal gradient,not_yet_annotated
iTE:P0529:n1,iTE,P0529,chelation of redox ions,not_yet_annotated
iTE:P0529:n2,iTE,P0529,transition of the ionic liquid from n-type to p-type,not_yet_annotated
iTE:P0530:n1,iTE,P0530,enhanced viscosity near the charged surface,not_yet_annotated
iTE:P0530:n2,iTE,P0530,hydrodynamic friction,not_yet_annotated
iTE:P0530:n3,iTE,P0530,ionic flux,not_yet_annotated
iTE:P0531:n1,iTE,P0531,RbCu3SnSe4,not_yet_annotated
iTE:P0531:n2,iTE,P0531,figure of merit (ZT) and Seebeck coefficients,not_yet_annotated
iTE:P0532:n1,iTE,P0532,Li2SO4,not_yet_annotated
iTE:P0532:n2,iTE,P0532,ionic mobility,not_yet_annotated
iTE:P0533:n1,iTE,P0533,in situ ligand-derived organic-inorganic interface,not_yet_annotated
iTE:P0533:n2,iTE,P0533,electrical conductivity,not_yet_annotated
iTE:P0533:n3,iTE,P0533,ionic and thermal conductivity,not_yet_annotated
iTE:P0534:n1,iTE,P0534,"structural complexity, variations in bond strengths, and high lattice anharmonicity",not_yet_annotated
iTE:P0534:n2,iTE,P0534,low thermal conductivity in Cu7PSe6,not_yet_annotated
iTE:P0535:n1,iTE,P0535,strong hydrogen-bonding network,not_yet_annotated
iTE:P0535:n2,iTE,P0535,multiple mobile ion species,not_yet_annotated
iTE:P0535:n3,iTE,P0535,thermodiffusion,not_yet_annotated
iTE:P0536:n1,iTE,P0536,synergistic ion-ion/ion-dipole interactions,not_yet_annotated
iTE:P0536:n2,iTE,P0536,chemical-physical networks,not_yet_annotated
iTE:P0536:n3,iTE,P0536,mechanical properties and ultrahigh thermoelectric performances,not_yet_annotated
iTE:P0537:n1,iTE,P0537,Strong coordination of lithium ion with ether oxygen,not_yet_annotated
iTE:P0537:n2,iTE,P0537,anion-rich clusters,not_yet_annotated
iTE:P0537:n3,iTE,P0537,rapid transport of the anions,not_yet_annotated
iTE:P0537:n4,iTE,P0537,Eastman entropy change,not_yet_annotated
iTE:P0538:n1,iTE,P0538,balanced enthalpic-entropic contributions,not_yet_annotated
iTE:P0538:n2,iTE,P0538,microstructure,not_yet_annotated
iTE:P0538:n3,iTE,P0538,percolated ion-selective transport channels,not_yet_annotated
iTE:P0539:n1,iTE,P0539,PPBI,not_yet_annotated
iTE:P0539:n2,iTE,P0539,electrical conductivity,not_yet_annotated
iTE:P0539:n3,iTE,P0539,thermal conductivity,not_yet_annotated
iTE:P0540:n1,iTE,P0540,hydrogen bonding networks in PA/OPBI,not_yet_annotated
iTE:P0540:n2,iTE,P0540,proton conduction through hopping,not_yet_annotated
iTE:P0540:n3,iTE,P0540,conductivity at elevated temperatures,not_yet_annotated
iTE:P0541:n1,iTE,P0541,"well-matched, high-activity electrodes",not_yet_annotated
iTE:P0541:n2,iTE,P0541,stabilize Na+ at the cold side and OH-at the hot side,not_yet_annotated
iTE:P0541:n3,iTE,P0541,Seebeck effect,not_yet_annotated
iTE:P0542:n1,iTE,P0542,zinc ion transfer number,not_yet_annotated
iTE:P0542:n2,iTE,P0542,Seebeck coefficient,not_yet_annotated
iTE:P0543:n1,iTE,P0543,cellulose nanofibrils (CNFs),not_yet_annotated
iTE:P0543:n2,iTE,P0543,ionic thermopower and strength,not_yet_annotated
iTE:P0544:n1,iTE,P0544,O-2,not_yet_annotated
iTE:P0544:n2,iTE,P0544,formation of Cu2O,not_yet_annotated
iTE:P0544:n3,iTE,P0544,ion-migration toward the surface,not_yet_annotated
iTE:P0545:n1,iTE,P0545,Embedded Ni-foam-CNT electrodes,not_yet_annotated
iTE:P0545:n2,iTE,P0545,performance,not_yet_annotated
iTE:P0545:n3,iTE,P0545,noise,not_yet_annotated
iTE:P0546:n1,iTE,P0546,1 wt% of IL,not_yet_annotated
iTE:P0546:n2,iTE,P0546,continuous fabrication of the PEDOT: PSS fiber,not_yet_annotated
iTE:P0547:n1,iTE,P0547,slippage on the highly charged graphene surface,not_yet_annotated
iTE:P0547:n2,iTE,P0547,electrokinetic ion transport,not_yet_annotated
iTE:P0547:n3,iTE,P0547,Seebeck coefficient,not_yet_annotated
iTE:P0548:n1,iTE,P0548,interaction between the ionic liquid and polymer chains,not_yet_annotated
iTE:P0548:n2,iTE,P0548,dissociation of ion aggregates,not_yet_annotated
iTE:P0548:n3,iTE,P0548,ionic conductivity,not_yet_annotated
iTE:P0549:n1,iTE,P0549,Seebeck effect,not_yet_annotated
iTE:P0549:n2,iTE,P0549,endogenous NADH oxidation,not_yet_annotated
iTE:P0549:n3,iTE,P0549,superoxide radicals,not_yet_annotated
