paper_id,year,source_membership,concept_id,canonical_concept,evidence_field,evidence_text,rule_kind,mapping_status
P0223,2021,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,Fe(CN)6 4-/3- electrolyte with guanidinium or urea additives and membrane isolation,family_recall,added
P0224,2018,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),title,Thermoelectricity and Thermodiffusion in Magnetic Nanofluids: Entropic Analysis,synonym_recall,already_mapped
P0226,2018,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,lithium metal and solid lithium ferri/ferrocyanide intercalation electrodes in symmetric/asymmetric cells,family_recall,already_mapped
P0226,2018,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,lithium metal and solid lithium ferri/ferrocyanide intercalation electrodes in symmetric/asymmetric cells,synonym_recall,already_mapped
P0229,2012,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,reduced graphene oxide electrodes with K3/K4[Fe(CN)6] thermogalvanic electrolyte,family_recall,already_mapped
P0229,2012,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,"higher ferri/ferrocyanide concentration lowers thermal conductivity and ohmic overpotential, while R-GO provides high mass-specific power",synonym_recall,already_mapped
P0231,2015,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,SWNT-coated carbon textile electrodes with Fe(CN)6 3-/4- thermoelectric electrolyte,family_recall,already_mapped
P0231,2015,TG,C95D66F92B2,carbon nanotube family,title,Thermobattery based on CNT Coated Carbon Textile and Thermoelectric Electrolyte,family_recall,already_mapped
P0236,2009,TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,initial/stationary voltage temperature coefficients yield Soret coefficients and ion thermal-diffusion entropies,synonym_recall,already_mapped
P0239,2006,TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,thermogalvanic measurements calculate HCl Soret coefficients and mobile H+/Cl- entropies via De Bethune/Agar models,synonym_recall,already_mapped
P0243,2006,TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,temperature-voltage coefficients determine Soret coefficients and H+/Cl- thermal diffusion entropies in acetonitrile-water,synonym_recall,already_mapped
P0244,2006,TG,C3002C089A5,ionic thermodiffusion (Soret effect),title,Standard characteristics of thermodiffusion of hydrogen chloride in the water-2-propanol system at 298.15 K,synonym_recall,already_mapped
P0246,2025,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,water-containing deep-eutectic-solvent double-network eutectogel with [Fe(CN)6]3-/4-,family_recall,already_mapped
P0246,2025,iTE|TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,"DES/water modulates redox solvent shells, improves ferri/ferrocyanide solubility, prevents freezing/evaporation, and widens operating range",synonym_recall,already_mapped
P0248,2025,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,NIPAM/MEMSA/DMF hydrogel electrolyte with [Fe(CN)6]3-/4- and guanidine hydrochloride,family_recall,already_mapped
P0248,2025,TG,C2A8A04727D,guanidinium chloride (GdmCl),material_raw,NIPAM/MEMSA/DMF hydrogel electrolyte with [Fe(CN)6]3-/4- and guanidine hydrochloride,synonym_recall,already_mapped
P0248,2025,TG,C5E47CC0A62,Hofmeister/chaotropic effect,mechanism_raw,Hofmeister/non-covalent interactions strengthen hydrogel while MEMSA/GdmCl tune ferricyanide solvation to enhance Seebeck coefficient,synonym_recall,already_mapped
P0251,2026,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,K4Fe(CN)6/K3Fe(CN)6 aqueous liquid-flow thermocells with ethanol antisolvent in Y-shaped channel,family_recall,already_mapped
P0252,2025,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,PANa-SA polyanionic hydrogel thermocell with concentrated K3/K4[Fe(CN)6],family_recall,already_mapped
P0252,2025,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,"odium alginate lowers redox mass-transfer resistance and retains water, enabling high-concentration ferri/ferrocyanide output",synonym_recall,already_mapped
P0259,2024,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,"PVA/low-acyl gellan gum hydrogel with [Fe(CN)6]4-/3-, glycerol, and Li+",family_recall,already_mapped
P0259,2024,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,ferri/ferrocyanide thermogalvanic hydrogel with glycerol/Li+ anti-drying/antifreezing enables passive multimodal physiological sensing,synonym_recall,already_mapped
P0260,2025,TG,C5E47CC0A62,Hofmeister/chaotropic effect,title,In Situ Hofmeister Effect in Polymer Solution by Hydrophobic I3 - for Multifunctional Hydrogel,synonym_recall,already_mapped
P0260,2025,TG,C2106B674B9,iodide/triiodide,title,In Situ Hofmeister Effect in Polymer Solution by Hydrophobic I3 - for Multifunctional Hydrogel,synonym_recall,added
P0261,2026,iTE|TG,CDAC0413DCA,gelatin-based polymer family,material_raw,3D-printable gelatin/kappa-carrageenan hydrogel with SO42-/SO32- redox couple and silicone encapsulation,family_recall,already_mapped
P0264,2026,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,DES/PVA gel electrolyte with [Fe(CN)6]3-/4-,family_recall,already_mapped
P0264,2026,iTE|TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,"deep eutectic solvent densifies/crystallizes PVA network and asymmetrically solvates ferri/ferrocyanide, improving robustness and thermopower",synonym_recall,already_mapped
P0267,2025,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,MXene tunes Cu2+/Cl- thermodiffusion while Cu/Cu2+ interfacial redox enables continuous current; gel also senses strain/temperature,synonym_recall,already_mapped
P0268,2024,iTE|TG,CDAC0413DCA,gelatin-based polymer family,title,Synergy between gelatin hydrogels and electrodes for adjustable and thermally stable ionic thermoelectric supercapacitors,family_recall,already_mapped
P0268,2024,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"CBP electrode infiltration restricts cations and facilitates anion thermodiffusion, switching thermopower and improving supercapacitor energy output",synonym_recall,already_mapped
P0270,2024,TG,CA6C42A1D77,ferri/ferrocyanide family,title,Strong concentration gradient effect and weak solvation effect in thermopower enhancement in K 3 Fe(CN) 6 / K 4 Fe(CN) 6 aqueous electrolyte with ethanol addition,family_recall,already_mapped
P0273,2025,TG,C3002C089A5,ionic thermodiffusion (Soret effect),material_raw,moderate-concentration phase-change thermodiffusion electrolyte,synonym_recall,already_mapped
P0275,2024,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,micro-ionic thermocell with Fe(CN)6 4-/3- electrolyte and soft-lithography microstructures,family_recall,already_mapped
P0277,2023,TG,C5E47CC0A62,Hofmeister/chaotropic effect,mechanism_raw,chaotropic counteranions increase Fe2+/3+ solvation disorder and FeNC accelerates inner-sphere redox kinetics at low cost,synonym_recall,already_mapped
P0278,2023,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,aqueous biphasic K3/K4[Fe(CN)6] liquid thermocell with porous graphite felt electrode,family_recall,already_mapped
P0280,2024,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,planar Sb:SnO2 or Pt electrode thermo-electrochemical cells with ferro/ferricyanide electrolyte,family_recall,added
P0283,2016,TG,C2106B674B9,iodide/triiodide,material_raw,I-/I3- thermo-electrochemical cell with alpha-cyclodextrin host,synonym_recall,already_mapped
P0287,2014,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,charging-free TREC with soluble Fe(CN)6 3-/4- and Prussian blue particles,family_recall,added
P0289,2010,TG,C95D66F92B2,carbon nanotube family,material_raw,multiwalled carbon nanotube thermocell electrodes in practical cell formats,family_recall,already_mapped
P0293,2018,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,PEDOT conducting polymer electrode with ferro/ferricyanide electrolyte,family_recall,added
P0293,2018,TG,C0783369D77,PEDOT family,material_raw,PEDOT conducting polymer electrode with ferro/ferricyanide electrolyte,family_recall,already_mapped
P0294,2013,TG,C95D66F92B2,carbon nanotube family,title,Carbon Nanotube - Reduced Graphene Oxide Composites for Thermal Energy Harvesting Applications,family_recall,already_mapped
P0295,2023,TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,temperature-gradient Soret effect creates salt concentration gradients used to measure diffusion in polymer electrolytes relevant to thermogalvanic cells,synonym_recall,already_mapped
P0297,2021,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),material_raw,solid-state polyelectrolytes with ionic thermodiffusion/Soret effect,synonym_recall,already_mapped
P0299,2018,TG,C2106B674B9,iodide/triiodide,material_raw,I-/I3- thermo-electrochemical cells with starch or PVP polysaccharide/polymer hosts,synonym_recall,already_mapped
P0303,2014,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,COMSOL-modeled thermocells with 0.4 M potassium ferri/ferrocyanide electrolyte,family_recall,already_mapped
P0303,2014,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,COMSOL-modeled thermocells with 0.4 M potassium ferri/ferrocyanide electrolyte,synonym_recall,already_mapped
P0314,2016,TG,CA6C42A1D77,ferri/ferrocyanide family,title,The study of electrical conductivity and diffusion behavior of water-based and ferro/ferricyanide-electrolyte-based alumina nanofluids,family_recall,added
P0316,2012,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,nitrogen- and boron-doped CNT buckypaper electrodes with potassium ferri/ferrocyanide electrolyte,family_recall,already_mapped
P0316,2012,TG,C95D66F92B2,carbon nanotube family,title,Nitrogen- and Boron-Doped Carbon Nanotube Electrodes in a Thermo-Electrochemical Cell,family_recall,already_mapped
P0316,2012,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,nitrogen- and boron-doped CNT buckypaper electrodes with potassium ferri/ferrocyanide electrolyte,synonym_recall,already_mapped
P0320,2017,TG,CA6C42A1D77,ferri/ferrocyanide family,title,Analytical Study and Experimental Validation of Copper II Sulfate and Potassium Ferri/Ferrocyanide Thermocells Using Onsager Flux Equations,family_recall,already_mapped
P0320,2017,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,title,Analytical Study and Experimental Validation of Copper II Sulfate and Potassium Ferri/Ferrocyanide Thermocells Using Onsager Flux Equations,synonym_recall,already_mapped
P0324,2017,TG,C95D66F92B2,carbon nanotube family,title,ermo-electrochemical energy harvesting system using a self-heating negative temperature coefficient CNT-vanadium oxide cathode,family_recall,already_mapped
P0325,2016,TG,C2106B674B9,iodide/triiodide,material_raw,flexible carbon/Iodolyte HI-30/carbon thermo-electrochemical cell with iodide/triiodide in acetonitrile,synonym_recall,already_mapped
P0331,1994,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,thermochargeable galvanic cell with [Fe(CN)6]3-/4- redox couple and ion-exchange membrane,family_recall,already_mapped
P0331,1994,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,thermochargeable galvanic cell with [Fe(CN)6]3-/4- redox couple and ion-exchange membrane,synonym_recall,already_mapped
P0332,1994,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,thermochargeable galvanic cell with [Fe(CN)6]3-/4- separated by ion-exchange membrane,family_recall,already_mapped
P0337,2025,iTE,C2106B674B9,iodide/triiodide,mechanism_raw,host-guest complexation between alpha-CD and I3- confines I3- diffusion inside alpha-CD cavities and increases mobility difference between I3- and sodium ions,synonym_recall,added
P0339,2025,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw, phase transition generates ion entropy difference and enhances redox reaction efficiency and ionic thermodiffusion rate,synonym_recall,already_mapped
P0340,2025,iTE,CA6C42A1D77,ferri/ferrocyanide family,material_raw,self-assembled MoS2/carbon hollow nanoflower fabric with [Fe(CN)6]3-/4- thermoelectric gel,family_recall,already_mapped
P0345,2025,iTE,C95D66F92B2,carbon nanotube family,material_raw,hardened cement modified with nickel foam-carbon nanotube electrodes and PVA hydrogel,family_recall,already_mapped
P0351,2024,iTE,C2106B674B9,iodide/triiodide,material_raw,"ionic thermoelectric-electrochemical cell using asymmetric gels with FeCN4-/3-, I-/I3-, and CF3SO3K",synonym_recall,already_mapped
P0356,2025,iTE,CDAC0413DCA,gelatin-based polymer family,material_raw,"chitosan-derived bamboo-like carbon microtubes, gelatin-based electrolyte, and CMT@MnO2 hybrid electrode in ITESCs",family_recall,already_mapped
P0368,2024,iTE,C95D66F92B2,carbon nanotube family,material_raw,PSFC-0.5 dual-crosslinked PAM/sodium alginate hydrogel with CB/MWCNT photothermal materials and FeCl3,family_recall,already_mapped
P0371,2024,iTE,C95D66F92B2,carbon nanotube family,material_raw,carbon nanotube-cellulose membrane coupled with ionic thermoelectric supercapacitor,family_recall,already_mapped
P0372,2024,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"tributed to ionic thermoelectric effect; dried/non-dried hysteresis-like behavior arises from multi-ionic thermal diffusion and drift, with water loss playing a role",synonym_recall,already_mapped
P0373,2023,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,actions gives reversible bipolar thermopower; switching electrodes alternates dominant cation/anion thermodiffusion for cyclic power generation,synonym_recall,already_mapped
P0374,2023,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"Na+ thermodiffusion under temperature gradient gives p-type thermopower, while OH- motion is impeded by electrostatic interaction with quaternary amine groups ",synonym_recall,already_mapped
P0375,2023,iTE,C0783369D77,PEDOT family,material_raw,PEDOT:PAAMPSA:PA stretchable self-healable polymer complex,family_recall,already_mapped
P0376,2024,iTE,CDAC0413DCA,gelatin-based polymer family,material_raw,gel thermocell Gelatin-0.04/0.06 M FeCN4-/3--6 wt% graphene,family_recall,already_mapped
P0380,2023,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"ion thermodiffusion generates an electric field that drives electrons/holes, converting ionic current into external electrical current for continuous operation",synonym_recall,already_mapped
P0381,2023,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),title,oelectric Generator with a Giant Output Power Density and High Energy Density Enabled by Synergy of Thermodiffusion Effect and Redox Reaction on Electrodes,synonym_recall,already_mapped
P0383,2023,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),title, of Agarose-Based Ionic Thermoelectric Gel Through Micellization Effect Decoupling the Cation/Anion Thermodiffusion,synonym_recall,already_mapped
P0392,2021,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"water thermodiffusion boosts proton transport; aligned GO promotes proton/water diffusion along GO planes, increasing ionic thermopower and conductivity",synonym_recall,already_mapped
P0400,2022,iTE,C0783369D77,PEDOT family,material_raw,ionic gel with AuNW or PEDOT:PSS electrodes in all-polymer ITESCs,family_recall,already_mapped
P0401,2025,iTE,C0783369D77,PEDOT family,title,Thermoelectric Ionic Hydrogel Based on PEDOT:PSS/PAAm for Low-Grade Thermal-Energy Harvesting,family_recall,already_mapped
P0405,2025,iTE,C0783369D77,PEDOT family,material_raw,PEDOT:PSS film treated by acid/base/vitamin C and coated with EMIM:DCA,family_recall,already_mapped
P0409,2024,iTE,C0783369D77,PEDOT family,title,High-performance thermoelectric PEDOT:PSS fiber bundles via rational ionic liquid treatment,family_recall,already_mapped
P0411,2025,iTE,C0783369D77,PEDOT family,material_raw,PEDOT:PSS/EMIM:DCA composite annealed at different temperatures,family_recall,already_mapped
P0413,2025,iTE,C0783369D77,PEDOT family,material_raw,PEDOT:PSS-coated PVA/CuCl2 dual-channel ionic/electronic composite hydrogel,family_recall,already_mapped
P0420,2026,iTE,C2106B674B9,iodide/triiodide,material_raw,PVA/alpha-cyclodextrin/iodide-triiodide supramolecular ionic thermoelectric hydrogel,synonym_recall,added
P0423,2026,iTE,CA6C42A1D77,ferri/ferrocyanide family,material_raw,PVA/gelatin/glycerol/CaCl2/Na3Cit hydrogel with K3[Fe(CN)6]/K4[Fe(CN)6],family_recall,already_mapped
P0423,2026,iTE,CDAC0413DCA,gelatin-based polymer family,title,Ionic thermoelectric poly(vinyl alcohol)/gelatin hydrogel for passive multimodal physiological sensing via the sol-gel transition triggered by salting out effect,family_recall,already_mapped
P0427,2025,iTE,CA6C42A1D77,ferri/ferrocyanide family,title,ybrid Electronic-Ionic-Type Thermoelectric Device with Enhanced Performance by Using Steel Wool and [Fe(CN)6]4-/[Fe(CN)6]3- Ion Solution,family_recall,already_mapped
P0427,2025,iTE,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,"electronic steel wool increases electrical conductivity while ferri/ferrocyanide redox electrolyte provides ionic thermogalvanic contribution, enhancing hybrid Seebeck coefficient",synonym_recall,already_mapped
P0428,2025,iTE,C5E47CC0A62,Hofmeister/chaotropic effect,mechanism_raw,"halide anion chaotropicity, DES viscosity, ion-polymer binding energy, and ion-size steric effects regulate ionic transport and thermopower",synonym_recall,already_mapped
P0434,2026,iTE,CA6C42A1D77,ferri/ferrocyanide family,material_raw,p(NIPAAm-co-DMC)/[Fe(CN)6]3-/4- n-type ionic thermoelectric hydrogel,family_recall,already_mapped
P0434,2026,iTE,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,"above LCST, PNIPAAm copolymer contraction aggregates cationic chains and regulates ferri/ferrocyanide diffusion, reversing redox reaction and Seebeck polarity",synonym_recall,already_mapped
P0435,2026,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,hydroxyl ions interact with PVA/lignin hydroxyl groups to support thermodiffusion; lignosulfonate sulfonic groups increase ionic conductivity,synonym_recall,already_mapped
P0437,2026,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"graphite paper adsorbs K+ through cation-pi interactions, suppressing cation thermodiffusion and enabling Cl--dominated n-type response",synonym_recall,already_mapped
P0438,2026,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"mobilization restricts anion diffusion and increases Eastman entropy of cation transport, enhancing Soret-effect thermopower",synonym_recall,already_mapped
P0439,2026,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,wood heterogeneity confines Cu2+ in hemicellulose/lignin while cellulose nanochannels guide Cl- thermodiffusion; DES quaternization expands channels and preserves cation-binding sites,synonym_recall,already_mapped
P0440,2026,iTE,CDAC0413DCA,gelatin-based polymer family,material_raw,Ca2+-crosslinked ald-alginate-gelatin imine-based hydrogel (CaAG),family_recall,already_mapped
P0447,2016,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,Soret-effect ion thermodiffusion creates thermovoltage; ITESC stores charge under thermal gradient and releases it after gradient removal,synonym_recall,already_mapped
P0448,2025,iTE,CDAC0413DCA,gelatin-based polymer family,material_raw,carbon nanotube/polylactic acid nanofibrous fabric integrated with gelatin ionogel,family_recall,already_mapped
P0448,2025,iTE,C95D66F92B2,carbon nanotube family,material_raw,carbon nanotube/polylactic acid nanofibrous fabric integrated with gelatin ionogel,family_recall,already_mapped
P0449,2024,iTE,C0783369D77,PEDOT family,title,Enhanced Thermoelectric Performance of Vapor Phase Polymerized PEDOT-Tos via Ionic Liquid Post-Treatment,family_recall,already_mapped
P0451,2023,iTE,C95D66F92B2,carbon nanotube family,title,Mixed Ionic-Electronic Conducting Hydrogels with Carboxylated Carbon Nanotubes for High Performance Wearable Thermoelectric Harvesters,family_recall,already_mapped
P0453,2024,iTE,C95D66F92B2,carbon nanotube family,title,Electrochemical charge-carrier modulation of carbon nanotubes using ionic liquids derived from organic superbases for stable thermoelectric materials,family_recall,already_mapped
P0454,2024,iTE,C0783369D77,PEDOT family,title,treatment of femtosecond laser irradiation and ionic liquid to enhance thermoelectric properties of PEDOT:PSS films,family_recall,already_mapped
P0456,2023,iTE,C95D66F92B2,carbon nanotube family,title,Change of Conduction Mechanism in Polymer/Single Wall Carbon Nanotube Composites upon Introduction of Ionic Liquids and Their Investigation by Transient Absorption Spectroscopy: Implication for Thermoelectric ,family_recall,already_mapped
P0458,2022,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),title,Soret Effect of Ionic Liquid Gels for Thermoelectric Conversion,synonym_recall,already_mapped
P0462,2022,iTE,C0783369D77,PEDOT family,title,Effects of cation size on thermoelectricity of PEDOT:PSS/ionic liquid hybrid films for wearable thermoelectric generator application,family_recall,already_mapped
P0464,2026,iTE,C0783369D77,PEDOT family,material_raw,PVA/PEDOT:PSS/ionic liquid/zinc bromide n-type ionogel,family_recall,already_mapped
P0465,2026,iTE,CDAC0413DCA,gelatin-based polymer family,material_raw,"kappa-carrageenan/gelatin hydrogel with Mg3(Sb,Bi)2 particles and carbon nanotubes",family_recall,already_mapped
P0465,2026,iTE,C95D66F92B2,carbon nanotube family,material_raw,"kappa-carrageenan/gelatin hydrogel with Mg3(Sb,Bi)2 particles and carbon nanotubes",family_recall,already_mapped
P0466,2022,iTE,C0783369D77,PEDOT family,title,Anion Size Effect of Ionic Liquids in Tuning the Thermoelectric and Mechanical Properties of PEDOT:PSS Films through a Counterion Exchange Strategy,family_recall,already_mapped
P0469,2026,iTE,C95D66F92B2,carbon nanotube family,material_raw,fluorine rubber/SWCNT thermoelectric composite and fluorine rubber/silver nanowire conductive elastomer with ionic liquid,family_recall,already_mapped
P0470,2026,iTE,C95D66F92B2,carbon nanotube family,title,Alkyl chain length-engineered electric double layer for enhanced thermoelectric modulation in SWCNTs via ionic liquid gating,family_recall,already_mapped
P0472,2022,iTE,C0783369D77,PEDOT family,title,Thermoelectric Properties of Conductive Freestanding Films Prepared from PEDOT:PSS Aqueous Dispersion and Ionic Liquids,family_recall,already_mapped
P0473,2021,iTE,C0783369D77,PEDOT family,material_raw,PEDOT:PSS/PVA/SWCNT polymer thermoelectric composite films assisted by ionic liquid,family_recall,already_mapped
P0473,2021,iTE,C95D66F92B2,carbon nanotube family,material_raw,PEDOT:PSS/PVA/SWCNT polymer thermoelectric composite films assisted by ionic liquid,family_recall,already_mapped
P0474,2022,iTE,C95D66F92B2,carbon nanotube family,material_raw,methacrylate-based polymer electrolyte/lithium salt with multi-walled carbon nanotubes,family_recall,already_mapped
P0475,2022,iTE,CDAC0413DCA,gelatin-based polymer family,title,Ionic Gelatin-Based Flexible Thermoelectric Generator with Scalability for Human Body Heat Harvesting,family_recall,already_mapped
P0478,2022,iTE,C0783369D77,PEDOT family,title,Enhanced thermoelectric performance of PEDOT: PSS films via ionic liquid post-treatment,family_recall,already_mapped
P0479,2021,iTE,C0783369D77,PEDOT family,title,Origins of Enhanced Thermoelectric Transport in Free-Standing PEDOT Nanowires Film Modulated with Ionic Liquid,family_recall,already_mapped
P0479,2021,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"EMIM:DCA induces dedoping, Soret effect, phase segregation, and compact PEDOT stacking, increasing Seebeck coefficient and conductivity",synonym_recall,already_mapped
P0481,2021,iTE,C0783369D77,PEDOT family,title,Anomalous n-type conversion of thermoelectric polarity in ionic hydrogels using PEDOT:PSS electrodes,family_recall,already_mapped
P0482,2021,iTE,C0783369D77,PEDOT family,title,"Correlation of Thermoelectric Performance, Domain Morphology and Doping Level in PEDOT:PSS Thin Films Post-Treated with Ionic Liquids",family_recall,already_mapped
P0487,2021,iTE,C0783369D77,PEDOT family,material_raw,PEDOT:PSS and PANI-PAAMPSA films solvent-annealed with dichloroacetic acid,family_recall,already_mapped
P0488,2021,iTE,C0783369D77,PEDOT family,title,tructural modulation induced by cobalt-based ionic liquids for enhanced thermoelectric transport in PEDOT:PSS,family_recall,already_mapped
P0489,2020,iTE,C0783369D77,PEDOT family,title,Improved Thermoelectric Properties and Environmental Stability of Conducting PEDOT:PSS Films Post-treated With Imidazolium Ionic Liquids,family_recall,already_mapped
P0490,2019,iTE,C0783369D77,PEDOT family,title,ergistic enhancement of thermoelectric and mechanical performances of ionic liquid LiTFSI modulated PEDOT flexible films,family_recall,already_mapped
P0494,2025,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,Soret effect synergizes with polymer thermal expansion to enhance ZT and ionic thermoelectric paster performance,synonym_recall,already_mapped
P0495,2025,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,ions provide Soret thermopower while rGO sheets enable hole tunneling/electronic conduction for continuous output under steady temperature gradients,synonym_recall,already_mapped
P0510,2024,iTE,C0783369D77,PEDOT family,material_raw,PEDOT:PSS/LiTFSI/PAMPS-LiCl double-network mixed ionic-electronic hydrogel,family_recall,already_mapped
P0510,2024,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,interpenetrating ionic/electronic networks combine thermodiffusion and electronic Seebeck effects for continuous generation and high energy density,synonym_recall,already_mapped
P0515,2025,iTE,C0783369D77,PEDOT family,material_raw,"thermoelectric geopolymer composites with Fe2O3 nanoparticles, graphene nanoplatelets, and PEDOT:PSS additives",family_recall,already_mapped
P0515,2025,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,geopolymer porosity and tetrahedral framework affect Soret-driven ionic transport; conductive additives introduce electronic pathways for dual ionic-electronic regulation,synonym_recall,already_mapped
P0518,2025,iTE,CA6C42A1D77,ferri/ferrocyanide family,material_raw,PVA/sodium alginate/NaCl/Fe(CN)6 3-/4- hydrogel (PSNF),family_recall,added
P0518,2025,iTE,C5E47CC0A62,Hofmeister/chaotropic effect,mechanism_raw,freeze-thaw and Hofmeister effects create dual thermoelectric behavior; ion channels and toughened structure support transport and mechanical robustness,synonym_recall,already_mapped
P0519,2025,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,ionic liquid provides Soret thermopower while activated-carbon network enables hole tunneling/electron transport for steady-gradient power generation,synonym_recall,already_mapped
P0521,2016,iTE,C95D66F92B2,carbon nanotube family,title,"Solid-state, individual dispersion of single-walled carbon nanotubes in ionic liquid-derived polymers and its impact on thermoelectric properties",family_recall,already_mapped
P0522,2016,iTE,C95D66F92B2,carbon nanotube family,title,Enhanced thermoelectric power of single-wall carbon nanotube film blended with ionic liquid,family_recall,already_mapped
P0523,2025,iTE,C0783369D77,PEDOT family,material_raw,SA/PEDOT:PSS/PAAm/NaCl hydrogel crosslinked by CaCl2 (APSG),family_recall,already_mapped
P0523,2025,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,electronic Seebeck effect from PEDOT:PSS synergizes with ionic thermal diffusion from NaCl; Ca2+ crosslinking improves flame retardancy and strength,synonym_recall,already_mapped
P0527,2025,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,anion thermodiffusion through the apoplast generates ionic thermovoltage; desiccation and electrode selection amplify response,synonym_recall,already_mapped
P0528,2025,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"surface charge engineering increases fixed charge density and ion selectivity, enhancing thermodiffusion-driven ion transport",synonym_recall,already_mapped
P0532,2026,iTE,CA6C42A1D77,ferri/ferrocyanide family,material_raw,PVA/PAA-PAANa/CNT-COOH dual-crosslinked hydrogel with ferro/ferricyanide and Li2SO4 electrolytes,family_recall,added
P0532,2026,iTE,C95D66F92B2,carbon nanotube family,material_raw,PVA/PAA-PAANa/CNT-COOH dual-crosslinked hydrogel with ferro/ferricyanide and Li2SO4 electrolytes,family_recall,already_mapped
P0535,2026,iTE,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,A network creates ionic migration channels; multiple mobile ions and hydrogen bonding enable p-type thermodiffusion with low phonon transport,synonym_recall,already_mapped
P0542,2024,iTE,C5E47CC0A62,Hofmeister/chaotropic effect,title,Realization of Hydrogel Electrolytes with High Thermoelectric Properties: Utilization of the Hofmeister Effect,synonym_recall,already_mapped
P0545,2024,iTE,C95D66F92B2,carbon nanotube family,material_raw,salt-free PVA hydrogel with Ni-foam-CNT electrodes,family_recall,already_mapped
P0546,2024,iTE,C0783369D77,PEDOT family,title,"Continuous fabrication of flexible, high-performance PEDOT: PSS thermoelectric fiber without post-processing",family_recall,already_mapped
