paper_id,domain,title,year,abstract,human_core_claims_json,human_no_core_claim_reason,reviewer_id,reviewed_at,review_status
P0647,iTE,Semitransparent p-CuI and n-ZnO thin films prepared by low temperature solution growth for thermoelectric conversion of near-infrared solar light,2018,"In this work by means studying the crystal structure, optical, electrical, and thermoelectric properties of chip, available and safe for the environment copper iodide CuI zinc oxide ZnO and indium-doped zinc oxide ZnO:In films we have developed and improved low temperature solution growth Successive Ionic Layer Adsorption and Reaction (SILAR) technique, which allows to deposit these materials over large areas. Output thermoelectric parameters were analyzed for several single p-CuI, n-ZnO and n-ZnO:In thin film thermolegs. The possibility of combining of the obtained p-CuI and n-ZnO:In thin film thermolegs into a thermocouple is shown for the use in new semitransparent planar solar thermoelectric generator working at near-room temperatures through harvesting near-infrared solar light as an energy source to supply electric power to the wireless sensors and microscale devices.",,,,,pending_human
P0445,iTE,Highly stretchable ionic hydrogels with enhanced thermoelectric performance and flame retardancy for intelligent fire protection,2024,"Fire disasters pose a significant threat to life and property worldwide, underscoring the urgent necessity for advanced fire prevention technologies. In the field of intelligent fire protection materials, thermoelectric fire-resistant materials have garnered considerable attention due to their high sensitivity and the distinct advantage of not requiring an external power supply. This feature endows them with high responsiveness and energy efficiency in detecting and responding to fire incidents, thereby enhancing overall safety measures. In this study, we develop a series of highly stretchable ionic hydrogels with exceptional thermoelectric properties and flame retardancy for intelligent fire protection applications. Through a simple one-pot photopolymerization process, polyacrylic acid (PAA) and polyethylene glycol (PEO) were combined with sodium dihydrogen phosphate (SDP) to form a robust hydrogen-bonded ionic hydrogel network. The resulting PAA-PEO-SDP ionic hydrogels demonstrated an impressive elongation at break up to 4270% and a very high ionic Seebeck coefficient of 24.7 mV K-1. The incorporation of the phosphorus salt enhanced flame retardancy to reach the UL-94 V-0 rating and significantly increased the oxygen index of encapsulated wood from 27% to 54%. Moreover, as a fire-warning device, it could rapidly generate an output voltage of ca. 50 mV within 1.5 s upon exposure to fire, showcasing potential for autonomous fire prevention systems. This work highlights the synergistic integration of mechanical flexibility, thermoelectric performance, and fire safety in the development of next-generation intelligent materials for fire protection. This work highlights the synergistic integration of mechanical flexibility, thermoelectric performance, and fire safety in the development of next-generation intelligent materials for fire protection.",,,,,pending_human
P0976,iTE,Large Power Factor Improvement in a Novel Solid-Liquid Thermoelectric Hybrid Device,2018,"The performance of thermoelectric materials has been improved in the past few years by a significant reduction of the thermal conductivity, but this parameter has now reached its (amorphous) limit, which makes the enlargement of the power factor (PF) critical. Here we present a new concept, based on a hybrid system formed by a porous thermoelectric solid permeated by a liquid with an inert salt dissolved (electrolyte), which can be designed to significantly enhance the PF. The concept is demonstrated in an Sb-doped SnO2 porous film permeated with different inert salts (X+(BF4)(-), X+ = Li+, Na+, K+) dissolved in 3-methoxypropionitrile (3-MPN). A 61.9% average decrease in the electrical resistivity without a significant variation of the Seebeck coefficient was found in the case of 1 M LiBF4 in 3-MPN. As a result, the PF was remarkably increased 3.4 times. On the other hand, 1-butyl-3-methylimidazolium (BMI+Y-, Y- = I-, BF4-) ionic liquids were also employed as electrolytes. Using the BMII ionic liquid, the electrical resistivity showed a more significant average decrease of 82.5%; however, the absolute value of the Seebeck coefficient was reduced by 35%, finally resulting in an average enhancement of 2.4 times of the PF. The large enhancements achieved are attributed to the modification of the electrostatic environment of the porous solid by the ions in the electrolyte at the solid-liquid interface. These results establish a new strategy for the significant improvement of the PF which is not restricted to certain materials and can be potentially applied widely.",,,,,pending_human
P1260,iTE,Improved thermal conductivity and mechanical property of mercapto group-activated boron nitride/elastomer composites for thermal management,2022,"Ionic liquid 1-Ethyl-3-methylimidazolium chloride was employed to promote the exfoliation of hexagonal boron nitride (BN) to fabricate the boron nitride nanosheets (BNNSs). The BNNSs were then surface activated by covalently attaching mercapto groups on their surfaces. The surface-activated BNNS nanoparticles (S@BNNSs) were incorporated in a carboxylated styrene-butadiene rubber matrix for preparing thermal management materials. The developed material was provided with superior mechanical properties, satisfied thermal conductivity and strong storage modulus attributing to the two-dimensional structure of the filler and the enhanced interfacial interaction between the filler and matrix. The filler-filler and filler-matrix networks in the composite system were comprehensively analyzed. The thermal management applications were also demonstrated using an infrared camera and a commercial thermoelectric generator. All the performances demonstrated their potential use as thermal management materials in electronic devices.",,,,,pending_human
P0778,iTE,A model for the heat of transport in ionic conductors,2009,"The ion flow Caused by a temperature gradient originates the ionic thermopower which is quantified by the heat of transport. Experimentally, it is known that in superionic conductors, the heat of transport Q is nearly equal to the activation energy for ion transport E-a. In the present paper, a model for the heat of transport in ionic conductors has been proposed based on a lattice dynamical theory of diffusion. We have shown that the relationship between Q and E-a is determined by the participation degree of different phonon modes, in particular the short wavelength phonons to the atomic jump processes. The implication of this finding to the transport properties of superionic conductors has been discussed, and it is suggested that the degree of the collective motion in ionic conductors increases with the increase in Q/E-a. The model predicts that good ionic conductors will show large value of Q/E-a. The importance of the acoustic phonons in the ion transport processes has been also pointed out. (C) 2008 Elsevier B.V. All rights reserved.",,,,,pending_human
P1599,iTE,Electrochemical Impedance Spectroscopy Integrated with Environmental Transmission Electron Microscopy,2023,"The concept of combining electrical impedance spectroscopy (EIS) with environmental transmission electron microscopy (ETEM) is demonstrated by testing a specially designed micro gadolinia-doped ceria (CGO) sample in reactive gasses (O-2 and H-2/H2O), at elevated temperatures (room temperature-800 degrees C) and with applied electrical potentials. The EIS-TEM method provides structural and compositional information with direct correlation to the electrochemical performance. It is demonstrated that reliable EIS measurements can be achieved in the TEM for a sample with nanoscale dimensions. Specifically, the ionic and electronic conductivity, the surface exchange resistivity, and the volume-specific chemical capacitance are in good agreement with results from more standardized electrochemical tests on macroscopic samples. CGO is chosen as a test material due to its relevance for solid oxide electrochemical reactions where its electrochemical performance depends on temperature and gas environment. As expected, the results show increased conductivity and lower surface exchange resistance in H-2/H2O gas mixtures where the oxygen partial pressure is low compared to experiments in pure O-2. The developed EIS-TEM platform is an important tool in promoting the understanding of nanoscale processes for green energy technologies, e.g., solid oxide electrolysis/fuel cells, batteries, thermoelectric devices, etc.",,,,,pending_human
P0243,TG,The thermal diffusion of hydrogen chloride in aqueous solutions of acetonitrile,2006,The results obtained in measurements of the initial and stationary temperature voltage coefficients of symmetrical thermogalvanic elements with silver-chloride and quinhydron electrodes in the HCl-H2O-CH3CN system at 298.15 K were used to determine the Soret coefficients and standard entropies of thermal diffusion transfer of hydrogen chloride and the entropies of the H+ and Cl- ions moving in solution. The results obtained are discussed using the De Bethune thermal diffusion model and the Agar theory.,,,,,pending_human
P0098,TG,Thermogalvanic cells demonstrate inherent physiochemical limitations in redox-active electrolytes at water-in-salt concentrations,2021,"The majority of usable energy generated by humanity is lost as waste heat, but thermogalvanic systems (or thermocells) can address this problem by converting low-grade waste heat directly into electricity using redox chemistry. The concentration of the redox couple is a critical parameter; almost invariably, higher concentrations result in more power. This study exploits the simple synergy between Na+ and K+ counter ions to achieve-to the best of our knowledge-the most concentrated stable aqueous ferricyanide/ferrocyanide thermocell to date, at 1.6 m [Fe(CN)(6)](3-/4-). Despite increasing the concentration by 400% relative to the standard K-3/K-4[Fe(CN)(6)] electrolyte (0.4 m), electrical power production increased only 166%. Pushing the system from conventional salt-in-water electrolytes into the quasi-stable water-in-salt region (up to 2.4 m) resulted in a decrease in power. Detailed characterization highlighted the various physicochemical hurdles introduced by these extremely concentrated electrolytes; the identified issues have direct relevance to other energy systems also seeking to use the highest possible concentration.",,,,,pending_human
P0308,TG,Organic solvent-based thermo-electrochemical cells with an iron(ii/iii) triflate redox couple for use in harvesting low-grade waste heat at 100-200 °C,2022,"The need to harvest low-grade waste heat at 100-200 degrees C has attracted much attention. In this paper, the performance of thermo-electrochemical cells (TECs) with an iron triflate (Fe(CF3SO3)(2)/Fe(CF3SO3)(3)) redox couple is investigated in various organic solvents at temperatures exceeding 100 degrees C. The TECs in dimethylformamide (DMF) showed the maximum Seebeck coefficient of 1.51 mV K-1, and the maximum power density of 660 mW m(-1) was achieved using 0.5 M iron triflate in DMF at Delta T = 120 K (145 degrees C on the hot-side).",,,,,pending_human
P0260,TG,In Situ Hofmeister Effect in Polymer Solution by Hydrophobic I3 - for Multifunctional Hydrogel,2025,"Multifunctional hydrogels are widely applied in flexible electronics, energy devices, and sensors due to their unique physical and chemical properties. However, most hydrogels, particularly multifunctional ones, often require complex and time-consuming synthesis processes. Herein, we report a quadruple-functional hydrogel with complete reconstructability (6 cycles, dry fragments), self-healability (100 cycles, wet fragments), ultraextension (retaining >150-fold biaxial extension after reconstruction or self-healing), and redox-activity, synthesized via a simple and rapid method. This approach introduces hydrophobic I-3(-) (endogenously generated from I-2 and I-) directly into the polymer solution to trigger the Hofmeister effect in situ, eliminating conventional steps such as cooling-induced shaping and prolonged immersion. Capacitive sensors and self-powered temperature/strain sensor systems by this hydrogel completely retain their original performance after being rebuilt and self-healing. This work demonstrates a facile and efficient strategy for synthesizing multifunctional hydrogels, paving the way for their practical and delicate applications.",,,,,pending_human
P0110,TG,Sensitive and fast measurement of surface temperature with a thermogalvanic cell,2020,"Thermogalvanic cells may be viewed as electrochemical thermocouples. Here, we demonstrate their potential for sensitive and fast sensing of the surface temperature of a thin Au sheet, in contact with a 0.08 M equimolar ferri-/ferrocyanide solution in 26% KOH. We obtained a sensitivity of about 10 mu K, because of the large Peltier coefficient of the electrochemical reaction at the electrode-electrolyte junction. The resolution is limited by the thermal noise of the electrochemical system and could be quantitatively explained by the thermal noise of a Randles equivalent circuit of the cell. Since no thermal contact resistances to bulky temperature sensors are involved, we achieved a response time smaller than 300 mu s, which may be potentially lowered to a few microseconds. By using the thermogalvanic cell as a sensor for electrochemical microcalorimetry, we calibrated the system, in full agreement with a simulation of its thermal behavior. Published under license by AIP Publishing.",,,,,pending_human
P0148,TG,THERMOGALVANIC BEHAVIOR OF ACIDIC CU-2+/CU SYSTEM INDUCED BY LASER IRRADIATION,1993,"The mechanism responsible for the electroless copper deposition on a copper electrode in an acidic copper sulfate solution upon laser irradiation was investigated. The system served as a thermogalvanic cell and a highly selective copper deposit was formed at the laser-irradiated center without any chemical reductant added. The deposit's thickness reached 510 mum after an hour's irradiation with the incident laser power density being controlled at 2.0 x 10(5) W/cm2. The deposition rates, however, decayed as the incident laser power was further raised. Finally an etched hole instead of a deposit was found as the incident laser power density exceeded 1.1 X 10(7) W/cm2. The rather peculiar decay of the copper deposition rate at high incident laser power densities can be interpreted to be owing to three competitive processes involved in the electroless copper deposition: (i) a thermogalvanic deposition process, which is the predominant one at the lower incident laser power densities condition, (ii) a copper dissolution process due to the corrosion reaction, Cu + Cu+2 --> 2Cu+, which is predominant at high incident laser power densities, (iii) incomplete consecutive discharge reduction process due to the loss of cuprous ions by violent microstirring under high laser power density irradiation condition. A net etching effect instead of an electroless deposition can be obtained under the extreme case.",,,,,pending_human
P0225,TG,Efficient Photo-Thermo-Electric Conversion Using Polyoxovanadate in Ionic Liquid for Low-Grade Heat Utilization,2021,"A large fraction of energy, including solar energy, is dissipated into ambient atmosphere as low-grade waste heat. Efficient utilization of such energy is critical to address the current energy crisis and global warming issue. Herein, the efficient near-IR (NIR)-photothermal, thermoelectric, and thus photo-thermo-electric conversion of polyoxovanadate compound {[Ni(1,10-phenanthroline)(3)][V14O34Cl]Cl, NiV14} in ionic liquid was achieved. The solution displayed a NIR-photothermal efficiency of 16.04 and 23.43 % at 808 and 1064 nm, respectively. Taking advantage of the synergetic thermodiffusive and thermogalvanic effects of various ion species in NiV14 solution, an open circuit voltage of approximately 0.45 V was obtained at Delta T=70 K generated by physical heating or NIR irradiation, indicating a large Seebeck coefficient of 6.38 mV K-1 and an optimized thermal power at 1.2 W m(-2). The polyoxovanadate-ionic liquid system offers a new platform for efficiently utilizing not only low-grade thermal energy but also solar energy for electricity generation.",,,,,pending_human
P0085,TG,Polymer-Redox Interactions Enhance Ferro/Ferricyanide Thermogalvanic Cells,2026,"Thermogalvanic cells (TGCs) capable of converting low-grade heat into electricity offer a sustainable route for waste-energy recovery and self-powered devices. In this work, we introduce potassium polyacrylate (PAAK) as a low-cost and stable electrolyte additive that markedly enhances the performance of aqueous ferro/ferricyanide TGCs. Unlike previous polymer systems that typically form gel or quasi-solid electrolytes, our liquid electrolyte preserves freely solvated PAA- and K+ ions, enabling direct and tunable interactions between the polyanion and redox species. These interactions modify the hydration shell of the redox couple, thereby increasing the redox entropy difference and significantly improving the Seebeck coefficient. Despite a moderate increase in viscosity, an optimized concentration of 8% PAAK achieved a Seebeck coefficient of -2.2 mV K- 1 and a maximum power output twice that of the pristine electrolyte. Further device optimization yielded a normalized power density of 0.8 mW m- 2 K- 2, among the highest values reported for liquid TGCs. In the end, we discussed the principle of developing polyelectrolyte-enhanced redox electrolytes and demonstrated the feasibility. This study not only demonstrates a simple and low-cost route to enhance TGC performance but also provides new fundamental insight into how polyelectrolyte-redox interactions in solution can be exploited to tailor thermoelectric properties.",,,,,pending_human
P0108,TG,Electrochemical Impedance Analysis of Thermogalvanic Cells,2020,"Thermogalvanic cells(also known as thermo-electrochemical cells) that convert waste heat energy to electricity are a new type of energy conversion device. However, the electron transfer kinetics and mass transfer of redox couples have not been thoroughly studied. Here, the ion reaction and charge transport in thermogalvanic cells are investigated by electrochemical impedance analysis. We first propose the detailed impedance model followed experimental verification on three types of electrode materials. Parameters including kinetic rate constants and ion diffusion coefficients for the electrodes are obtained by fitting the impedance data. Our study shows explicitly that impedance analysis can provide useful information on selecting suitable electrode materials for thermogalvanic cells.",,,,,pending_human
P0137,TG,Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting,2024,"The high thermopower characteristics of ionic thermoelectric cells (ITECs) significantly improve the efficiency of environmental heat and energy collection and utilization. Herein, based on the low thermal conductivity of biomass materials, we propose a novel strategy on structural design and component modulation for full component utilization and synergistic enhancement of thermodiffusion and thermogalvanic effects of single electrolytes to achieve high thermopower and output energy density. Grafting guanidinium salt ions in the chitosan gel can facilitate the selective separation of positive and negative ions of the FeCl3/2 electrolyte and enhance the thermodiffusion effect. Meanwhile, introduction of melamine in the chitosan gel enables the selective complexation/desorption of Fe3+ at cold and hot ends, which enlarges the concentration and entropy difference of redox pairs in electrolyte ions. Significant magnification of the thermocouple effect is observed, resulting in 700% increase in thermopower (-1.04 to -7.24 mV K-1). Particularly, the 90-min output energy density of the ITECs reaches 17.93 kJ m-2 at Delta T of 25 K, which is a record-breaking result among the reported quasi-solid-state ITECs. This study provides a new design pathway for development and application of high-performance ITECs. Thermodiffusion and thermogalvanic effects of single redox electrolytes are synergistically utilized and enhanced by double selective gel design of ionic thermoelectric cells, generating remarkable thermopower and energy output in a long-cycle mode.",,,,,pending_human
P0023,TG,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,2025,"Energy is fundamental to human survival and development and also serves as a crucial driving force for sustainable economic growth. Due to the limited efficiency of energy conversion, electronic devices operating at high loads generate substantial amounts of low-grade waste heat. Recycling and reusing of this waste heat can lead to significant energy savings. The present thermoelectric materials typically exhibit low thermopower (or Seebeck coefficient), making it challenging to efficiently recover low-grade waste heat. This study rapidly fabricated polyacrylamide hydrogels via aqueous polymerization and then introduced the Fe(CN)6 3-/4- redox couple and guanidine hydrochloride through solvent exchange to produce the thermogalvanic ionic hydrogel (TGIH). Subsequently, the water retention and mechanical properties of TGIH were enhanced by introducing the natural moisturizing factor sodium pyrrolidone carboxylate. The TGIH exhibited a high Seebeck coefficient of 5.49 mV/K, a high specific power density of 1213.29 mu W/m2K2, a high water retention rate of 62.7%, a great tensile fracture rate of 523.65%, and a toughness of 0.167 MJ/m3. In addition, an application case is carried on using smartphones; this work demonstrated the TGIH's capability to efficiently dissipate heat from electronic devices while simultaneously recovering low-grade waste heat. The TGIH can promote the recovery and utilization of low-grade thermal energy and holds significant application potential in sustainable wearable electronics.",,,,,pending_human
P0064,TG,Self-powered physiological monitoring strategy enabled by adaptive dual-network thermogalvanic hydrogels,2023,"The development of wearable epidermal electronics has revolutionized the way vital signs are collected and monitored. However, they require a continuous power supply from an external source, which greatly limits their practical application. Excitingly, flexible thermogalvanic gels can convert human waste heat into electricity, which in turn can be used as a stretchable miniature passive electronic device that is of great importance in cutting-edge wearable healthcare. We have manufactured a conformal thermogalvanic generator with Fe2+/Fe3+ electrolyte-based hydrogel and MWCNT (Multi-walled Carbon Nanotubes)-based electrodes, which presents not only outstanding thermoelectric performance but also perfect flexibility and stretchability. Simultaneously packaged with the integrated thermogalvanic gel and flexible electrodes, which is particularly suitable as a wearable epidermal patch. Given the excellent temperature response of the thermogalvanic gel, we have fabricated a self-powered body temperature monitoring patch that could be conformally attached on the wrist or other points. Meanwhile, the gel patch possesses high responsivity on strain that can recognize the pulse beat at the wrist. This work sheds fresh light on the developing self-powered wearable epidermal healthcare electronics by converting low-grade human body heat.",,,,,pending_human
P0028,TG,Fully Printed Thermogalvanic Modules for Low-Grade Energy Harvesting,2025,"Thermogalvanic cells offer a promising route for harvesting low-grade heat by utilizing temperature-dependent redox reactions at spatially separated electrodes. Their potential for low-cost, flexible, and sustainable energy conversion makes them attractive for scalable applications; however, practical implementation is limited by challenges in modular integration and manufacturability. Here, we report the development of a fully printed thermogalvanic module (TGM) that integrates screen-printed hybrid current collectors, activated carbon-based electrodes, an adhesive sealing layer, and a laser-drilled spacer. This fully additive and scalable fabrication strategy enables the precise assembly of complex architectures without traditional stacking or wiring. The resulting 36-cell TGM, employing widely available aqueous electrolytes, demonstrates a reproducible thermopower of 38 mV K-1 and a peak output power of 9 mu W under a modest 14 K temperature difference. This work demonstrates a practical pathway toward large-area printed thermogalvanic systems for ambient heat harvesting and paves the way for future integration into flexible and wearable energy platforms.",,,,,pending_human
P0029,TG,AI-Informed Solvation Engineering for Thermogalvanic Electrolytes with High Thermopower,2025,"Thermogalvanic cells utilize redox couple ions to achieve continuous heat-to-electricity conversion, yet the development of high-performance electrolytes is limited by the complex relationship between solvation of redox couple ions and thermopower. We present a data-driven machine learning strategy to identify high-performance solvents for thermogalvanic electrolytes. Our approach parametrizes the Seebeck coefficient by leveraging the strong correlation between DFT-derived ion-solvent interaction features and limited experimental data. A hybrid ML framework combining high-throughput DFT and interval regression was developed to screen extensive solvent candidates with SHAP analysis identifying polarity-related features as dominant factors. Experimental validation enabled model augmentation via a binary feature filter that incorporates solvation-relevant molecular features beyond two-body interactions. The framework validated known effective solvents and identified new candidates, which were confirmed via solvation structure calculations and UV-vis spectroscopy. This solvation-driven ML approach accelerates electrolyte discovery while providing fundamental insights into design principles for large solvation entropy differences.",,,,,pending_human
P0008,TG,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,2024,"Sensing of both temperature and strain is crucial for various diagnostic and therapeutic purposes. Here, we present a novel hydrogel-based electronic skin (e-skin) capable of dual-mode sensing of temperature and strain. The thermocouple ion selected for this study is the iodine/triiodide (I-/I3 -) redox couple, which is a common component in everyday disinfectants. By leveraging the thermoelectric conversion in conjunction with the inherent piezoresistive effect of a gel electrolyte, self-powered sensing is achieved by utilizing the temperature difference between the human body and the external environment. The composite hydrogels synthesized from polyvinyl alcohol (PVA) monomers using a simple freeze-thaw method exhibit remarkable flexibility, extensibility, and adaptability to human tissue. The incorporation of zwitterions further augments the resistance of the hydrogel to dehydration and low temperatures, allowing maintenance of more than 90% of its weight after 48 h in the air. Given its robust thermal current response, the hydrogel was encapsulated and then integrated onto various areas of the human body, including the cheeks, fingers, and elbows. Furthermore, the detection of the head-down state and the monitoring of foot movements demonstrate the promising application of the hydrogel in supervising the neck posture of sedentary office workers and the activity status. The successful demonstration of self-powered on-body temperature and strain sensing opens up new possibilities for wearable intelligent electronics and robotics.",,,,,pending_human
P0151,TG,EXPERIMENTAL AND THEORETICAL SIMULATION OF THERMOGALVANIC CORROSION IN HEAT-EXCHANGERS,1995,Thermogalvanic corrosion in heat exchangers has been simulated experimentally (on a nonisothermal plate) and theoretically using a computer to solve electrochemical kinetic problems. The simulation techniques have been tested for thermogalvanic corrosion of iron in acid sulfate electrolyte with a variable temperature distribution along the metal surface. The tests showed a good agreement of theoretical and experimental data.,,,,,pending_human
P0165,TG,Rational Design of Molybdenum Nitride Quantum Dot Engineered by Carbon Framework for Boosted Lithium-Ion Thermal Charging Cells,2026,"Lithium-ion thermal charging cell, driven by ion migration and redox reaction, exhibits great potential for harvesting and storing electricity from thermal energy. Combining thermodiffusion and thermogalvanic effects could boost their thermopower, but with limited kinetics for heat-to-electric conversion due to the incompatibility between thermodynamical and electrochemical processes. Here, a facile strategy is demonstrated to fully activate the thermoelectrical behavior through simulation-guided electrode engineering, which is realized by incorporating battery-type molybdenum nitride quantum dot into carbon matrix. Benefitting to the well-developed 3D skeleton, abundant electroactive sites, and high conductivity, as-constructed device can achieve a giant thermopower of 53.6 mV K-1, normalized power density of 6.83 mW m-2 K-2, and good durability, which can meet the power demands of wearable sensors and small electronic devices. As a proof-of-concept, a flexible quasi-solid-state device integrating four units is developed for self-powered health-monitoring system by harvesting body heat in daily life. This work provides insights into the effective design of electrodes for high-performance ionic thermoelectrical systems and the development of multifunctional self-charging systems with sustainable operation.",,,,,pending_human
P0332,TG,THE INTRODUCTION AND VERIFICATION OF THERMOCHARGEABLE GALVANIC CELL,1994,"The principal of a thermochargeable galvanic cell that was charged by heating it directly was studied. The high-temperature and low-temperature electrodes of a cell containing the redox couple of [Fe (CN)6]3-/[Fe (CN)6]4- as the electroactive species were separated by the ion-exchange membrane that did not passage of the redox couple. When the two electrodes were connected, [Fe(CN)6]4- was reduced to [Fe(CN)6]3- at the high-temperature electrode and the opposite reaction took place at the low-temperature electrode. This increases the [Fe(CN)6]3- and [Fe(CN)6]4- concentration differences between the two region separated by the ion-exchange membrane, and these differences could supply electric power after the temperature difference between the electrodes was removed. The ratio of the discharge capacity to the charge capacity was obtain 88% and this principal could be explained by the Nernst equation by considering the thermoelectric term.",,,,,pending_human
P0061,TG,Self-Powered Respiratory Monitoring Strategy Based on Adaptive Dual-Network Thermogalvanic Hydrogels,2022,"As a low-grade sustainable heat source, the breath waste heat exhaled by human bodies is always ignored, although producing a greater temperature than ambient. Converting this heat into electric energy for use as power sources or detecting signals is extremely important in cutting-edge wearable medicine. This heat-to-electricity conversion is possible with thermogalvanic hydrogels. However, challenges remain in their antifreezing and antidrying properties, significantly restricting the durability of thermogalvanic gels in practical applications. Herein, a dual-network poly(vinyl alcohol)/gelatin (PVA/GEL) gel thermogalvanic device with Fe(CN)6 3-/4- as a redox pair is developed, with an outstanding low-temperature durability and antidrying capacity. These features result from the use of a binary H2O/GL (glycerin) solvent to limit hydrogen bonding between water molecules. The prepared thermogalvanic gel patch is capable of easily converting physiological data into understandable electrical impulses using the temperature difference between the ambient environment and the heat produced by human breathing, realizing a simple self-powered respiratory monitoring strategy for the first time. Even below zero temperature, the gel patch-based mask can operate normally, implying it fits into low-temperature environments. This study sheds fresh light on the development of active wearable medical electronics that are powered by demic low-level heat.",,,,,pending_human
P0320,TG,Analytical Study and Experimental Validation of Copper II Sulfate and Potassium Ferri/Ferrocyanide Thermocells Using Onsager Flux Equations,2017,"Thermocells convert heat energy directly into electrical energy through charge-transfer reactions at the electrode-electrolyte interface. To perform an analytical study on the behavior of thermocells, the Onsager flux relationship was applied to thermocells, which used aqueous copper II sulfate and aqueous potassium ferri/ferrocyanide as the electrolyte. The transport coefficient matrices were calculated for each electrolyte and applied to several simulations, which were subsequently validated through experimental testing and comparison to previous literature results. The simulation is shown to correctly predict the short circuit current, maximum power output, and power conversion efficiency. Validation demonstrates that the simulation model developed, using the Onsager flux equations, works for thermocells with different electrode materials (platinum, copper, charcoal, acetylene black, and carbon nanotube), electrode spacing, and temperature differentials. The power dependence of the thermocell on concentration and electrode spacing, with respect to the Seebeck coefficient, maximum power output, and relative efficiency, is also shown.",,,,,pending_human
P0315,TG,A supramolecular thermocell consisting of ferrocenecarboxylate and β-cyclodextrin that has a negative Seebeck coefficient,2018,A p-type supramolecular thermocell was constructed with a ferrocenecarboxylate/ferroceniumcarboxylate pair. The Seebeck coefficient of the cell was improved from -0.86 to -1.20 mV K-1 by the addition of beta-cyclodextrin. Isothermal titration calorimetry and a theoretical investigation demonstrated that the host-guest interaction increased the Seebeck coefficient.,,,,,pending_human
P0302,TG,Take it to the Carnot limit: Perspectives and thermodynamics of dual-cell electrochemical heat engines,2022,"In electrochemical dual-cell heat engines, the conduction of heat and electricity are fully decoupled, allowing their independent optimisation to maximise the conversion efficiency. Despite this advantage, the dual-cell electrochemical heat engine has only been explored superficially in previous studies. Here we address the in-depth thermodynamic aspects of the heat engines integrated with two electrochemical flow cells and assess the route to achieve a high heat-to-electricity conversion efficiency and system's power output. Our theoretical analysis revealed for the first time that in the dual-cell electrochemical system, the flow rate must be controlled as a response to the electrical current, and conversion efficiency no longer depend on the conventional ther-moelectric figure-of-merit. Based on established principles and considering tremendous advancements for the past 10 years within thermogalavic materials and flow battery systems, our analysis presents that it is realistic to develop dual-cell electrochemical heat engines that can be operated at conversion efficiencies approaching the Carnot limit, reaching 10.1 % and 19.3 % at maximum power point and maximum conversion efficiency con-ditions, respectively, under the temperature gradient of 80 degrees C.",,,,,pending_human
P0001,TG,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,2026,"Current smart dressings with wound monitoring and electrical stimulation capabilities rely on flexible electronics comprising various sensors and external power sources. Despite increasing efforts to integrate all these components onto flexible, breathable and biocompatible substrates, realizing a zero-power electrical stimulation without compromising the clinical applicability remains challenging. Here we report a solution that harnesses the temperature gradient between the wound and dressing to generate an electric stimulus that provides active wound healing management. This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres. The TGC dressing exhibits biocompatibility, antibacterial performance, easy re-shaping and moisture permeability. Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing. We additionally integrate a sensing system that can monitor respiration rate. In the large porcine wound model, the wound healing rate of a TGC-bandaged group is improved by about 20.6% on day 14 compared with an untreated group. Our wireless wound monitoring system may facilitate real-time monitoring of common wound models at different wound development stages.",,,,,pending_human
P0080,TG,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting,2026,"Despite the significant demand for harvesting low-grade thermal energy and providing timely fire warning, conventional thermoelectric materials face limitations in efficiency, stability, and multifunctionality. Moreover, the advancement of ionic p-n junction devices is impeded by the scarcity of high-performance n-type ionic hydrogels. Herein, we present a flame-retardant n-type ionic thermoelectric hydrogel (RTIG) that synergistically combines thermodiffusion and thermogalvanic effect to achieve self-signaled fire warning alongside enhanced heat harvesting. Fabricated via UV-polymerization in a BmimH2PO4/water solvent followed by FeCl3/FeCl2 impregnation, RTIG demonstrated robust mechanical flexibility (1389% elongation, 0.48 MPa strength) and high ionic conductivity (0.3 S m- 1). The synergistic interplay of ion thermodiffusion (Bmim+/H2PO4- ) and thermogalvanic effect (Fe2+/Fe3+) yielded a high n-type Seebeck coefficient of -6.50 mV center dot K- 1, enabling efficient heatto-electric conversion (76.1 mV, 144.3 nW at Delta T = 12 K). Remarkably, RTIG enabled self-signaled fire alarm activation within 2 s triggered by a rapid voltage surge (74.65 mV) and exhibited exceptional flame retardancy (LOI = 59%, 26.5% reduction of PHRR) attributed to phosphorus-iron synergistic char formation. Additionally, it functioned as a stable supercapacitor (52.4 F center dot g- 1). This work provides a versatile multifunctional platform for next-generation wearable and Internet-of-Things applications.",,,,,pending_human
